ா	a
கர்த்தர்	k ɐ ɾ t̪ː ɐ ɾ
கருமையான	k ɐ ɾ u m a ɪ̯ j aː n ɐ
கணுமருது	k ɐ ɳ u m ɐ ɾ u d̪ u
கருப்பம்	k ɐ ɾ u pː ɐ m
கருவீரல்	k ɐ ɾ u ʋ iː ɾ ɐ l
கருவூலம்	k ɐ ɾ u ʋ uː l ɐ m
கருங்கல்	k ɐ ɾ u ŋ ɡ ɐ l
கண்காணம்	k ɐ ɳ ɡ aː ɳ ɐ m
கடல்நீர்	k ɐ ɖ ɐ l n̪ iː ɾ
கரப்பான்	k ɐ ɾ ɐ pː aː n
கடற்கோள்	k ɐ ɖ ɐ r k oː ɭ
கடற்பாசி	k ɐ ɖ ɐ r p aː t͡ɕ i
கட்டிடம்	k ɐ ʈː i ɖ ɐ m
கண்ணமரம்	k ɐ ɳː ɐ m ɐ ɾ ɐ m
கலந்தால்	kalan̪t̪aːl
கடைசியாக	kaʈajt͡ʃijaːka
கணக்கில்	kaɳakkil
கவலைப்பட	kaʋalajppaʈa
காலங்கள்	kaːlaŋkaɭ
கான்பூர்	kaːnpuːɾ
கட்சிகள்	kaʈt͡ʃikaɭ
கடுமையான	kaʈumajjaːna
கௌரவிக்க	kaʋɾaʋikka
கேரளஅரசு	keːɾaɭaɾat͡ʃu
கேட்டுக்	keːʈʈuk
கேட்டுத்	keːʈʈut̪
கிடைத்த்	kiʈajt̪t̪
கிருஷ்ணா	kiɾuʂɳaː
கொலம்பிய	kolampija
கொன்றுகு	konruku
கொள்கைப்	koɭkajp
கொஞ்சமாக	koɲt͡ʃamaːka
கொழும்ப்	koɻump
கொழும்பு	koɻumpu
கோவையில்	koːʋajjil
கொண்டார்	koɳʈaːɾ
கொள்வார்	koɭʋaːɾ
கோடிக்க்	koːʈikk
கோரிக்கை	koːɾikkaj
கொள்ளும்	koɭɭum
குறைந்து	kurajn̪t̪u
குறித்த்	kurit̪t̪
குறித்து	kurit̪t̪u
குழப்பம்	kuɻappam
குடிநீர்	kuʈin̪iːɾ
கூறியதாக	kuːrijat̪aːka
கூறினார்	kuːrinaːɾ
கூடுதலாக	kuːʈut̪alaːka
கூட்டுக்	kuːʈʈuk
கூட்டுப்	kuːʈʈup
லாபுவான்	l aː b u ʋ aː n
லொடுக்கு	l o ɖ u kː u
லட்சத்து	laʈt͡ʃat̪t̪u
லிமிடெட்	limiʈeʈ
மாதங்கள்	m aː d̪ ɐ ŋ ɡ ɐ ɭ
மாய்ச்சி	m aː j t͡ɕː i
மாம்பழம்	m aː m b ɐ ɻ ɐ m
மாமியார்	m aː m i j aː ɾ
மாமன்னன்	m aː m ɐ nː ɐ n
மாறுபாடு	m aː r u b aː ɖ u
மாத்திரை	m aː t̪ː i ɾ a ɪ̯
மாணாக்கி	m aː ɳ aː kː i
மார்பகம்	m aː ɾ b ɐ ɡ ɐ m
மாங்காய்	m aː ŋ ɡ aː j
மாங்கிஸ்	m aː ŋ ɡ i s
மாவட்டம்	m aː ʋ ɐ ʈː ɐ m
மெட்ராஸ்	m e ɖ ɾ aː s
மேய்ப்பு	m eː j pː u
மேலாண்மை	m eː l aː ɳ m a ɪ̯
மேம்பாடு	m eː m b aː ɖ u
மேன்மூடி	m eː n m uː ɖ i
மேற்கூரை	m eː r k uː ɾ a ɪ̯
மேற்றளம்	m eː rː ɐ ɭ ɐ m
மேட்டிமை	m eː ʈː i m a ɪ̯
மினுக்கு	m i n u kː u
மினுங்கு	m i n u ŋ ɡ u
மிகாவேல்	m i ɡ aː ʋ eː l
மிட்டாய்	m i ʈː aː j
மீகடத்தி	m iː k ɐ ɖ ɐ t̪ː i
மீக்கோள்	m iː kː oː ɭ
மீக்கூர்	m iː kː uː ɾ
மீனாக்ஷி	m iː n aː k ʂ i
மீனாட்சி	m iː n aː ʈ t͡ɕ i
மீநாயகன்	m iː n̪ aː j ɐ ɡ ɐ n
மீண்டும்	m iː ɳ ɖ u m
மொய்ம்பு	m o j m b u
முதலுதவி	m u d̪ ɐ l u d̪ ɐ ʋ i
முதல்வர்	m u d̪ ɐ l ʋ ɐ ɾ
முக்கால்	m u kː aː l
முக்காலி	m u kː aː l i
மும்மாரி	m u mː aː ɾ i
முன்பால்	m u n b aː l
முன்பில்	m u n b i l
முன்றுறை	m u n r u r a ɪ̯
முன்னாடி	m u nː aː ɖ i
முந்திரி	m u n̪ d̪ i ɾ i
முன்னோர்	m u nː oː ɾ
முன்னூறு	m u nː uː r u
முன்னதாக	m u nː ɐ d̪ aː ɡ ɐ
முப்பால்	m u pː aː l
முறையீடு	m u r a ɪ̯ j iː ɖ u
முற்கோள்	m u r k oː ɭ
முற்பகல்	m u r p ɐ ɡ ɐ l
முறுக்கு	m u r u kː u
முஸ்லிம்	m u s l i m
முஸ்லீம்	m u s l iː m
முத்தாடு	m u t̪ː aː ɖ u
முடிச்சு	m u ɖ i t͡ɕː u
முடிவிலி	m u ɖ i ʋ i l i
முள்நாறி	m u ɭ n̪ aː r i
முடுக்கு	m u ɖ u kː u
முருங்கை	m u ɾ u ŋ ɡ a ɪ̯
முழுங்கு	m u ɻ u ŋ ɡ u
முள்வாளை	m u ɭ ʋ aː ɭ a ɪ̯
முள்வேலி	m u ɭ ʋ eː l i
முண்டகம்	m u ɳ ɖ ɐ ɡ ɐ m
முட்டாள்	m u ʈː aː ɭ
மூர்ச்சை	m uː ɾ t͡ɕː a ɪ̯
மூர்ச்சி	m uː ɾ t͡ɕː i
மூங்கில்	m uː ŋ ɡ i l
மதுசூதன்	m ɐ d̪ u t͡ɕ uː d̪ ɐ n
மயிரிழவு	m ɐ j i ɾ i ɻ ɐ ʋ u
மலையாளம்	m ɐ l a ɪ̯ j aː ɭ ɐ m
மலையாழம்	m ɐ l a ɪ̯ j aː ɻ ɐ m
மலர்ச்சி	m ɐ l ɐ ɾ t͡ɕː i
மனிதவளம்	m ɐ n i d̪ ɐ ʋ ɐ ɭ ɐ m
மனோபாவம்	m ɐ n oː b aː ʋ ɐ m
மனக்குறை	m ɐ n ɐ kː u r a ɪ̯
மனந்தளர்	m ɐ n ɐ n̪ d̪ ɐ ɭ ɐ ɾ
மனசாட்சி	m ɐ n ɐ t͡ɕ aː ʈ t͡ɕ i
மந்தாரம்	m ɐ n̪ d̪ aː ɾ ɐ m
மந்திரம்	m ɐ n̪ d̪ i ɾ ɐ m
மந்திரர்	m ɐ n̪ d̪ i ɾ ɐ ɾ
மறுக்கம்	m ɐ r u kː ɐ m
மறுரூபம்	m ɐ r u ɾ uː b ɐ m
மத்ஸ்யம்	m ɐ t̪ s j ɐ m
மச்சினன்	m ɐ t͡ɕː i n ɐ n
மகாதேவன்	m ɐ ɡ aː d̪ eː ʋ ɐ n
மண்தைலம்	m ɐ ɳ d̪ a ɪ̯ l ɐ m
மணிமேகலை	m ɐ ɳ i m eː ɡ ɐ l a ɪ̯
மகிழ்வன்	m ɐ ɡ i ɻ ʋ ɐ n
மருநிலம்	m ɐ ɾ u n̪ i l ɐ m
மடுத்தல்	m ɐ ɖ u t̪ː ɐ l
மரக்கலம்	m ɐ ɾ ɐ kː ɐ l ɐ m
மணப்பெண்	m ɐ ɳ ɐ pː e ɳ
மகப்பேறு	m ɐ ɡ ɐ pː eː r u
மணவாட்டி	m ɐ ɳ ɐ ʋ aː ʈː i
மகரந்தம்	m ɐ ɡ ɐ ɾ ɐ n̪ d̪ ɐ m
மையங்கள்	majjaŋkaɭ
மகேந்திர	makeːn̪t̪iɾa
மக்களைக்	makkaɭajk
மக்களின்	makkaɭin
மனதையும்	manat̪ajjum
மன்மோகன்	manmoːkan
மத்தியக்	mat̪t̪ijak
மத்தியப்	mat̪t̪ijap
மரத்தில்	maɾat̪t̪il
மடிகின்ற	maʈikinra
மாவட்டம்	maːʋaʈʈam
மார்பகப்	maːɾpakap
மாட்டாது	maːʈʈaːt̪u
மாட்டேன்	maːʈʈeːn
மெக்ஸிகோ	meksikoː
மேற்கண்ட	meːrkaɳʈa
மேற்பட்ட	meːrpaʈʈa
மெட்ரிக்	meʈɾik
மிரட்டல்	miɾaʈʈal
மீன்பிடி	miːnpiʈi
முல்லைப்	mullajp
முல்லைத்	mullajt̪
முன்னதாக	munnat̪aːka
முன்னால்	munnaːl
முன்னாள்	munnaːɭ
முன்வந்த	munʋan̪t̪a
முந்திக்	mun̪t̪ik
முறையில்	murajjil
முஸ்லீம்	musliːm
முதலிடம்	mut̪aliʈam
முதல்வர்	mut̪alʋaɾ
முத்தையா	mut̪t̪ajjaː
முடியாது	muʈijaːt̪u
முடியும்	muʈijum
மூன்றில்	muːnril
நைட்ரஜன்	n̪ a ɪ̯ ʈ ɾ ɐ d͡ʑ ɐ n
நாயுருவி	n̪ aː j u ɾ u ʋ i
நாமக்கல்	n̪ aː m ɐ kː ɐ l
நாற்காலி	n̪ aː r k aː l i
நாராயணன்	n̪ aː ɾ aː j ɐ ɳ ɐ n
நாளெல்லை	n̪ aː ɭ e l l a ɪ̯
நாள்மீன்	n̪ aː ɭ m iː n
நாளுக்கு	n̪ aː ɭ u kː u
நாகசுரம்	n̪ aː ɡ ɐ t͡ɕ u ɾ ɐ m
நாகரிகம்	n̪ aː ɡ ɐ ɾ i ɡ ɐ m
நாட்டாமை	n̪ aː ʈː aː m a ɪ̯
நாட்டான்	n̪ aː ʈː aː n
நாட்டார்	n̪ aː ʈː aː ɾ
நெய்ப்பு	n̪ e j pː u
நெறிமுறை	n̪ e r i m u r a ɪ̯
நெசவாளர்	n̪ e t͡ɕ ɐ ʋ aː ɭ ɐ ɾ
நெகேமியா	n̪ e ɡ eː m i j aː
நெருக்கு	n̪ e ɾ u kː u
நெடுநாரை	n̪ e ɖ u n̪ aː ɾ a ɪ̯
நெருப்பு	n̪ e ɾ u pː u
நெருங்கு	n̪ e ɾ u ŋ ɡ u
நேர்பாடு	n̪ eː ɾ b aː ɖ u
நேர்த்தி	n̪ eː ɾ t̪ː i
நேர்ச்சி	n̪ eː ɾ t͡ɕː i
நேர்விடை	n̪ eː ɾ ʋ i ɖ a ɪ̯
நிபந்தனை	n̪ i b ɐ n̪ d̪ ɐ n a ɪ̯
நிலைபெறு	n̪ i l a ɪ̯ b e r u
நிலைப்பு	n̪ i l a ɪ̯ pː u
நிலைகுலை	n̪ i l a ɪ̯ ɡ u l a ɪ̯
நிலப்பனை	n̪ i l ɐ pː ɐ n a ɪ̯
நிலவியல்	n̪ i l ɐ ʋ i j ɐ l
நினைப்பு	n̪ i n a ɪ̯ pː u
நினைவகம்	n̪ i n a ɪ̯ ʋ ɐ ɡ ɐ m
நிறைவேறு	n̪ i r a ɪ̯ ʋ eː r u
நிறுத்து	n̪ i r u t̪ː u
நிறுவனம்	n̪ i r u ʋ ɐ n ɐ m
நித்திரை	n̪ i t̪ː i ɾ a ɪ̯
நிசப்தம்	n̪ i t͡ɕ ɐ p t̪ ɐ m
நிச்சயம்	n̪ i t͡ɕː ɐ j ɐ m
நிரூபணம்	n̪ i ɾ uː b ɐ ɳ ɐ m
நிடூதனன்	n̪ i ɖ uː d̪ ɐ n ɐ n
நிர்வாகி	n̪ i ɾ ʋ aː ɡ i
நிர்ணயம்	n̪ i ɾ ɳ ɐ j ɐ m
நீதிமான்	n̪ iː d̪ i m aː n
நீலக்கல்	n̪ iː l ɐ kː ɐ l
நீளிப்பு	n̪ iː ɭ i pː u
நீரிழிவு	n̪ iː ɾ i ɻ i ʋ u
நீர்நாய்	n̪ iː ɾ n̪ aː j
நீர்வாழை	n̪ iː ɾ ʋ aː ɻ a ɪ̯
நீர்வளம்	n̪ iː ɾ ʋ ɐ ɭ ɐ m
நீட்டிநட	n̪ iː ʈː i n̪ ɐ ɖ ɐ
நொறுக்கு	n̪ o r u kː u
நொறுங்கு	n̪ o r u ŋ ɡ u
நொடிப்பு	n̪ o ɖ i pː u
நொர்ஸ்க்	n̪ o ɾ s k
நோக்காடு	n̪ oː kː aː ɖ u
நூதனசாலை	n̪ uː d̪ ɐ n ɐ t͡ɕ aː l a ɪ̯
நூறாயிசு	n̪ uː r aː j i t͡ɕ u
நூறுகோடி	n̪ uː r u ɡ oː ɖ i
நக்கவரம்	n̪ ɐ kː ɐ ʋ ɐ ɾ ɐ m
நனிசைவம்	n̪ ɐ n i t͡ɕ a ɪ̯ ʋ ɐ m
நன்னிறம்	n̪ ɐ nː i r ɐ m
நற்கருணை	n̪ ɐ r k ɐ ɾ u ɳ a ɪ̯
நறுவல்லி	n̪ ɐ r u ʋ ɐ l l i
நடைகிணறு	n̪ ɐ ɖ a ɪ̯ ɡ i ɳ ɐ r u
நங்கூரம்	n̪ ɐ ŋ ɡ uː ɾ ɐ m
நகர்த்து	n̪ ɐ ɡ ɐ ɾ t̪ː u
நகரப்பதி	n̪ ɐ ɡ ɐ ɾ ɐ pː ɐ d̪ i
நள்ளிரவு	n̪ ɐ ɭː i ɾ ɐ ʋ u
நகராட்சி	n̪akaɾaːʈt͡ʃi
நகருக்கு	n̪akaɾukku
நல்லெண்ண	n̪alleɳɳa
நம்முடைய	n̪ammuʈajja
நம்பியத்	n̪ampijat̪
நம்புவத்	n̪ampuʋat̪
நடைபெற்ற	n̪aʈajperra
நரேந்திர	n̪aɾeːn̪t̪iɾa
நாடுகளான	n̪aːʈukaɭaːna
நாட்டைச்	n̪aːʈʈajt͡ʃ
நாட்டில்	n̪aːʈʈil
நாட்டின்	n̪aːʈʈin
நேரடியாக	n̪eːɾaʈijaːka
நிகழ்ந்த	n̪ikaɻn̪t̪a
நிலையில்	n̪ilajjil
நினைத்து	n̪inajt̪t̪u
நினைவுச்	n̪inajʋut͡ʃ
நிறைவடைய	n̪irajʋaʈajja
நிறுவனத்	n̪iruʋanat̪
நிறுவனர்	n̪iruʋanaɾ
நிதியைய்	n̪it̪ijajj
நிவாரணப்	n̪iʋaːɾaɳap
நுழைவுத்	n̪uɻajʋut̪
ஒழுக்கம்	o ɻ u kː ɐ m
ஒப்புதல்	opput̪al
ஒற்றையர்	orrajjaɾ
ஒதுக்கக்	ot̪ukkak
ஒதுக்கப்	ot̪ukkap
ஓணான்கள்	oː ɳ aː n ɡ ɐ ɭ
ஒருமித்த	oɾumit̪t̪a
ஒருவரித்	oɾuʋaɾit̪
ஒருவரும்	oɾuʋaɾum
ஓராண்டாக	oːɾaːɳʈaːka
ஓட்டுநர்	oːʈʈun̪aɾ
பட்டபோது	p a ʈː a p oː d̪ u
பாய்மரம்	p aː j m ɐ ɾ ɐ m
பாலைவனம்	p aː l a ɪ̯ ʋ ɐ n ɐ m
பாலூட்டி	p aː l uː ʈː i
பாற்கடல்	p aː r k ɐ ɖ ɐ l
பாராட்டு	p aː ɾ aː ʈː u
பாவிப்பு	p aː ʋ i pː u
பாரசீகம்	p aː ɾ ɐ t͡ɕ iː ɡ ɐ m
பெய்துரை	p e j d̪ u ɾ a ɪ̯
பெயர்வழி	p e j ɐ ɾ ʋ ɐ ɻ i
பெற்றிமை	p e rː i m a ɪ̯
பெற்றவன்	p e rː ɐ ʋ ɐ n
பெண்பால்	p e ɳ b aː l
பெரியார்	p e ɾ i j aː ɾ
பெரியோன்	p e ɾ i j oː n
பெரியவர்	p e ɾ i j ɐ ʋ ɐ ɾ
பெர்லின்	p e ɾ l i n
பெர்லிஸ்	p e ɾ l i s
பெண்சனம்	p e ɳ t͡ɕ ɐ n ɐ m
பெருக்கு	p e ɾ u kː u
பெளதிகம்	p e ɭ ɐ d̪ i ɡ ɐ m
பெட்ரோல்	p e ʈ ɾ oː l
பெண்குறி	p e ɳ ɡ u r i
பேராலயம்	p eː ɾ aː l ɐ j ɐ m
பேருந்து	p eː ɾ u n̪ d̪ u
பிப்ரவரி	p i b ɾ ɐ ʋ ɐ ɾ i
பிதுங்கு	p i d̪ u ŋ ɡ u
பிலிம்பி	p i l i m b i
பினாங்கு	p i n aː ŋ ɡ u
பின்போடு	p i n b oː ɖ u
பின்னாலே	p i nː aː l eː
பின்னாடி	p i nː aː ɖ i
பின்னும்	p i nː u m
பின்னவன்	p i nː ɐ ʋ ɐ n
பின்னவள்	p i nː ɐ ʋ ɐ ɭ
பிறைதொழு	p i r a ɪ̯ d̪ o ɻ u
பிறாண்டு	p i r aː ɳ ɖ u
பிற்காலி	p i r k aː l i
பிற்கூழை	p i r k uː ɻ a ɪ̯
பிற்பகல்	p i r p ɐ ɡ ɐ l
பிசாத்து	p i t͡ɕ aː t̪ː u
பிசுபிசு	p i t͡ɕ u b i t͡ɕ u
பிசறுதல்	p i t͡ɕ ɐ r u d̪ ɐ l
பிசங்கம்	p i t͡ɕ ɐ ŋ ɡ ɐ m
பிசண்டம்	p i t͡ɕ ɐ ɳ ɖ ɐ m
பிழைப்பு	p i ɻ a ɪ̯ pː u
பிரான்ஸ்	p i ɾ aː n s
பிராட்டி	p i ɾ aː ʈː i
பிளிற்று	p i ɭ i rː u
பிருதிவி	p i ɾ u d̪ i ʋ i
பிடுங்கு	p i ɖ u ŋ ɡ u
பிரதேசம்	p i ɾ ɐ d̪ eː t͡ɕ ɐ m
பிரமாணம்	p i ɾ ɐ m aː ɳ ɐ m
பிரசாதம்	p i ɾ ɐ t͡ɕ aː d̪ ɐ m
பிரசினம்	p i ɾ ɐ t͡ɕ i n ɐ m
பிரசங்கி	p i ɾ ɐ t͡ɕ ɐ ŋ ɡ i
பிரச்சனை	p i ɾ ɐ t͡ɕː ɐ n a ɪ̯
பிரகாசம்	p i ɾ ɐ ɡ aː t͡ɕ ɐ m
பிரகாரம்	p i ɾ ɐ ɡ aː ɾ ɐ m
பிங்கலம்	p i ŋ ɡ ɐ l ɐ m
பிரகடனம்	p i ɾ ɐ ɡ ɐ ɖ ɐ n ɐ m
பீசுகோலா	p iː t͡ɕ u ɡ oː l aː
பீடிப்பு	p iː ɖ i pː u
பீட்ரூட்	p iː ʈ ɾ uː ʈ
பொறுப்பு	p o r u pː u
பொத்தாறு	p o t̪ː aː r u
பொருந்து	p o ɾ u n̪ d̪ u
பொருத்து	p o ɾ u t̪ː u
பொருவாய்	p o ɾ u ʋ aː j
போதியார்	p oː d̪ i j aː ɾ
புதல்வன்	p u d̪ ɐ l ʋ ɐ n
புக்கில்	p u kː i l
புலம்பல்	p u l ɐ m b ɐ l
புற்கலம்	p u r k ɐ l ɐ m
புஸ்தகம்	p u s t̪ ɐ ɡ ɐ m
புசிப்பு	p u t͡ɕ i pː u
புத்தகம்	p u t̪ː ɐ ɡ ɐ m
புடைப்பு	p u ɖ a ɪ̯ pː u
புரிந்து	p u ɾ i n̪ d̪ u
புகுத்து	p u ɡ u t̪ː u
புகலிடம்	p u ɡ ɐ l i ɖ ɐ m
புண்டரம்	p u ɳ ɖ ɐ ɾ ɐ m
பூலாஞ்சி	p uː l aː ɲ d͡ʑ i
பூஞ்சணம்	p uː ɲ d͡ʑ ɐ ɳ ɐ m
பூகம்பம்	p uː ɡ ɐ m b ɐ m
பூகண்டம்	p uː ɡ ɐ ɳ ɖ ɐ m
பதிமுகம்	p ɐ d̪ i m u ɡ ɐ m
பயிருழவு	p ɐ j i ɾ u ɻ ɐ ʋ u
பயிர்வழி	p ɐ j i ɾ ʋ ɐ ɻ i
பயன்பாடு	p ɐ j ɐ n b aː ɖ u
பக்குவம்	p ɐ kː u ʋ ɐ m
பல்லக்கு	p ɐ l l ɐ kː u
பலுக்கல்	p ɐ l u kː ɐ l
பத்தியம்	p ɐ t̪ː i j ɐ m
பத்திரம்	p ɐ t̪ː i ɾ ɐ m
பத்திரன்	p ɐ t̪ː i ɾ ɐ n
படையாளன்	p ɐ ɖ a ɪ̯ j aː ɭ ɐ n
பராசக்தி	p ɐ ɾ aː t͡ɕ ɐ k t̪ i
பரிதானம்	p ɐ ɾ i d̪ aː n ɐ m
பரிதியம்	p ɐ ɾ i d̪ i j ɐ m
பணியாரம்	p ɐ ɳ i j aː ɾ ɐ m
பணிக்கன்	p ɐ ɳ i kː ɐ n
பரிசீலனை	p ɐ ɾ i t͡ɕ iː l ɐ n a ɪ̯
பரிசோதனை	p ɐ ɾ i t͡ɕ oː d̪ ɐ n a ɪ̯
பரிசுத்த	p ɐ ɾ i t͡ɕ u t̪ː ɐ
பரிவாரம்	p ɐ ɾ i ʋ aː ɾ ɐ m
பகுத்தல்	p ɐ ɡ u t̪ː ɐ l
பருவுழவு	p ɐ ɾ u ʋ u ɻ ɐ ʋ u
பண்டாரம்	p ɐ ɳ ɖ aː ɾ ɐ m
பரபரப்பு	p ɐ ɾ ɐ b ɐ ɾ ɐ pː u
பகதத்தன்	p ɐ ɡ ɐ d̪ ɐ t̪ː ɐ n
பண்டிதம்	p ɐ ɳ ɖ i d̪ ɐ m
பண்டிதன்	p ɐ ɳ ɖ i d̪ ɐ n
பழச்சாறு	p ɐ ɻ ɐ t͡ɕː aː r u
பங்குரம்	p ɐ ŋ ɡ u ɾ ɐ m
பகர்த்து	p ɐ ɡ ɐ ɾ t̪ː u
பகர்ச்சி	p ɐ ɡ ɐ ɾ t͡ɕː i
பவளங்கள்	p ɐ ʋ ɐ ɭ ɐ ŋ ɡ ɐ ɭ
பட்டபோது	p ɐ ʈː ɐ p oː d̪ ɯ
பயனில்லை	pajanillaj
பலனில்லை	palanillaj
பதவிக்கு	pat̪aʋikku
பதிலாகக்	pat̪ilaːkak
பதிவாயின	pat̪iʋaːjina
பரபரப்பை	paɾapaɾappaj
பணியாற்ற	paɳijaːrra
பணிகளில்	paɳikaɭil
பங்கேற்க	paŋkeːrka
பாதிப்பு	paːt̪ippu
படுகிறது	paʈukirat̪u
பாராட்டி	paːɾaːʈʈi
பாராட்டு	paːɾaːʈʈu
பாவ்நகர்	paːʋn̪akaɾ
பார்த்து	paːɾt̪t̪u
பெற்றால்	perraːl
பெற்றார்	perraːɾ
பெற்றுக்	perruk
பெற்றுத்	perrut̪
பெரியாறு	peɾijaːru
பெரியார்	peɾijaːɾ
பெரிதும்	peɾit̪um
பேசினார்	peːt͡ʃinaːɾ
பேச்சும்	peːt͡ʃt͡ʃum
பெருமையை	peɾumajjaj
பேரிலேயே	peːɾileːjeː
பிரானேஷ்	piɾaːneːʂ
பிரேஸில்	piɾeːsil
பிரேசில்	piɾeːt͡ʃil
பிடித்த்	piʈit̪t̪
பிரிவில்	piɾiʋil
பொன்சேகா	pont͡ʃeːkaː
பொறுப்பை	poruppaj
பொறுப்பு	poruppu
போயுள்ளன	poːjuɭɭana
போக்கைக்	poːkkajk
போலீஸார்	poːliːsaːɾ
போலீசார்	poːliːt͡ʃaːɾ
போரினால்	poːɾinaːl
போட்டிய்	poːʈʈij
புகாரில்	pukaːɾil
புதைத்து	put̪ajt̪t̪u
புள்ளிக்	puɭɭik
ஸாஹுகார்	s aː h u ɡ aː ɾ
ஸாலியானா	s aː l i j aː n aː
ஸ்பஷ்டம்	s p ɐ ʂ ʈ ɐ m
ஸ்தாபனம்	s t̪ aː b ɐ n ɐ m
ஸ்வர்ணம்	s ʋ ɐ ɾ ɳ ɐ m
தாய்மொழி	t̪ aː j m o ɻ i
தாலாட்டு	t̪ aː l aː ʈː u
தானியேல்	t̪ aː n i j eː l
தாட்கோல்	t̪ aː ʈ k oː l
தாண்டவம்	t̪ aː ɳ ɖ ɐ ʋ ɐ m
தெலுங்கு	t̪ e l u ŋ ɡ u
தென்மொழி	t̪ e n m o ɻ i
தென்காசி	t̪ e n ɡ aː t͡ɕ i
தென்னாடு	t̪ e nː aː ɖ u
தெரிப்பு	t̪ e ɾ i pː u
தெகுரான்	t̪ e ɡ u ɾ aː n
தேய்பிறை	t̪ eː j b i r a ɪ̯
தேனிறால்	t̪ eː n i r aː l
தேன்மொழி	t̪ eː n m o ɻ i
தேன்கூடு	t̪ eː n ɡ uː ɖ u
தேவாலயம்	t̪ eː ʋ aː l ɐ j ɐ m
தேவாங்கு	t̪ eː ʋ aː ŋ ɡ u
தேர்ச்சி	t̪ eː ɾ t͡ɕː i
தேங்காய்	t̪ eː ŋ ɡ aː j
தேவதைகள்	t̪ eː ʋ ɐ d̪ a ɪ̯ ɡ ɐ ɭ
தேவதூதன்	t̪ eː ʋ ɐ d̪ uː d̪ ɐ n
திராவகம்	t̪ i ɾ aː ʋ ɐ ɡ ɐ m
திரியும்	t̪ i ɾ i j u m
திருக்கை	t̪ i ɾ u kː a ɪ̯
திருமால்	t̪ i ɾ u m aː l
திரும்பு	t̪ i ɾ u m b u
திருமணம்	t̪ i ɾ u m ɐ ɳ ɐ m
திருமகள்	t̪ i ɾ u m ɐ ɡ ɐ ɭ
திருந்து	t̪ i ɾ u n̪ d̪ u
திருப்தி	t̪ i ɾ u p t̪ i
திருப்பு	t̪ i ɾ u pː u
திருத்து	t̪ i ɾ u t̪ː u
திருகாணி	t̪ i ɾ u ɡ aː ɳ i
திருவிழா	t̪ i ɾ u ʋ i ɻ aː
திருட்டு	t̪ i ɾ u ʈː u
திண்டாடு	t̪ i ɳ ɖ aː ɖ u
திரவிடம்	t̪ i ɾ ɐ ʋ i ɖ ɐ m
திரிபுரா	t̪ i ɾ̪ i p u ɾ̪ aː
தீக்கடல்	t̪ iː kː ɐ ɖ ɐ l
தீனிப்பை	t̪ iː n i pː a ɪ̯
தீர்ப்பு	t̪ iː ɾ pː u
தொலைபேசி	t̪ o l a ɪ̯ b eː t͡ɕ i
தொழிலாளி	t̪ o ɻ i l aː ɭ i
தொழும்பு	t̪ o ɻ u m b u
தொகுப்பு	t̪ o ɡ u pː u
தொடுப்பு	t̪ o ɖ u pː u
தொடுத்து	t̪ o ɖ u t̪ː u
தொடங்கல்	t̪ o ɖ ɐ ŋ ɡ ɐ l
தொண்ணூறு	t̪ o ɳː uː r u
தோண்டான்	t̪ oː ɳ ɖ aː n
தோட்டிமை	t̪ oː ʈː i m a ɪ̯
துரியான்	t̪ u ɾ i j aː n
துர்க்கை	t̪ u ɾ kː a ɪ̯
தூர்வாரு	t̪ uː ɾ ʋ aː ɾ u
தூண்டில்	t̪ uː ɳ ɖ i l
தமிழிடம்	t̪ ɐ m i ɻ i ɖ ɐ m
தமிழுடைய	t̪ ɐ m i ɻ u ɖ a ɪ̯ j ɐ
தமிழுடன்	t̪ ɐ m i ɻ u ɖ ɐ n
தமிழச்சி	t̪ ɐ m i ɻ ɐ t͡ɕː i
தற்போதம்	t̪ ɐ r p oː d̪ ɐ m
தஸ்தவேசு	t̪ ɐ s t̪ ɐ ʋ eː t͡ɕ u
தத்துவம்	t̪ ɐ t̪ː u ʋ ɐ m
தர்மபுரி	t̪ ɐ ɾ m ɐ b u ɾ i
தரோபஸ்து	t̪ ɐ ɾ oː b ɐ s t̪ u
தர்ச்சனி	t̪ ɐ ɾ t͡ɕː ɐ n i
தருமராசா	t̪ ɐ ɾ u m ɐ ɾ aː t͡ɕ aː
தங்குதல்	t̪ ɐ ŋ ɡ u d̪ ɐ l
தங்கமீன்	t̪ ɐ ŋ ɡ ɐ m iː n
தளர்ச்சி	t̪ ɐ ɭ ɐ ɾ t͡ɕː i
தைரியமாக	t̪ajɾijamaːka
தகவல்கள்	t̪akaʋalkaɭ
தலைவரும்	t̪alajʋaɾum
தடைபட்டு	t̪aʈajpaʈʈu
தளத்தின்	t̪aɭat̪t̪in
தங்களின்	t̪aŋkaɭin
தண்டனைக்	t̪aɳʈanajk
தாண்டிய்	t̪aːɳʈij
தெரிந்து	t̪eɾin̪t̪u
தேதிக்க்	t̪eːt̪ikk
திருப்பி	t̪iɾuppi
திருடிச்	t̪iɾuʈit͡ʃ
திருவிழா	t̪iɾuʋiɻaː
தீவிரவாத	t̪iːʋiɾaʋaːt̪a
தீர்ந்தன	t̪iːɾn̪t̪ana
தீர்ப்பு	t̪iːɾppu
தீவுக்க்	t̪iːʋukk
தொகையைப்	t̪okajjajp
தொகுதிப்	t̪okut̪ip
