ღ,ʁ
დელეგაცია,deleɡat͡sʰia
დელი,deli
დელიკატური,delikʼatʼuɾi
დელტა,deltʼa
დელფინი,delpʰini
დემაგოგი,demaɡoɡi
დემაგოგია,demaɡoɡia
დემაგოგიური,demaɡoɡiuɾi
დემარკაცია,demaɾkʼat͡sʰia
დემეტრე,demetʼɾe
დემოგრაფია,demoɡɾapʰia
დემოგრაფიული,demoɡɾapʰiuli
დემოკრატი,demokʼɾatʼi
დემოკრატიულად,demokʼɾatʼiuɫad
დემოკრატიული,demokʼɾatʼiuli
დემონი,demoni
დემონსტრაცია,demonstʼɾat͡sʰia
დემონტაჟი,demontʼaʒi
დემონურად,demonuɾad
დემონური,demonuɾi
დენთი,dentʰi
დენი,deni
დენისი,denisi
დეპეშა,depʼeʃa
დეპოზიტი,depʼozitʼi
დეპონენტი,depʼonentʼi
დეპორტაცია,depʼoɾtʼat͡sʰia
დეპრესია,depʼɾesia
დეპუტაცია,depʼutʼat͡sʰia
დეჟავუ,deʒavu
დერბი,deɾbi
დერეფანი,deɾepʰani
დერვიში,deɾʷiʃi
დერმატიტი,deɾmatʼitʼi
დერმატოლოგი,deɾmatʼoɫoɡi
დერმატოლოგია,deɾmatʼoɫoɡia
დესერტი,deseɾtʼi
დესპანი,despʼani
დესპოტი,despʼotʼi
დესპოტიზმი,despʼotʼizmi
დესპოტურად,despʼotʼuɾad
დესპოტური,despʼotʼuɾi
დეტალი,detʼali
დეტალურად,detʼaɫuɾad
დეტალური,detʼaɫuɾi
დეტექტივი,detʼekʰtʼivi
დეტონატორი,detʼonatʼoɾi
დეტონაცია,detʼonat͡sʰia
დეფექტი,depʰekʰtʼi
დეფისი,depʰisi
დეფიციტი,depʰit͡sʰitʼi
დეფლაცია,depʰɫat͡sʰia
დეფლაციური,depʰɫat͡sʰiuɾi
დექსტროზა,dekʰstʼɾoza
დვალიშვილი,dʷaliʃʷili
დვრილები,dʷɾilebi
დვრილი,dʷɾili
დვრიტა,dʷɾitʼa
დიაბეტი,diabetʼi
დიაბეტური,diabetʼuɾi
დიაგნოზი,diaɡnozi
დიაგონალი,diaɡonali
დიაგონალური,diaɡonaɫuɾi
დიაგრამა,diaɡɾama
დიაგუნალურად,diaɡunaɫuɾad
დიადად,diadad
დიადემა,diadema
დიადი,diadi
დიაკრიტიკული,diakʼɾitʼikʼuli
დიალექტი,dialekʰtʼi
დიალექტიკა,dialekʰtʼikʼa
დიალექტიკოსი,dialekʰtʼikʼosi
დიალექტიკური,dialekʰtʼikʼuɾi
დიალოგი,diaɫoɡi
დიამეტრი,diametʼɾi
დიამეტრულად,diametʼɾuɫad
დიანა,diana
დიაპაზონი,diapʼazoni
დიარეა,diaɾea
დიასახლისი,diasaχlisi
დიასპორა,diaspʼoɾa
დიაფრაგმა,diapʰɾaɡma
დიაღ,diaʁ
დიახ,diaχ
დიდაქტიკურად,didakʰtʼikʼuɾad
დიდაქტიკური,didakʰtʼikʼuɾi
დიდება,dideba
დიდებულად,didebuɫad
დიდებულება,didebuleba
დიდებულები,didebulebi
დიდებული,didebuli
დიდებულიძე,didebulid͡ze
დიდედა,dideda
დიდი,didi
დიდმოწამე,didmot͡sʼame
დიდოსტატი,didostʼatʼi
დიდოური,didouɾi
დიდსულოვანი,didsuɫovani
დიდსულოვნად,didsuɫovnad
დიდსულოვნება,didsuɫovneba
დიდძალი,didd͡zali
დიდხანს,didχans
დიეზი,diezi
დიეტა,dietʼa
დიეტური,dietʼuɾi
დივანი,divani
დივერსანტი,diveɾsantʼi
დივიდენდი,dividendi
დიზაინი,dizaini
დიზელი,dizeli
დიზენტერია,dizentʼeɾia
დიკა,dikʼa
დიკი,dikʼi
დილა,diɫa
დილეგი,dileɡi
დილემა,dilema
დილერი,dileɾi
დილეტანტი,diletʼantʼi
დილეტანტიზმი,diletʼantʼizmi
დილეტანტური,diletʼantʼuɾi
დილით,dilitʰ
დიმიტრი,dimitʼɾi
დინამიზმი,dinamizmi
დინამიკა,dinamikʼa
დინამიკი,dinamikʼi
დინამიკურად,dinamikʼuɾad
დინამიკური,dinamikʼuɾi
დინამიტი,dinamitʼi
დინარი,dinaɾi
დინასტია,dinastʼia
დინასტიური,dinastʼiuɾi
დინგი,dinɡi
დინდგელი,dindɡeli
დინება,dineba
დინები,dinebi
დინი,dini
დინოზავრი,dinozavɾi
დინჯად,dind͡ʒad
დინჯი,dind͡ʒi
დიოფიზიტი,diopʰizitʼi
დიოფიზიტობა,diopʰizitʼoba
დიპლომატი,dipʼɫomatʼi
დიპლომატია,dipʼɫomatʼia
დიპლომატიურად,dipʼɫomatʼiuɾad
დიპლომატიური,dipʼɫomatʼiuɾi
დიპლომი,dipʼɫomi
დირექტივა,diɾekʰtʼiva
დირექტორატი,diɾekʰtʼoɾatʼi
დირექტორი,diɾekʰtʼoɾi
დირექტორობა,diɾekʰtʼoɾoba
დირიჟაბლი,diɾiʒabli
დირიჟორი,diɾiʒoɾi
დის,dis
დისერტაცია,diseɾtʼat͡sʰia
დისიდენტი,disidentʼi
დისკი,diskʼi
დისკო,diskʼo
დისკოგრაფია,diskʼoɡɾapʰia
დისკოთეკა,diskʼotʰekʼa
დისკომფორტი,diskʼompʰoɾtʼi
დისკოტეკა,diskʼotʼekʼa
დისკრეტული,diskʼɾetʼuli
დისკუსია,diskʼusia
დისლოკაცია,disɫokʼat͡sʰia
დისონანსი,disonansi
დისპანსერი,dispʼanseɾi
დისპეფსია,dispʼepʰsia
დისპროზიუმი,dispʼɾoziumi
დისპუტი,dispʼutʼi
დისტილატორი,distʼiɫatʼoɾi
დისტილაცია,distʼiɫat͡sʰia
დისშვილი,disʃʷili
დისციპლინა,dist͡sʰipʼlina
დისწული,dist͡sʼuli
დიუნი,diuni
დიუსელდორფი,diuseldoɾpʰi
დიფერენციალი,dipʰeɾent͡sʰiali
დიფერენციალურად,dipʰeɾent͡sʰiaɫuɾad
დიფთერია,dipʰtʰeɾia
დიფრაქცია,dipʰɾakʰt͡sʰia
დიფუზია,dipʰuzia
დიფუზიურად,dipʰuziuɾad
დიფუზიური,dipʰuziuɾi
დიქოტომია,dikʰotʼomia
დიქტატორი,dikʰtʼatʼoɾi
დიქტატორულად,dikʰtʼatʼoɾuɫad
დიქტატორული,dikʰtʼatʼoɾuli
დიქტატურა,dikʰtʼatʼuɾa
დიქტორი,dikʰtʼoɾi
დიღომი,diʁomi
დიხამინჯია,diχamind͡ʒia
დნობა,dnoba
დნობადი,dnobadi
დო,do
დობა,doba
დოგმა,doɡma
დოგმატი,doɡmatʼi
დოგმატიზმი,doɡmatʼizmi
დოგმატურად,doɡmatʼuɾad
დოგმატური,doɡmatʼuɾi
დოზა,doza
დოზირება,doziɾeba
დოინჯი,doind͡ʒi
დოინჯშემოყრილი,doind͡ʒʃemoχʼɾili
დოკერი,dokʼeɾi
დოკი,dokʼi
დოკუმენტაცია,dokʼumentʼat͡sʰia
დოკუმენტი,dokʼumentʼi
დოკუმენტური,dokʼumentʼuɾi
დოლაბი,doɫabi
დოლარი,doɫaɾi
დოლმენი,dolmeni
დომინიკა,dominikʼa
დომინიონი,dominioni
დომინო,domino
დომხალი,domχali
დონალდი,donaldi
დონე,done
დონედ,doned
დონემ,donem
დონეს,dones
დონეცკი,donet͡sʰkʼi
დონით,donitʰ
დონის,donis
დონკიხოტობა,donkʼiχotʼoba
დონკიხოტურად,donkʼiχotʼuɾad
დონორი,donoɾi
დორა,doɾa
დორბლი,doɾbli
დორტმუნდი,doɾtʼmundi
დოსიე,dosie
დოტაცია,dotʼat͡sʰia
დოქი,dokʰi
დოქტრინა,dokʰtʼɾina
დოღი,doʁi
დოყლაპია,doχʼɫapʼia
დრაგუნი,dɾaɡuni
დრაკონი,dɾakʼoni
დრაკონული,dɾakʼonuli
დრამა,dɾama
დრამატიზაცია,dɾamatʼizat͡sʰia
დრამატულად,dɾamatʼuɫad
დრამატული,dɾamatʼuli
დრამატურგი,dɾamatʼuɾɡi
დრაქმა,dɾakʰma
დრედნოუტი,dɾednoutʼi
დრეზდენი,dɾezdeni
დრეიფი,dɾeipʰi
დრეკადი,dɾekʼadi
დრეკადობა,dɾekʼadoba
დრეკს,dɾekʼs
დრენაჟი,dɾenaʒi
დრო,dɾo
დროგამოშვებით,dɾoɡamoʃʷebitʰ
დროდ,dɾod
დროდადრო,dɾodadɾo
დროები,dɾoebi
დროებით,dɾoebitʰ
დროებითად,dɾoebitʰad
დროებითი,dɾoebitʰi
დროზე,dɾoze
დროზოფილა,dɾozopʰiɫa
დროით,dɾoitʰ
დროის,dɾois
დრომ,dɾom
დრომოჭმული,dɾomot͡ʃʼmuli
დროს,dɾos
დროსტარება,dɾostʼaɾeba
დროულად,dɾouɫad
დროული,dɾouli
დროულობა,dɾouɫoba
დროშა,dɾoʃa
დრუიდი,dɾuidi
დრუნჩა,dɾunt͡ʃʰa
დრუნჩი,dɾunt͡ʃʰi
დუბლიკატი,dublikʼatʼi
დუბლინი,dublini
დუბლიორი,dublioɾi
დუბლირება,dubliɾeba
დუგლასი,duɡɫasi
დუდუჩავა,dudut͡ʃʰava
დუელი,dueli
დუელისტი,duelistʼi
დუეტი,duetʼi
დუკატი,dukʼatʼi
დუმილი,dumili
დუნე,dune
დუნედ,duned
დუნია,dunia
დუოპოლია,duopʼolia
დუჟინი,duʒini
დურბინდი,duɾbindi
დურგალი,duɾɡali
დური,duɾi
დურიო,duɾio
დუქანი,dukʰani
დუღება,duʁeba
დუღილი,duʁili
დუშანბე,duʃanbe
დუშგელი,duʃɡeli
დუჩე,dut͡ʃʰe
დღგ,dʁɡ
დღე,dʁe
დღეები,dʁeebi
დღევანდელი,dʁevandeli
დღემ,dʁem
დღემდე,dʁemde
დღეობა,dʁeoba
დღეს,dʁes
დღესასწაული,dʁesast͡sʼauli
დღეღამე,dʁeʁame
დღეღამტოლობა,dʁeʁamtʼoɫoba
დღვებს,dʁʷebs
დღის,dʁis
ე,ɛ
ეაკულაცია,eakʼuɫat͡sʰia
ეახლა,eaχɫa
ეახლება,eaχleba
ებონიტი,ebonitʼi
ებრაელი,ebɾaeli
ებრაული,ebɾauli
ეგ,eɡ
ეგეთი,eɡetʰi
ეგენი,eɡeni
ეგვიპტე,eɡʷipʼtʼe
ეგვიპტური,eɡʷipʼtʼuɾi
ეგზემა,eɡzema
ეგზოტიკური,eɡzotʼikʼuɾi
ეგიდა,eɡida
ეგოიზმი,eɡoizmi
ეგოისტი,eɡoistʼi
ეგოისტურად,eɡoistʼuɾad
ეგოისტური,eɡoistʼuɾi
ეგოტიზმი,eɡotʼizmi
ეგოცენტრული,eɡot͡sʰentʼɾuli
ეგრე,eɡɾe
ეგრევე,eɡɾeve
ეგრისი,eɡɾisi
ედგარი,edɡaɾi
ედელვაისი,edelʷaisi
ედვარდი,edʷaɾdi
ედინბურგი,edinbuɾɡi
ედიქტი,edikʰtʼi
ედმუნდი,edmundi
ევა,eva
ევაკუაცია,evakʼuat͡sʰia
ევასები,evasebi
ევგენი,evɡeni
ევგენიკა,evɡenikʼa
ევერესტი,eveɾestʼi
ევკალიპტი,efkʼalipʼtʼi
ევკლიდური,efkʼliduɾi
ევოლუცია,evoɫut͡sʰia
ევოლუციური,evoɫut͡sʰiuɾi
ევრაზია,evɾazia
ევრაზიული,evɾaziuli
ევრო,evɾo
ევროზონა,evɾozona
ევროკავშირი,evɾokʼafʃiɾi
ევროკომისია,evɾokʼomisia
ევროპა,evɾopʼa
ევროპად,evɾopʼad
ევროპამ,evɾopʼam
ევროპარლამენტი,evɾopʼaɾɫamentʼi
ევროპას,evɾopʼas
ევროპე,evɾopʼe
ევროპელი,evɾopʼeli
ევროპით,evɾopʼitʰ
ევროპის,evɾopʼis
ევროპიუმი,evɾopʼiumi
ევროპული,evɾopʼuli
ევფემიზმი,efpʰemizmi
ევფემისტურად,efpʰemistʼuɾad
ევფემისტური,efpʰemistʼuɾi
ევქარისტია,efkʰaɾistʼia
ეზო,ezo
ეთერი,etʰeɾi
ეთიკა,etʰikʼa
ეთიკურად,etʰikʼuɾad
ეთიკური,etʰikʼuɾi
ეთილი,etʰili
ეთიოპია,etʰiopʼia
ეთიოპიელი,etʰiopʼieli
ეთნიკურად,etʰnikʼuɾad
ეთნიკური,etʰnikʼuɾi
ეთნოგრაფი,etʰnoɡɾapʰi
ეთნოგრაფია,etʰnoɡɾapʰia
ეთნოგრაფიული,etʰnoɡɾapʰiuli
ეთნოლოგი,etʰnoɫoɡi
ეთნოლოგია,etʰnoɫoɡia
ეთნოლოგიური,etʰnoɫoɡiuɾi
ეკალი,ekʼali
ეკატერინე,ekʼatʼeɾine
ეკვადორი,ekʼʷadoɾi
ეკვატორი,ekʼʷatʼoɾi
ეკვატორული,ekʼʷatʼoɾuli
ეკვივალენტი,ekʼʷivalentʼi
ეკიპაჟი,ekʼipʼaʒi
ეკლესია,ekʼlesia
ეკლესიამ,ekʼlesiam
ეკლესიას,ekʼlesias
ეკლესიით,ekʼlesiitʰ
ეკლესიის,ekʼlesiis
ეკლიანი,ekʼliani
ეკლიპტიკა,ekʼlipʼtʼikʼa
ეკოლოგი,ekʼoɫoɡi
ეკოლოგია,ekʼoɫoɡia
ეკოლოგიურად,ekʼoɫoɡiuɾad
ეკოლოგიური,ekʼoɫoɡiuɾi
ეკონიმიურად,ekʼonimiuɾad
ეკონომია,ekʼonomia
ეკონომიკა,ekʼonomikʼa
ეკონომიკად,ekʼonomikʼad
ეკონომიკამ,ekʼonomikʼam
ეკონომიკას,ekʼonomikʼas
ეკონომიკით,ekʼonomikʼitʰ
ეკონომიკის,ekʼonomikʼis
ეკონომიკური,ekʼonomikʼuɾi
ეკონომისტი,ekʼonomistʼi
ეკონომიურად,ekʼonomiuɾad
ეკონომიური,ekʼonomiuɾi
ეკონომიურობა,ekʼonomiuɾoba
ეკოსისტემა,ekʼosistʼema
ეკოსისტემური,ekʼosistʼemuɾi
ეკრანი,ekʼɾani
ელამი,eɫami
ელარჯი,eɫaɾd͡ʒi
ელასტიკური,eɫastʼikʼuɾi
ელასტიური,eɫastʼiuɾi
ელეგანტურად,eleɡantʼuɾad
ელეგანტური,eleɡantʼuɾi
ელეგია,eleɡia
ელეგიური,eleɡiuɾi
ელემენტარულად,elementʼaɾuɫad
ელემენტარული,elementʼaɾuli
ელემენტი,elementʼi
ელენთა,elentʰa
ელექსირი,elekʰsiɾi
ელექტორატი,elekʰtʼoɾatʼi
ელექტრიკოსი,elekʰtʼɾikʼosi
ელექტრობა,elekʰtʼɾoba
ელექტროდი,elekʰtʼɾodi
ელექტროლიზი,elekʰtʼɾolizi
ელექტროლიტი,elekʰtʼɾolitʼi
ელექტრონი,elekʰtʼɾoni
ელექტრონული,elekʰtʼɾonuli
ელექტროსადგური,elekʰtʼɾosadɡuɾi
ელექტროქიმია,elekʰtʼɾokʰimia
ელვა,elʷa
ელვარე,elʷaɾe
ელვარედ,elʷaɾed
ელვაშესაკრავი,elʷaʃesakʼɾavi
ელზასი,elzasi
ელიზა,eliza
ელიზია,elizia
ელიზიუმი,eliziumi
ელინი,elini
ელინური,elinuɾi
ელიტარული,elitʼaɾuli
ელიფსი,elipʰsi
ელიფსისი,elipʰsisi
ელსმენი,elsmeni
ელფი,elpʰi
ელჩი,elt͡ʃʰi
ელჭექი,elt͡ʃʼekʰi
ემა,ema
ემანაცია,emanat͡sʰia
ემანსიპაცია,emansipʼat͡sʰia
ემბარგო,embaɾɡo
ემბლემა,emblema
ემბრიონი,embɾioni
ემბრიონული,embɾionuli
ემიგრანტი,emiɡɾantʼi
ემიგრაცია,emiɡɾat͡sʰia
ემილი,emili
ემირატი,emiɾatʼi
ემირი,emiɾi
ემოცია,emot͡sʰia
ემოციურად,emot͡sʰiuɾad
ემოციური,emot͡sʰiuɾi
ემპირიზმი,empʼiɾizmi
ემპირიკოსი,empʼiɾikʼosi
ემპირიულად,empʼiɾiuɫad
ემპირიული,empʼiɾiuli
ემულსია,emulsia
ემუქრები,emukʰɾebi
ენა,ena
ენაბლუ,enabɫu
ენაბლუობა,enabɫuoba
ენაგეთი,enaɡetʰi
ენაზე,enaze
ენათმეცნიერება,enatʰmet͡sʰnieɾeba
ენაკავი,enakʼavi
ენამოჩლექილად,enamot͡ʃʰlekʰiɫad
ენანება,enaneba
ენაჩლუნგი,enat͡ʃʰɫunɡi
ენაჭარტალა,enat͡ʃʼaɾtʼaɫa
ენგური,enɡuɾi
ენდემური,endemuɾi
ენდობა,endoba
ენდრო,endɾo
ენები,enebi
ენერგია,eneɾɡia
ენერგიულად,eneɾɡiuɫad
ენერგიული,eneɾɡiuli
ენთუზიაზმი,entʰuziazmi
ენთუზიაზმით,entʰuziazmitʰ
ენთუზიასტი,entʰuziastʼi
ენოტი,enotʼi
ენტერიტი,entʼeɾitʼi
ენტომოლოგი,entʼomoɫoɡi
ენტომოლოგია,entʼomoɫoɡia
ეპარება,epʼaɾeba
ეპარქია,epʼaɾkʰia
ეპიგრამა,epʼiɡɾama
ეპიგრამული,epʼiɡɾamuli
ეპიდემია,epʼidemia
ეპიდემიოლოგი,epʼidemioɫoɡi
ეპიდემიური,epʼidemiuɾi
ეპიდერმისი,epʼideɾmisi
ეპიდიასკოპი,epʼidiaskʼopʼi
ეპიზოდი,epʼizodi
ეპიზოდური,epʼizoduɾi
ეპითეტი,epʼitʰetʼi
ეპიკურეული,epʼikʼuɾeuli
ეპიკური,epʼikʼuɾi
ეპილეფსია,epʼilepʰsia
ეპილეფსიური,epʼilepʰsiuɾi
ეპილოგი,epʼiɫoɡi
ეპისკოპოსი,epʼiskʼopʼosi
ეპისტემოლოგია,epʼistʼemoɫoɡia
ეპისტოლარული,epʼistʼoɫaɾuli
ეპისტოლე,epʼistʼole
ეპიტაფია,epʼitʼapʰia
ეპიცენტრი,epʼit͡sʰentʼɾi
ეპოლეტი,epʼoletʼi
ეპოქა,epʼokʰa
ეპოქალური,epʼokʰaɫuɾi
ერა,eɾa
ერაყი,eɾaχʼi
ერბიუმი,eɾbiumi
ერევანი,eɾevani
ერესი,eɾesi
ერეტიკოსი,eɾetʼikʼosi
ერეტიკული,eɾetʼikʼuli
ერთად,eɾtʰad
ერთადერთი,eɾtʰadeɾtʰi
ერთბაშად,eɾtʰbaʃad
ერთგანზომილებიანი,eɾtʰɡanzomilebiani
ერთგვაროვანი,eɾtʰɡʷaɾovani
ერთგულად,eɾtʰɡuɫad
ერთგულება,eɾtʰɡuleba
ერთგულები,eɾtʰɡulebi
ერთგული,eɾtʰɡuli
ერთდროულად,eɾtʰdɾouɫad
ერთდროული,eɾtʰdɾouli
ერთდროულობა,eɾtʰdɾouɫoba
ერთერთი,eɾtʰeɾtʰi
ერთთავად,eɾtʰtʰavad
ერთი,eɾtʰi
ერთიანი,eɾtʰiani
ერთიანობა,eɾtʰianoba
ერთმანეთი,eɾtʰmanetʰi
ერთმანეთს,eɾtʰmanetʰs
ერთმხრივი,eɾtʰmχɾivi
ერთნაირობა,eɾtʰnaiɾoba
ერთობა,eɾtʰoba
ერთობლივად,eɾtʰoblivad
ერთობლივი,eɾtʰoblivi
ერთობლიობა,eɾtʰoblioba
ერთსულოვანი,eɾtʰsuɫovani
ერთსულოვნად,eɾtʰsuɫovnad
ერთსულოვნება,eɾtʰsuɫovneba
ერთსქესიანი,eɾtʰskʰesiani
ერთუჯრედიანი,eɾtʰud͡ʒɾediani
ერთუჯრედიანობა,eɾtʰud͡ʒɾedianoba
ერთფერი,eɾtʰpʰeɾi
ერთფეროვანი,eɾtʰpʰeɾovani
ერთფეროვნად,eɾtʰpʰeɾovnad
ერთფეროვნება,eɾtʰpʰeɾovneba
ერთცხენიანი,eɾtʰt͡sʰχeniani
ერთწლიანი,eɾtʰt͡sʼliani
ერთხელ,eɾtʰχel
ერთხელაც,eɾtʰχeɫat͡sʰ
ერი,eɾi
ერიკა,eɾikʼa
ერიკი,eɾikʼi
ერისთავი,eɾistʰavi
ერისკაცი,eɾiskʼat͡sʰi
ერიტრეა,eɾitʼɾea
ერკემალი,eɾkʼemali
ერმა,eɾma
ერნესტი,eɾnestʼi
ეროზია,eɾozia
ეროზიული,eɾoziuli
ერს,eɾs
ერუდირებულად,eɾudiɾebuɫad
ერუდირებული,eɾudiɾebuli
ერუდიცია,eɾudit͡sʰia
ერქვა,eɾkʰʷa
ერქვანი,eɾkʰʷani
ერცჰერცოგი,eɾt͡sʰheɾt͡sʰoɡi
ეს,es
ესე,ese
ესეთი,esetʰi
ესეი,esei
ესეისტი,eseistʼi
ესენი,eseni
ესთეტი,estʰetʼi
ესთეტიკა,estʰetʼikʼa
ესთეტიკური,estʰetʼikʼuɾi
ესთეტიურად,estʰetʼiuɾad
ესკადრონი,eskʼadɾoni
ესკალატორი,eskʼaɫatʼoɾi
ესკალაცია,eskʼaɫat͡sʰia
ესკიზურად,eskʼizuɾad
ესკიზური,eskʼizuɾi
ესკორტი,eskʼoɾtʼi
ესპანეთი,espʼanetʰi
ესპანეთით,espʼanetʰitʰ
ესპანეთის,espʼanetʰis
ესპანეთმა,espʼanetʰma
ესპანეთს,espʼanetʰs
ესპანელი,espʼaneli
ესპანური,espʼanuɾi
ესპარცეტები,espʼaɾt͡sʰetʼebi
ესპარცეტი,espʼaɾt͡sʰetʼi
ესპერანტო,espʼeɾantʼo
ესტაკადა,estʼakʼada
ესტონეთი,estʼonetʰi
ესტონელი,estʼoneli
ესტონური,estʼonuɾi
ეტაპი,etʼapʼi
ეტარებინა,etʼaɾebina
ეტიკეტი,etʼikʼetʼi
ეტიმოლოგია,etʼimoɫoɡia
ეტიმოლოგიური,etʼimoɫoɡiuɾi
ეტიუდი,etʼiudi
ეტლი,etʼli
ეტრატი,etʼɾatʼi
ეტყვის,etʼχʼʷis
ეტყობა,etʼχʼoba
ეუბნება,eubneba
ეუფროსება,eupʰɾoseba
ეფემერული,epʰemeɾuli
ეფენდი,epʰendi
ეფექტი,epʰekʰtʼi
ეფექტურად,epʰekʰtʼuɾad
ეფექტური,epʰekʰtʼuɾi
ეფექტურობა,epʰekʰtʼuɾoba
ეფუზია,epʰuzia
ექვსგზის,ekʰʷsɡzis
ექვსი,ekʰʷsi
ექვსკუთხა,ekʰʷskʼutʰχa
ექვსკუთხედი,ekʰʷskʼutʰχedi
ექთანი,ekʰtʰani
ექიმად,ekʰimad
ექიმბაში,ekʰimbaʃi
ექიმბაშობა,ekʰimbaʃoba
ექიმი,ekʰimi
ექიმით,ekʰimitʰ
ექიმის,ekʰimis
ექიმმა,ekʰimma
ექიმს,ekʰims
ექნებოდა,ekʰneboda
ექო,ekʰo
ექსკრემენტი,ekʰskʼɾementʼi
ექსკურსანტი,ekʰskʼuɾsantʼi
ექსკურსია,ekʰskʼuɾsia
ექსპანსიურად,ekʰspʼansiuɾad
ექსპანსიური,ekʰspʼansiuɾi
ექსპედიცია,ekʰspʼedit͡sʰia
ექსპერიმენტალურად,ekʰspʼeɾimentʼaɫuɾad
ექსპერიმენტი,ekʰspʼeɾimentʼi
ექსპერიმენტულად,ekʰspʼeɾimentʼuɫad
ექსპერიმენტული,ekʰspʼeɾimentʼuli
ექსპლუატაცია,ekʰspʼɫuatʼat͡sʰia
ექსპონატი,ekʰspʼonatʼi
ექსპონენტი,ekʰspʼonentʼi
ექსპონენტურად,ekʰspʼonentʼuɾad
ექსპორტიორი,ekʰspʼoɾtʼioɾi
ექსპრესი,ekʰspʼɾesi
ექსპრესია,ekʰspʼɾesia
ექსპრომტად,ekʰspʼɾomtʼad
ექსპრომტი,ekʰspʼɾomtʼi
ექსპრომტული,ekʰspʼɾomtʼuli
ექსტაზი,ekʰstʼazi
ექსტაზურად,ekʰstʼazuɾad
ექსტაზური,ekʰstʼazuɾi
ექსტრავაგანტულად,ekʰstʼɾavaɡantʼuɫad
ექსტრაქტი,ekʰstʼɾakʰtʼi
ექსტრემისტი,ekʰstʼɾemistʼi
ექსჰუმაცია,ekʰshumat͡sʰia
ეღვიძება,eʁʷid͡zeba
ეშელონი,eʃeɫoni
ეშვები,eʃʷebi
ეშვი,eʃʷi
ეშინია,eʃinia
ეშმა,eʃma
ეშმაკად,eʃmakʼad
ეშმაკეული,eʃmakʼeuli
ეშმაკი,eʃmakʼi
ეშმაკით,eʃmakʼitʰ
ეშმაკის,eʃmakʼis
ეშმაკისებრ,eʃmakʼisebɾ
ეშმაკმა,eʃmakʼma
ეშმაკობა,eʃmakʼoba
ეშმაკს,eʃmakʼs
ეშმაკურად,eʃmakʼuɾad
ეშხი,eʃχi
ეშხიანი,eʃχiani
ეჩო,et͡ʃʰo
ეწევი,et͡sʼevi
ეწვევა,et͡sʼʷeva
ეწოდა,et͡sʼoda
ეჭვი,et͡ʃʼʷi
ეჭვიანად,et͡ʃʼʷianad
ეჭვიანი,et͡ʃʼʷiani
ეჭვიანობა,et͡ʃʼʷianoba
ეხა,eχa
ეხლა,eχɫa
ეხლავე,eχɫave
ეხმაურება,eχmauɾeba
ეხუტება,eχutʼeba
ეჯი,ed͡ʒi
ვ,v
ვაგინალური,vaɡinaɫuɾi
ვაგონი,vaɡoni
ვადა,vada
ვაზელინი,vazelini
ვაზი,vazi
ვაზნა,vazna
ვაი,vai
ვაიმე,vaime
ვაკანსია,vakʼansia
ვაკანტური,vakʼantʼuɾi
ვაკე,vakʼe
ვაკუუმი,vakʼuumi
ვალდებულება,valdebuleba
ვალდებული,valdebuli
ვალენსია,valensia
ვალენტობა,valentʼoba
ვალი,vali
ვალიშვილი,valiʃʷili
ვალონელი,vaɫoneli
ვალონია,vaɫonia
ვალონიელი,vaɫonieli
ვალონური,vaɫonuɾi
ვალსი,valsi
ვალუტა,vaɫutʼa
ვამპირი,vampʼiɾi
ვანა,vana
ვანადიუმი,vanadiumi
ვანდალიზმი,vandalizmi
ვანეთი,vanetʰi
ვანი,vani
ვანილი,vanili
ვანო,vano
ვანუატუ,vanuatʼu
ვაპირებ,vapʼiɾeb
ვაჟა,vaʒa
ვაჟი,vaʒi
ვაჟიშვილი,vaʒiʃʷili
ვაჟკაცი,vaʒkʼat͡sʰi
ვაჟკაცობა,vaʒkʼat͡sʰoba
ვაჟკაცურად,vaʒkʼat͡sʰuɾad
ვაჟკაცური,vaʒkʼat͡sʰuɾi
ვაჟკაცურობა,vaʒkʼat͡sʰuɾoba
ვარ,vaɾ
ვარამი,vaɾami
ვარაუდი,vaɾaudi
ვარაუდით,vaɾauditʰ
ვარგისად,vaɾɡisad
ვარგისი,vaɾɡisi
ვარგისობა,vaɾɡisoba
ვარდანიძე,vaɾdanid͡ze
ვარდი,vaɾdi
ვარდისუბანი,vaɾdisubani
ვარდისფერი,vaɾdispʰeɾi
ვარდისფერსაყელოიანი,vaɾdispʰeɾsaχʼeɫoiani
ვარდკაჭაჭა,vaɾdkʼat͡ʃʼat͡ʃʼa
ვარდნა,vaɾdna
ვართ,vaɾtʰ
ვარია,vaɾia
ვარიაცია,vaɾiat͡sʰia
ვარსკვლავი,vaɾskʼʷɫavi
ვარსკვლავური,vaɾskʼʷɫavuɾi
ვარშავა,vaɾʃava
ვარშანიძე,vaɾʃanid͡ze
ვარცხნილობა,vaɾt͡sʰχniɫoba
ვარხვი,vaɾχʷi
ვარჯიში,vaɾd͡ʒiʃi
ვარჯიშობს,vaɾd͡ʒiʃobs
ვასაკა,vasakʼa
ვასალური,vasaɫuɾi
ვატერლოო,vatʼeɾɫoo
ვატი,vatʼi
ვატიკანი,vatʼikʼani
ვაფლი,vapʰli
ვაფშე,vapʰʃe
ვაქსი,vakʰsi
ვაქცინა,vakʰt͡sʰina
ვაქცინაცია,vakʰt͡sʰinat͡sʰia
ვაშა,vaʃa
ვაშაძე,vaʃad͡ze
ვაშინგტონი,vaʃinɡtʼoni
ვაშლატამა,vaʃɫatʼama
