はっ	h a̠ ʔ
きかがほう	kʲ i k a̠ ɡ a̠ h o̞ː
きかく	kʲ i k a̠ k ɯ̟ᵝ
きがく	kʲ i ɡ a̠ k ɯ̟ᵝ
ぎがく	ɡʲ i ɡ a̠ k ɯ̟ᵝ
きかくか	kʲ i k a̠ k ɯ̟ᵝ k a̠
きかげき	kʲ i̥ k a̠ ɡ e̞ kʲ i
きかこうがく	kʲ i k a̠ k o̞ː ɡ a̠ k ɯ̟ᵝ
きかざる	kʲ i k a̠ z a̠ ɾ ɯ̟ᵝ
きかじん	kʲ i̥ k a̠ ʑ ĩ ɴ
きガス	kʲ i ɡ a̠ s ɨᵝ
きかすうれつ	kʲ i k a̠ s ɨᵝː ɾ e̞ t͡s ɨᵝ
きがね	kʲ i ɡ a̠ n e̞
きがまえ	kʲ i ɡ a̠ m a̠ e̞
キガリ	kʲ i ɡ a̠ ɾʲ i
きがる	kʲ i ɡ a̠ ɾ ɯ̟ᵝ
ギガワロス	ɡʲ i ɡ a̠ ɰᵝ a̠ ɾ o̞ s ɨᵝ
きかん	kʲ i k ã̠ ɴ
きかん	kʲ i̥ k ã̠ ɴ
きかん	kʲ i̥ k ã̠ ɴ
きかん	kʲ i k ã̠ ɴ
きがん	kʲ i ɡ ã̠ ɴ
ぎがん	ɡʲ i ɡ ã̠ ɴ
きかんしえん	kʲ i̥ k ã̠ ɰ̃ ɕ i ẽ̞ ɴ
きかんしゃ	kʲ i k ã̠ ɰ̃ ɕ a̠
きかんじゅう	kʲ i̥ k ã̠ ɲ̟ d͡ʑ ɨᵝː
きき	kʲ i kʲ i
きき	kʲ i̥ kʲ i
きぎ	kʲ i ɡʲ i
ききいる	kʲ i kʲ iː ɾ ɯ̟ᵝ
ききうで	kʲ i kʲ i ɯ̟ᵝ d e̞
ききかえす	kʲ i kʲ i k a̠ e̞ s ɨᵝ
ききかんり	kʲ i kʲ i k ã̠ n ɾʲ i
ききざけ	kʲ i kʲ i z a̠ k e̞
きじ	kʲ i ʑ i
ききずて	kʲ i̥ kʲ i z ɨᵝ t e̞
ききすてる	kʲ i̥ kʲ i s ɨ̥ᵝ t e̞ ɾ ɯ̟ᵝ
ききそこなう	kʲ i kʲ i s o̞ k o̞ n a̠ ɯ̟ᵝ
ききそびれる	kʲ i kʲ i s o̞ bʲ i ɾ e̞ ɾ ɯ̟ᵝ
ききだす	kʲ i kʲ i d a̠ s ɨᵝ
ききつける	kʲ i kʲ i t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
ききて	kʲ i kʲ i t e̞
ききとる	kʲ i̥ kʲ i t o̞ ɾ ɯ̟ᵝ
ききながす	kʲ i kʲ i n a̠ ɡ a̠ s ɨᵝ
ききなし	kʲ i kʲ i n a̠ ɕ i
ききおとす	kʲ i kʲ i n o̞ ɡ a̠ s ɨᵝ
ききのがす	kʲ i kʲ i n o̞ ɡ a̠ s ɨᵝ
ききはずす	kʲ i kʲ i h a̠ z ɨᵝ s ɨᵝ
ききみみ	kʲ i kʲ i mʲ i mʲ i
ききもらす	kʲ i kʲ i m o̞ ɾ a̠ s ɨᵝ
ききゃく	kʲ i kʲ a̠ k ɯ̟ᵝ
ききゅう	kʲ i kʲ ɨᵝː
ききょう	kʲ i kʲ o̞ː
ききょう	kʲ i kʲ o̞ː
ききょう	kʲ i kʲ o̞ː
きぎょう	kʲ i ɡʲ o̞ː
ぎきょう	ɡʲ i kʲ o̞ː
きぎょう	kʲ i ɡʲ o̞ː
きぎょう	kʲ i ɡʲ o̞ː
きぎょうか	kʲ i ɡʲ o̞ː k a̠
きぎょうか	kʲ i ɡʲ o̞ː k a̠
ぎきょうだい	ɡʲ i kʲ o̞ː d a̠ i
ききょく	kʲ i kʲ o̞ k ɯ̟ᵝ
ききわける	kʲ i kʲ i ɰᵝ a̠ k e̞ ɾ ɯ̟ᵝ
ききん	kʲ i kʲ ĩ ɴ
ききん	kʲ i kʲ ĩ ɴ
ききんぞく	kʲ i̥ kʲ ĩ n d͡z o̞ k ɯ̟ᵝ
きく	kʲ i k ɯ̟ᵝ
きく	kʲ i̥ k ɯ̟ᵝ
きく	kʲ i k ɯ̟ᵝ
きぐ	kʲ i ɡ ɯ̟ᵝ
きくいただき	kʲ i k ɯ̟ᵝ i t a̠ d a̠ kʲ i
きくいも	kʲ i̥ k ɯ̟ᵝ i m o̞
きぐう	kʲ i ɡ ɯ̟ᵝː
きくか	kʲ i k ɯ̟ᵝ k a̠
ぎくしゃく	ɡʲ i k ɯ̟ᵝ ɕ a̠ k ɯ̟ᵝ
きぐすり	kʲ i ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i
きくずれる	kʲ i k ɯ̟ᵝ z ɨᵝ ɾ e̞ ɾ ɯ̟ᵝ
きくち	kʲ i k ɯ̟ᵝ t͡ɕ i
ぼくり	b o̞ k ɯ̟ᵝ ɾʲ i
きぐつ	kʲ i ɡ ɯ̟ᵝ t͡s ɨᵝ
こうけち	k o̞ː k e̞ t͡ɕ i
きくならく	kʲ i k ɯ̟ᵝ n a̠ ɾ a̠ k ɯ̟ᵝ
きくのせっく	kʲ i k ɯ̟ᵝ n o̞ s e̞ k̚ k ɯ̟ᵝ
けはい	k e̞ h a̠ i
きくらげ	kʲ i k ɯ̟ᵝ ɾ a̠ ɡ e̞
きぐるみ	kʲ i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ mʲ i
きくん	kʲ i k ɯ̟̃ᵝ ɴ
ぎくん	ɡʲ i k ɯ̟̃ᵝ ɴ
ぎぐん	ɡʲ i ɡ ɯ̟̃ᵝ ɴ
ぎぐん	ɡʲ i ɡ ɯ̟̃ᵝ ɴ
ぎくんし	ɡʲ i k ɯ̟̃ᵝ ɰ̃ ɕ i
ぎけい	ɡʲ i k e̞ː
ぎけつ	ɡʲ i k e̞ t͡s ɨᵝ
きけん	kʲ i̥ k ẽ̞ ɴ
きけん	kʲ i k ẽ̞ ɴ
きげん	kʲ i ɡ ẽ̞ ɴ
きげん	kʲ i ɡ ẽ̞ ɴ
きげん	kʲ i ɡ ẽ̞ ɴ
きげんせつ	kʲ i ɡ ẽ̞ ɰ̃ s e̞ t͡s ɨᵝ
きげんぜん	kʲ i ɡ ẽ̞ n d͡z ẽ̞ ɴ
きご	kʲ i ɡ o̞
きご	kʲ i ɡ o̞
きこう	kʲ i k o̞ː
きこう	kʲ i k o̞ː
きこう	kʲ i k o̞ː
きこう	kʲ i̥ k o̞ː
きこう	kʲ i k o̞ː
きこう	kʲ i k o̞ː
きこう	kʲ i̥ k o̞ː
きごう	kʲ i ɡ o̞ː
きこうがく	kʲ i̥ k o̞ː ɡ a̠ k ɯ̟ᵝ
きごうがく	kʲ i ɡ o̞ː ɡ a̠ k ɯ̟ᵝ
きこうしき	kʲ i̥ k o̞ː ɕ i̥ kʲ i
きごうろん	kʲ i ɡ o̞ː ɾ õ̞ ɴ
きこえる	kʲ i̥ k o̞ e̞ ɾ ɯ̟ᵝ
きこく	kʲ i k o̞ k ɯ̟ᵝ
ぎごく	ɡʲ i ɡ o̞ k ɯ̟ᵝ
きこくし	kʲ i k o̞ k ɯ̟ᵝ ɕ i
ぎこちない	ɡʲ i k o̞ t͡ɕ i n a̠ i
きこない	kʲ i k o̞ n a̠ i
きこなす	kʲ i k o̞ n a̠ s ɨᵝ
きこゆる	kʲ i k o̞ j ɯ̟ᵝ ɾ ɯ̟ᵝ
きこり	kʲ i k o̞ ɾʲ i
きこん	kʲ i̥ k õ̞ ɴ
ぞう	d͡z o̞ː
きざ	kʲ i z a̠
ぎざ	ɡʲ i z a̠
きさい	kʲ i̥ s a̠ i
きさい	kʲ i̥ s a̠ i
きサイト	kʲ i s a̠ i t o̞
こう	kʲ i s a̠ kʲ i
きさく	kʲ i s a̠ k ɯ̟ᵝ
きざし	kʲ i z a̠ ɕ i
きざす	kʲ i z a̠ s ɨᵝ
ぎさぶろう	ɡʲ i s a̠ b ɯ̟ᵝ ɾ o̞ː
きさま	kʲ i̥ s a̠ m a̠
きざむ	kʲ i z a̠ m ɯ̟ᵝ
きさめ	kʲ i s a̠ m e̞
きさらぎ	kʲ i̥ s a̠ ɾ a̠ ɡʲ i
キサンテン	kʲ i s ã̠ n t ẽ̞ ɴ
きし	kʲ i ɕ i
がい	ɡ a̠ i
きし	kʲ i̥ ɕ i
きし	kʲ i ɕ i
きし	kʲ i ɕ i
ぎし	ɡʲ i ɕ i
ぎし	ɡʲ i ɕ i
きじ	kʲ i ʑ i
きじ	kʲ i ʑ i
ぎじ	ɡʲ i ʑ i
ぎじ	ɡʲ i ʑ i
きしかいせい	kʲ i ɕ i k a̠ i s e̞ː
きしかん	kʲ i̥ ɕ i k ã̠ ɴ
ぎしき	ɡʲ i ɕ i̥ kʲ i
ギシギシアンアン	ɡʲ i ɕ i ɡʲ i ɕ i ã̠ ɰ̃ ã̠ ɴ
きしせんめい	kʲ i ɕ i s ẽ̞ mː e̞ː
きしだ	kʲ i ɕ i d a̠
きしだん	kʲ i ɕ i d ã̠ ɴ
きしつ	kʲ i ɕ i t͡s ɨᵝ
キシナウ	kʲ i ɕ i n a̠ ɯ̟ᵝ
きしなみ	kʲ i ɕ i n a̠ mʲ i
きしべ	kʲ i ɕ i b e̞
きしむ	kʲ i ɕ i m ɯ̟ᵝ
きしめん	kʲ i ɕ i m ẽ̞ ɴ
きしゃ	kʲ i ɕ a̠
きしゃ	kʲ i̥ ɕ a̠
きしゃ	kʲ i ɕ a̠
きしゃかいけん	kʲ i ɕ a̠ k a̠ i k ẽ̞ ɴ
きしゃだん	kʲ i ɕ a̠ d ã̠ ɴ
きしゅ	kʲ i ɕ ɨᵝ
きしゅ	kʲ i ɕ ɨᵝ
きしゅ	kʲ i ɕ ɨᵝ
ぎしゅ	ɡʲ i ɕ ɨᵝ
きじゅう	kʲ i ʑ ɨᵝː
きじゅうき	kʲ i ʑ ɨᵝː kʲ i
ぎじゅく	ɡʲ i ʑ ɨᵝ k ɯ̟ᵝ
きしゅくしゃ	kʲ i ɕ ɨᵝ k ɯ̟̊ᵝ ɕ a̠
きしゅつ	kʲ i ɕ ɨᵝ t͡s ɨᵝ
きじゅつ	kʲ i ʑ ɨᵝ t͡s ɨᵝ
きじゅつ	kʲ i ʑ ɨᵝ t͡s ɨᵝ
ぎじゅつ	ɡʲ i ʑ ɨᵝ t͡s ɨᵝ
きじゅつし	kʲ i ʑ ɨᵝ t͡s ɨᵝ ɕ i
ぎじゅつしゃ	ɡʲ i ʑ ɨᵝ t͡s ɨ̥ᵝ ɕ a̠
ぎじゅつてき	ɡʲ i ʑ ɨᵝ t͡s ɨ̥ᵝ t e̞ kʲ i
きじゅん	kʲ i ʑ ɨ̃ᵝ ɴ
きじゅん	kʲ i ʑ ɨ̃ᵝ ɴ
きじゅん	kʲ i ʑ ɨ̃ᵝ ɴ
きしょ	kʲ i ɕ o̞
きじょ	kʲ i ʑ o̞
きじょ	kʲ i ʑ o̞
きしょい	kʲ i ɕ o̞ i
きしょう	kʲ i ɕ o̞ː
きしょう	kʲ i ɕ o̞ː
きしょう	kʲ i ɕ o̞ː
きしょう	kʲ i ɕ o̞ː
きしょう	kʲ i ɕ o̞ː
ぎしょう	ɡʲ i ɕ o̞ː
きじょう	kʲ i ʑ o̞ː
きじょう	kʲ i ʑ o̞ː
ぎじょう	ɡʲ i ʑ o̞ː
ぎじょう	ɡʲ i ʑ o̞ː
きじょうい	kʲ i ʑ o̞ː i
きしょうがく	kʲ i̥ ɕ o̞ː ɡ a̠ k ɯ̟ᵝ
ぎじょうご	ɡʲ i ʑ o̞ː ɡ o̞
きしょうてんけつ	kʲ i ɕ o̞ː t ẽ̞ ŋ k e̞ t͡s ɨᵝ
きしょうびょう	kʲ i ɕ o̞ː bʲ o̞ː
きじょうろん	kʲ i ʑ o̞ː ɾ õ̞ ɴ
キシリトール	kʲ i ɕ i ɾʲ i t o̞ː ɾ ɯ̟ᵝ
ぎじろく	ɡʲ i ʑ i ɾ o̞ k ɯ̟ᵝ
きじん	kʲ i ʑ ĩ ɴ
ぎしん	ɡʲ i ɕ ĩ ɴ
ぎじんか	ɡʲ i ʑ ĩ ŋ k a̠
きす	kʲ i s ɨᵝ
キス	kʲ i̥ s ɨᵝ
かえす	k a̠ e̞ s ɨᵝ
きず	kʲ i z ɨᵝ
きず	kʲ i z ɨᵝ
きずあと	kʲ i z ɨᵝ a̠ t o̞
きすい	kʲ i s ɨᵝ i
きすい	kʲ i s ɨᵝ i
きずい	kʲ i z ɨᵝ i
きすいこ	kʲ i s ɨᵝ i k o̞
きずいせん	kʲ i z ɨᵝ i s ẽ̞ ɴ
きすう	kʲ i s ɨᵝː
きずきあげる	kʲ i z ɨᵝ kʲ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
きずく	kʲ i z ɨᵝ k ɯ̟ᵝ
きずぐち	kʲ i z ɨᵝ ɡ ɯ̟ᵝ t͡ɕ i
きずつく	kʲ i z ɨᵝ t͡s ɨ̥ᵝ k ɯ̟ᵝ
きずつける	kʲ i z ɨᵝ t͡s ɨ̥ᵝ k e̞ ɾ ɯ̟ᵝ
きせい	kʲ i̥ s e̞ː
きせい	kʲ i s e̞ː
きせい	kʲ i s e̞ː
きせい	kʲ i s e̞ː
きせい	kʲ i̥ s e̞ː
きせい	kʲ i s e̞ː
ぎせい	ɡʲ i s e̞ː
きせいじじつ	kʲ i s e̞ː ʑ i ʑ i t͡s ɨᵝ
きせいちゅう	kʲ i̥ s e̞ː t͡ɕ ɨᵝː
きせいちゅう	kʲ i s e̞ː t͡ɕ ɨᵝː
きせいちゅうがく	kʲ i s e̞ː t͡ɕ ɨᵝː ɡ a̠ k ɯ̟ᵝ
きせいちゅうがく	kʲ i s e̞ː t͡ɕ ɨᵝː ɡ a̠ k ɯ̟ᵝ
きせかえ	kʲ i̥ s e̞ k a̠ e̞
きせかえる	kʲ i s e̞ k a̠ e̞ ɾ ɯ̟ᵝ
きせき	kʲ i̥ s e̞ kʲ i
きせき	kʲ i s e̞ kʲ i
きせき	kʲ i s e̞ kʲ i
きせき	kʲ i s e̞ kʲ i
ぎせき	ɡʲ i s e̞ kʲ i
きせきげき	kʲ i s e̞ kʲ i ɡ e̞ kʲ i
きせきてき	kʲ i s e̞ kʲ i t e̞ kʲ i
きせつ	kʲ i s e̞ t͡s ɨᵝ
きせつ	kʲ i s e̞ t͡s ɨᵝ
キセノン	kʲ i̥ s e̞ n õ̞ ɴ
きせる	kʲ i s e̞ ɾ ɯ̟ᵝ
きせん	kʲ i s ẽ̞ ɴ
きせん	kʲ i s ẽ̞ ɴ
きぜん	kʲ i z ẽ̞ ɴ
ぎぜんしゃ	ɡʲ i z ẽ̞ ɰ̃ ɕ a̠
きそ	kʲ i s o̞
きそ	kʲ i s o̞
きのう	kʲ i n o̞ː
きそう	kʲ i s o̞ ɯ̟ᵝ
きぞう	kʲ i z o̞ː
きそう	kʲ i s o̞ː
きそう	kʲ i s o̞ː
きそう	kʲ i s o̞ː
きそう	kʲ i s o̞ː
きそう	kʲ i s o̞ː
ぎそう	ɡʲ i s o̞ː
ぎそう	ɡʲ i s o̞ː
ぎぞう	ɡʲ i z o̞ː
ぎぞうしゃ	ɡʲ i z o̞ː ɕ a̠
きそうてんがい	kʲ i s o̞ː t ẽ̞ ŋ ɡ a̠ i
きそく	kʲ i̥ s o̞ k ɯ̟ᵝ
きぞく	kʲ i z o̞ k ɯ̟ᵝ
ぎそく	ɡʲ i s o̞ k ɯ̟ᵝ
きぞく	kʲ i z o̞ k ɯ̟ᵝ
ぎぞく	ɡʲ i z o̞ k ɯ̟ᵝ
きぞくいん	kʲ i z o̞ k ɯ̟ᵝ ĩ ɴ
きそくてき	kʲ i s o̞ k ɯ̟ᵝ t e̞ kʲ i
きそん	kʲ i s õ̞ ɴ
ギター	ɡʲ i t a̠ː
きたい	kʲ i t a̠ i
きたい	kʲ i t a̠ i
きたい	kʲ i t a̠ i
きたい	kʲ i̥ t a̠ i
きだい	kʲ i d a̠ i
ぎたい	ɡʲ i t a̠ i
ぎたいご	ɡʲ i t a̠ i ɡ o̞
きたいだい	kʲ i t a̠ i d a̠ i
きたいはずれ	kʲ i t a̠ i h a̠ z ɨᵝ ɾ e̞
きたえる	kʲ i̥ t a̠ e̞ ɾ ɯ̟ᵝ
きたかいきせん	kʲ i̥ t a̠ k a̠ i kʲ i̥ s ẽ̞ ɴ
きたカマリネス	kʲ i t a̠ k a̠ m a̠ ɾʲ i n e̞ s ɨᵝ
ほくじょう	h o̞ k ɯ̟ᵝ ʑ o̞ː
きたがわ	kʲ i t a̠ ɡ a̠ ɰᵝ a̠
キタキツネ	kʲ i t a̠ kʲ i t͡s ɨᵝ n e̞
きたく	kʲ i t a̠ k ɯ̟ᵝ
きたくぶ	kʲ i t a̠ k ɯ̟ᵝ b ɯ̟ᵝ
きたこれ	kʲ i t a̠ k o̞ ɾ e̞
きたす	kʲ i t a̠ s ɨᵝ
きだて	kʲ i d a̠ t e̞
きたては	kʲ i̥ t a̠ t e̞ h a̠
きたない	kʲ i̥ t a̠ n a̠ i
きたはんきゅう	kʲ i̥ t a̠ h ã̠ ŋʲ kʲ ɨᵝː
きたひろしま	kʲ i̥ t a̠ ç i ɾ o̞ ɕ i m a̠
ギタリスト	ɡʲ i t a̠ ɾʲ i s ɨᵝ t o̞
くる	k ɯ̟ᵝ ɾ ɯ̟ᵝ
きたん	kʲ i t ã̠ ɴ
きち	kʲ i̥ t͡ɕ i
きち	kʲ i t͡ɕ i
きち	kʲ i̥ t͡ɕ i
きちがい	kʲ i t͡ɕ i ɡ a̠ i
きちがい	kʲ i t͡ɕ i ɡ a̠ i
きちがいざた	kʲ i t͡ɕ i ɡ a̠ i z a̠ t a̠
きちきょく	kʲ i t͡ɕ i kʲ o̞ k ɯ̟ᵝ
きちく	kʲ i̥ t͡ɕ i k ɯ̟ᵝ
ききょう	kʲ i̥ kʲ o̞ː
きちじ	kʲ i t͡ɕ i ʑ i
きちゃく	kʲ i t͡ɕ a̠ k ɯ̟ᵝ
きちょう	kʲ i t͡ɕ o̞ː
きちょう	kʲ i t͡ɕ o̞ː
きちょう	kʲ i̥ t͡ɕ o̞ː
きちょう	kʲ i t͡ɕ o̞ː
ぎちょう	ɡʲ i t͡ɕ o̞ː
きちょうめん	kʲ i̥ t͡ɕ o̞ː m ẽ̞ ɴ
きちんと	kʲ i̥ t͡ɕ ĩ n t o̞
きくか	kʲ i k ɯ̟ᵝ k a̠
きかい	kʲ i k a̠ i
きっかけ	kʲ i k̚ k a̠ k e̞
きっきょう	kʲ i̥ k̚ʲ kʲ o̞ː
きっきん	kʲ i k̚ʲ kʲ ĩ ɴ
キックオフ	kʲ i k̚ k ɯ̟ᵝ o̞ ɸ ɯ̟ᵝ
キックボード	kʲ i k̚ k ɯ̟ᵝ b o̞ː d o̞
キックボール	kʲ i̥ k̚ k ɯ̟ᵝ b o̞ː ɾ ɯ̟ᵝ
ぎっくりごし	ɡʲ i k̚ k ɯ̟ᵝ ɾʲ i ɡ o̞ ɕ i
きっこう	kʲ i̥ k̚ k o̞ː
きっこうきん	kʲ i k̚ k o̞ː kʲ ĩ ɴ
きっさ	kʲ i sː a̠
きっさき	kʲ i sː a̠ kʲ i
きっさてん	kʲ i sː a̠ t ẽ̞ ɴ
きっしょい	kʲ i ɕː o̞ i
きちじょう	kʲ i t͡ɕ i ʑ o̞ː
きちじょうてん	kʲ i t͡ɕ i ʑ o̞ː t ẽ̞ ɴ
キッシンジャー	kʲ i ɕː ĩ ɲ̟ d͡ʑ a̠ː
キッス	kʲ i sː ɯ̟ᵝ
キッズ	kʲ i d̚ d͡z ɨᵝ
きっすい	kʲ i sː ɯ̟ᵝ i
ぎっちょ	ɡʲ i t̚ t͡ɕ o̞
きっちょう	kʲ i̥ t̚ t͡ɕ o̞ː
きっちり	kʲ i̥ t̚ t͡ɕ i ɾʲ i
キッチンカー	kʲ i t̚ t͡ɕ ĩ ŋ k a̠ː
きって	kʲ i t̚ t e̞
きっと	kʲ i̥ t̚ t o̞
キッパー	kʲ i p̚ p a̠ː
きっぱり	kʲ i p̚ p a̠ ɾʲ i
きっぷ	kʲ i p̚ p ɯ̟ᵝ
たちばな	t a̠ t͡ɕ i b a̠ n a̠
きつい	kʲ i̥ t͡s ɨᵝ i
きつえん	kʲ i t͡s ɨᵝ ẽ̞ ɴ
きつおんしょう	kʲ i t͡s ɨᵝ õ̞ ɰ̃ ɕ o̞ː
きづかい	kʲ i z ɨᵝ k a̠ i
きづかわしい	kʲ i z ɨᵝ k a̠ ɰᵝ a̠ ɕ i i
きづく	kʲ i z ɨᵝ k ɯ̟ᵝ
きちじつ	kʲ i t͡ɕ i ʑ i t͡s ɨᵝ
きづち	kʲ i z ɨᵝ t͡ɕ i
きつね	kʲ i̥ t͡s ɨᵝ n e̞
きつねざる	kʲ i̥ t͡s ɨᵝ n e̞ z a̠ ɾ ɯ̟ᵝ
きつねづか	kʲ i t͡s ɨᵝ n e̞ z ɨᵝ k a̠
きつねび	kʲ i t͡s ɨᵝ n e̞ bʲ i
きちむ	kʲ i t͡ɕ i m ɯ̟ᵝ
キティラー	kʲ i tʲ i ɾ a̠ː
きてい	kʲ i t e̞ː
きてい	kʲ i t e̞ː
ぎてい	ɡʲ i t e̞ː
きているい	kʲ i̥ t e̞ː ɾ ɯ̟ᵝ i
きてき	kʲ i t e̞ kʲ i
きてれつ	kʲ i t e̞ ɾ e̞ t͡s ɨᵝ
きてん	kʲ i̥ t ẽ̞ ɴ
きてん	kʲ i t ẽ̞ ɴ
キト	kʲ i t o̞
きと	kʲ i t o̞
きど	kʲ i d o̞
きどあいらく	kʲ i d o̞ a̠ i ɾ a̠ k ɯ̟ᵝ
きとう	kʲ i t o̞ː
きとう	kʲ i t o̞ː
きとう	kʲ i t o̞ː
きとう	kʲ i t o̞ː
きとう	kʲ i t o̞ː
きとう	kʲ i t o̞ː
きとう	kʲ i t o̞ː
きとう	kʲ i t o̞ː
きとう	kʲ i t o̞ː
きとう	kʲ i t o̞ː
きどう	kʲ i d o̞ː
きどう	kʲ i d o̞ː
ぎどうさんし	ɡʲ i d o̞ː s ã̠ ɰ̃ ɕ i
きとうし	kʲ i t o̞ː ɕ i
きどうしゃ	kʲ i d o̞ː ɕ a̠
きとうしょ	kʲ i t o̞ː ɕ o̞
きどうたい	kʲ i d o̞ː t a̠ i
きとく	kʲ i t o̞ k ɯ̟ᵝ
きとく	kʲ i t o̞ k ɯ̟ᵝ
きとんぼ	kʲ i̥ t õ̞ m b o̞
きない	kʲ i n a̠ i
きなこ	kʲ i n a̠ k o̞
キナゾリン	kʲ i n a̠ z o̞ ɾʲ ĩ ɴ
ぎなたよみ	ɡʲ i n a̠ t a̠ j o̞ mʲ i
ゆうおう	j ɯ̟ᵝː o̞ː
しおう	ɕ i o̞ː
きにいる	kʲ i ɲ̟ i i ɾ ɯ̟ᵝ
ギニアピッグ	ɡʲ i ɲ̟ i a̠ pʲ i ɡ̚ ɡ̊ ɯ̟ᵝ
キニーネ	kʲ i ɲ̟ iː n e̞
ギニーピッグ	ɡʲ i ɲ̟ iː pʲ i ɡ̚ ɡ̊ ɯ̟ᵝ
きにち	kʲ i ɲ̟ i t͡ɕ i
きにゅう	kʲ i ɲ̟ ɯ̟ᵝː
きぬ	kʲ i n ɯ̟ᵝ
キヌア	kʲ i n ɯ̟ᵝ a̠
きぬかずき	kʲ i n ɯ̟ᵝ k a̠ z ɨᵝ kʲ i
きぬげねずみ	kʲ i n ɯ̟ᵝ ɡ e̞ n e̞ z ɨᵝ mʲ i
きぬごし	kʲ i n ɯ̟ᵝ ɡ o̞ ɕ i
きぬごしどうふ	kʲ i n ɯ̟ᵝ ɡ o̞ ɕ i d o̞ː ɸ ɯ̟ᵝ
きぬじ	kʲ i n ɯ̟ᵝ ʑ i
きぬのみち	kʲ i n ɯ̟ᵝ n o̞ mʲ i t͡ɕ i
きね	kʲ i n e̞
キネシン	kʲ i n e̞ ɕ ĩ ɴ
キネマ	kʲ i n e̞ m a̠
きねん	kʲ i n ẽ̞ ɴ
きねん	kʲ i n ẽ̞ ɴ
ぎねん	ɡʲ i n ẽ̞ ɴ
きねんび	kʲ i n ẽ̞ m bʲ i
きねんひん	kʲ i n ẽ̞ ɰ̃ ç ĩ ɴ
きねんぶつ	kʲ i n ẽ̞ m b ɯ̟ᵝ t͡s ɨᵝ
きのう	kʲ i n o̞ː
きのう	kʲ i n o̞ː
きのうほう	kʲ i n o̞ː h o̞ː
こう	k o̞ː
キノキサリン	kʲ i n o̞ kʲ i s a̠ ɾʲ ĩ ɴ
きのこ	kʲ i n o̞ k o̞
きのこぐも	kʲ i n o̞ k o̞ ɡ ɯ̟ᵝ m o̞
このは	k o̞ n o̞ h a̠
きのり	kʲ i n o̞ ɾʲ i
キノリン	kʲ i n o̞ ɾʲ ĩ ɴ
キノン	kʲ i n õ̞ ɴ
きば	kʲ i b a̠
きはく	kʲ i h a̠ k ɯ̟ᵝ
きはく	kʲ i h a̠ k ɯ̟ᵝ
きはく	kʲ i̥ h a̠ k ɯ̟ᵝ
きばく	kʲ i b a̠ k ɯ̟ᵝ
きばせん	kʲ i b a̠ s ẽ̞ ɴ
キハダ	kʲ i h a̠ d a̠
きはだいろ	kʲ i h a̠ d a̠ i ɾ o̞
きはつ	kʲ i h a̠ t͡s ɨᵝ
きはつせい	kʲ i h a̠ t͡s ɨᵝ s e̞ː
きはつゆ	kʲ i̥ h a̠ t͡s ɨᵝ j ɯ̟ᵝ
きはん	kʲ i h ã̠ ɴ
きはん	kʲ i h ã̠ ɴ
きばん	kʲ i b ã̠ ɴ
きはんじ	kʲ i h ã̠ ɲ̟ d͡ʑ i
きひ	kʲ i ç i
きび	kʲ i bʲ i
きび	kʲ i bʲ i
きびがら	kʲ i bʲ i ɡ a̠ ɾ a̠
きびなご	kʲ i bʲ i n a̠ ɡ o̞
ギビバイト	ɡʲ i bʲ i b a̠ i t o̞
キビバイト	kʲ i bʲ i b a̠ i t o̞
ギビビット	ɡʲ i bʲ i bʲ i t̚ t o̞
キビビット	kʲ i bʲ i bʲ i t̚ t o̞
きびょう	kʲ i bʲ o̞ː
きひん	kʲ i ç ĩ ɴ
きひん	kʲ i ç ĩ ɴ
きふ	kʲ i ɸ ɯ̟ᵝ
きふ	kʲ i ɸ ɯ̟ᵝ
ぎふ	ɡʲ i ɸ ɯ̟ᵝ
ぎふ	ɡʲ i ɸ ɯ̟ᵝ
ギブ	ɡʲ i b ɯ̟ᵝ
ギブアップ	ɡʲ i b ɯ̟ᵝ a̠ p̚ p ɯ̟ᵝ
ぎふけん	ɡʲ i ɸ ɯ̟ᵝ k ẽ̞ ɴ
きふじん	kʲ i ɸ ɯ̟ᵝ ʑ ĩ ɴ
きぶつ	kʲ i b ɯ̟ᵝ t͡s ɨᵝ
きふつ	kʲ i ɸ ɯ̟ᵝ t͡s ɨᵝ
にせもの	ɲ̟ i s e̞ m o̞ n o̞
ギフト	ɡʲ i ɸ ɯ̟̊ᵝ t o̞
きぶとり	kʲ i b ɯ̟ᵝ t o̞ ɾʲ i
きふるす	kʲ i ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨᵝ
キプロス	kʲ i p ɯ̟ᵝ ɾ o̞ s ɨᵝ
きぶん	kʲ i b ɯ̟̃ᵝ ɴ
ぎふん	ɡʲ i ɸ ɯ̟̃ᵝ ɴ
きぶんや	kʲ i b ɯ̟̃ᵝ ɰ̃ j a̠
きへい	kʲ i̥ h e̞ː
きべい	kʲ i b e̞ː
きへん	kʲ i h ẽ̞ ɴ
きべん	kʲ i b ẽ̞ ɴ
きほ	kʲ i h o̞
きぼ	kʲ i b o̞
ぎぼ	ɡʲ i b o̞
