ya	ja
ananipenda	ananipenda
ananipiga	ananipiɠa
ananisikilizisha	ananisikiliziʃa
ananitambua	ananitambua
ananitumia	ananitumia
ananizidi	ananiziɗi
ananoa	ananoa
ananufaika	ananufaika
ananuia	ananuia
ananyonyesha	anaɲoɲeʃa
anaoanzisha	anaoanziʃa
anaodaiwa	anaoɗaiwa
anaohusishwa	anaohusiʃwa
anaokoa	anaokoa
anaokolewa	anaokolewa
anaokuja	anaokuʄa
anaokuwa	anaokuwa
anaolipwa	anaolipwa
anaomboleza	anaomboleza
anaonaje	anaonaʄe
anaondoa	anaondoa
anaoongoza	anaoonɡoza
anaoongozana	anaoonɡozana
anaopata	anaopata
anaopenda	anaopenda
anaopevuka	anaopevuka
anaotembea	anaotembea
anaouona	anaouona
anaoupenda	anaoupenda
anaowaamini	anaowaamini
anaowafundisha	anaowafundiʃa
anaowaheshimu	anaowaheʃimu
anaowahitaji	anaowahitaʄi
anaowaongoza	anaowaonɡoza
anaowasikiliza	anaowasikiliza
anaowasimamia	anaowasimamia
anaowataja	anaowataʄa
anaoweza	anaoweza
anaozeshwa	anaozeʃwa
anapachanjwa	anapat͡ʃanɟwa
anapafahamu	anapafahamu
anapakizwa	anapakizwa
anapataje	anapataʄe
anapatwa	anapatwa
anapelekewa	anapelekewa
anapendeza	anapendeza
anapeta	anapeta
anapigania	anapiɠania
anapigia	anapiɠia
anapimwa	anapimwa
anapingana	anapinɡana
anapishana	anapiʃana
anapitia	anapitia
anapoacha	anapoat͡ʃa
anapoambiwa	anapoambiwa
anapoambukizwa	anapoambukizwa
anapoamka	anapoamka
anapoamua	anapoamua
anapoandika	anapoandika
anapobanwa	anapoɓanwa
anapobeba	anapoɓeɓa
anapochaguliwa	anapot͡ʃaɠuliwa
anapochepuka	anapot͡ʃepuka
anapochukuliwa	anapot͡ʃukuliwa
anapoelekea	anapoelekea
anapofanikiwa	anapofanikiwa
anapofanyiwa	anapofaɲiwa
anapofikiria	anapofikiɾia
anapofiwa	anapofiwa
anapogandisha	anapoɠandiʃa
anapoharibika	anapohaɾiɓika
anapohitimu	anapohitimu
anapohudhuria	anapohuðuɾia
anapoigiza	anapoiɠiza
anapoishi	anapoiʃi
anapoitumia	anapoitumia
anapojengwa	anapoʄenɡwa
anapojikuna	anapoʄikuna
anapojisahau	anapoʄisahau
anapojisikia	anapoʄisikia
anapojitayarisha	anapoʄitajaɾiʃa
anapojitetea	anapoʄitetea
anapojitokeza	anapoʄitokeza
anapojiuzulu	anapoʄiuzulu
anapokaa	anapokaa
anapokopa	anapokopa
anapokumbuka	anapokumbuka
anapokushtaki	anapokuʃtaki
anapokusudia	anapokusuɗia
anapokwama	anapokwama
anapolala	anapolala
anapolazwa	anapolazwa
anapomtimua	anapomtimua
anapomuona	anapomuona
anaponda	anaponda
anaponzwa	anaponzwa
anapoolewa	anapoolewa
anapoondoka	anapoondoka
anapoonekana	anapoonekana
anapoongea	anapoonɡea
anapoongeza	anapoonɡeza
anapoonyesha	anapooɲeʃa
anapopanda	anapopanda
anapopewa	anapopewa
anapopigania	anapopiɠania
anapopigwa	anapopiɠwa
anapopita	anapopita
anapopitiwa	anapopitiwa
anapopoteza	anapopoteza
anaporudisha	anapoɾuɗiʃa
anaposaini	anaposaini
anaposema	anaposema
anaposherehekea	anapoʃeɾehekea
anaposhuka	anapoʃuka
anaposifiwa	anaposifiwa
anaposikia	anaposikia
anaposimulia	anaposimulia
anapotafutiwa	anapotafutiwa
anapotakiwa	anapotakiwa
anapotamba	anapotamba
anapotangaza	anapotanɡaza
anapotazama	anapotazama
anapotembelewa	anapotembelewa
anapotetea	anapotetea
anapotuhumiwa	anapotuhumiwa
anapoudhiwa	anapouðiwa
anapowaambia	anapowaambia
anapowachanja	anapowat͡ʃanɟa
anapowakumbatia	anapowakumbatia
anapowalazimisha	anapowalazimiʃa
anapowaona	anapowaona
anapowarudisha	anapowaɾuɗiʃa
anapoweza	anapoweza
anapozalisha	anapozaliʃa
anapozikwa	anapozikwa
anapozungumza	anapozunɡumza
anapumzika	anapumzika
anapumzisha	anapumziʃa
anapungukiwa	anapunɡukiwa
anaridhika	anaɾiðika
anaripotia	anaɾipotia
anarithi	anaɾiθi
anarudishia	anaɾuɗiʃia
anarukaruka	anaɾukaɾuka
anasadikiwa	anasaɗikiwa
anasafiria	anasafiɾia
anasafirisha	anasafiɾiʃa
anasahau	anasahau
anasaidiwa	anasaiɗiwa
anasali	anasali
anasalia	anasalia
anasamehewa	anasamehewa
anashawishi	anaʃawiʃi
anashika	anaʃika
anashikiiliwa	anaʃikiiliwa
anashindana	anaʃindana
anashindanishwa	anaʃindaniʃwa
anashinikizwa	anaʃinikizwa
anashirikiana	anaʃiɾikiana
anashitakiwa	anaʃitakiwa
anashonwa	anaʃonwa
anashughulikia	anaʃuɣulikia
anashuhudia	anaʃuhuɗia
anashukia	anaʃukia
anashukiwa	anaʃukiwa
anashuku	anaʃuku
anashusha	anaʃuʃa
anashuti	anaʃuti
anashutumu	anaʃutumu
anasifa	anasifa
anasifika	anasifika
anasikitika	anasikitika
anasikitishwa	anasikitiʃwa
anasiku	anasiku
anasimuliwa	anasimuliwa
anasimuliza	anasimuliza
anasogea	anasoɠea
anasomea	anasomea
anasomeka	anasomeka
anasomesha	anasomeʃa
anastawi	anastawi
anastuka	anastuka
anasubiria	anasuɓiɾia
anasubiriwa	anasuɓiɾiwa
anatabasamu	anataɓasamu
anatabia	anataɓia
anatahadharisha	anatahaðaɾiʃa
anatahamu	anatahamu
anatahiniwa	anatahiniwa
anatamalaki	anatamalaki
anatania	anatania
anatapatapa	anatapatapa
anatapeliwa	anatapeliwa
anatapika	anatapika
anataraji	anataɾaʄi
anatarajiaa	anataɾaʄiaa
anatayarishwa	anatajaɾiʃwa
anatazamwa	anatazamwa
anatekeleza	anatekeleza
anatengeneza	anatenɡeneza
anateua	anateua
anatikisa	anatikisa
anatizama	anatizama
anatokana	anatokana
anatrend	anatɾend
anatuambia	anatuambia
anatuamsha	anatuamʃa
anatuelewa	anatuelewa
anatufafanulia	anatufafanulia
anatuhumu	anatuhumu
anatuinamisha	anatuinamiʃa
anatukanwa	anatukanwa
anatuma	anatuma
anatumaini	anatumaini
anatumwa	anatumwa
anatunza	anatunza
anatupeleka	anatupeleka
anatuuliza	anatuuliza
anauawa	anauawa
anaucheza	anaut͡ʃeza
anaufahamu	anaufahamu
anaufuata	anaufuata
anauguliwa	anauɠuliwa
anauheshimu	anauheʃimu
anauita	anauita
anaujulisha	anauʄuliʃa
anauliwa	anauliwa
anauliza	anauliza
anauma	anauma
anauona	anauona
anaupanda	anaupanda
anaupata	anaupata
anausahau	anausahau
anausaini	anausaini
anausifia	anausifia
anautazama	anautazama
anauthamini	anauθamini
anauthibitisha	anauθiɓitiʃa
anauzwa	anauzwa
anavamiwa	anavamiwa
anavifahamu	anavifahamu
anavipokea	anavipokea
anavosema	anavosema
anavua	anavua
anavuka	anavuka
anavumiliwa	anavumiliwa
anavuna	anavuna
anavunja	anavunɟa
anavutwa	anavutwa
anavyoandika	anavjoandika
anavyoanza	anavjoanza
anavyocheza	anavjot͡ʃeza
anavyodai	anavjoɗai
anavyodonoa	anavjoɗonoa
anavyoelewa	anavjoelewa
anavyoeleza	anavjoeleza
anavyoendesha	anavjoendeʃa
anavyohitaji	anavjohitaʄi
anavyohuzunishwa	anavjohuzuniʃwa
anavyoibuka	anavjoiɓuka
anavyoigiza	anavjoiɠiza
anavyoisadia	anavjoisaɗia
anavyojieleza	anavjoʄieleza
anavyojihisi	anavjoʄihisi
anavyojipanga	anavjoʄipanɡa
anavyojiweka	anavjoʄiweka
anavyokuwa	anavjokuwa
anavyomiliki	anavjomiliki
anavyomkubali	anavjomkuɓali
anavyonyimwa	anavjoɲimwa
anavyoongoza	anavjoonɡoza
anavyopambana	anavjopambana
anavyopata	anavjopata
anavyopendekeza	anavjopendekeza
anavyoripoti	anavjoɾipoti
anavyosafirishwa	anavjosafiɾiʃwa
anavyosimama	anavjosimama
anavyotaabika	anavjotaaɓika
anavyotamani	anavjotamani
anavyotambua	anavjotambua
anavyotarajia	anavjotaɾaʄia
anavyotuhumiwa	anavjotuhumiwa
anavyotumika	anavjotumika
anavyoumizwa	anavjoumizwa
anavyovikuta	anavjovikuta
anavyovilaumu	anavjovilaumu
anavyovitoa	anavjovitoa
anavyoweka	anavjoweka
anavyozeeka	anavjozeeka
anavyozungumzia	anavjozunɡumzia
anawaamini	anawaamini
anawaangukia	anawaanɡukia
anawabana	anawaɓana
anawabeba	anawaɓeɓa
anawadanganya	anawaɗanɡaɲa
anawaelekeza	anawaelekeza
anawaelewa	anawaelewa
anawaeleza	anawaeleza
anawafaa	anawafaa
anawafanyia	anawafaɲia
anawafundisha	anawafundiʃa
anawahoji	anawahoʄi
anawahudumiua	anawahuɗumiua
anawahurumia	anawahuɾumia
anawaingia	anawainɡia
anawakilishwa	anawakiliʃwa
anawakumbusha	anawakumbuʃa
anawakwepa	anawakwepa
anawalalamikia	anawalalamikia
anawalawiti	anawalawiti
anawaletea	anawaletea
anawaniwa	anawaniwa
anawaomba	anawaomba
anawaombea	anawaombea
anawaona	anawaona
anawapanga	anawapanɡa
anawapatia	anawapatia
anawashangaa	anawaʃanɡaa
anawasiliana	anawasiliana
anawasimamia	anawasimamia
anawasiwasi	anawasiwasi
anawasogelea	anawasoɠelea
anawastahi	anawastahi
anawasubiri	anawasuɓiɾi
anawasumbua	anawasumbua
anawatakia	anawatakia
anawatakiwa	anawatakiwa
anawatimua	anawatimua
anawatishia	anawatiʃia
anawatoto	anawatoto
anawatoza	anawatoza
anawatumikia	anawatumikia
anawaua	anawaua
anawaza	anawaza
anawekwa	anawekwa
anawezaje	anawezaʄe
anawezesha	anawezeʃa
anayaandika	anajaandika
anayachukua	anajat͡ʃukua
anayadai	anajaɗai
anayafanya	anajafaɲa
anayafunga	anajafunɡa
anayajua	anajaʄua
anayaonya	anajaoɲa
anayasafirisha	anajasafiɾiʃa
anayasema	anajasema
anayatumia	anajatumia
anayaweza	anajaweza
anayeabudu	anajeaɓuɗu
anayealikwa	anajealikwa
anayeangalia	anajeanɡalia
anayeanza	anajeanza
anayebainika	anajeɓainika
anayebaniwa	anajeɓaniwa
anayebeba	anajeɓeɓa
anayebisha	anajeɓiʃa
anayeboresha	anajeɓoɾeʃa
anayechaguliwa	anajet͡ʃaɠuliwa
anayechakarika	anajet͡ʃakaɾika
anayechukia	anajet͡ʃukia
anayechukuliwa	anajet͡ʃukuliwa
anayedhani	anajeðani
anayedhanikiwa	anajeðanikiwa
anayeeleza	anajeeleza
anayeelezwa	anajeelezwa
anayeendana	anajeendana
anayeendeshwa	anajeendeʃwa
anayefika	anajefika
anayefikia	anajefikia
anayefuatilia	anajefuatilia
anayefurahia	anajefuɾahia
anayehamia	anajehamia
anayeibukia	anajeiɓukia
anayeifahamu	anajeifahamu
anayeimba	anajeimba
anayeingiza	anajeinɡiza
anayeitikia	anajeitikia
anayeiunga	anajeiunɡa
anayejali	anajeʄali
anayejibu	anajeʄiɓu
anayejieleza	anajeʄieleza
anayejifungua	anajeʄifunɡua
anayejiheshimu	anajeʄiheʃimu
anayejihusisha	anajeʄihusiʃa
anayejitambua	anajeʄitambua
anayejituma	anajeʄituma
anayejizolea	anajeʄizolea
anayejulikna	anajeʄulikna
anayekanya	anajekaɲa
anayekanywa	anajekaɲwa
anayekata	anajekata
anayeketi	anajeketi
anayekijua	anajekiʄua
anayekiuka	anajekiuka
anayekopa	anajekopa
anayekosoa	anajekosoa
anayekua	anajekua
anayekubalika	anajekuɓalika
anayekufa	anajekufa
anayekukimbiza	anajekukimbiza
anayekula	anajekula
anayekupa	anajekupa
anayekusaidia	anajekusaiɗia
anayekutanisha	anajekutaniʃa
anayekutwa	anajekutwa
anayekuza	anajekuza
anayelalamikiwa	anajelalamikiwa
anayelaliwa	anajelaliwa
anayelengwa	anajelenɡwa
anayelipa	anajelipa
anayelisimulia	anajelisimulia
anayemalizia	anajemalizia
anayemchukia	anajemt͡ʃukia
anayemeza	anajemeza
anayemfaa	anajemfaa
anayemfahamu	anajemfahamu
anayemfikiria	anajemfikiɾia
anayemfuata	anajemfuata
anayemfutia	anajemfutia
anayemini	anajemini
anayemlipa	anajemlipa
anayemnyima	anajemɲima
anayemnyonya	anajemɲoɲa
anayempenda	anajempenda
anayempiga	anajempiɠa
anayempinga	anajempinɡa
anayemtafutia	anajemtafutia
anayemtaja	anajemtaʄa
anayemtambua	anajemtambua
anayemtembelea	anajemtembelea
anayemuhitaji	anajemuhitaʄi
anayemulika	anajemulika
anayemuondoa	anajemuondoa
anayemuuliza	anajemuuliza
anayemuuzia	anajemuuzia
anayenipa	anajenipa
anayenufaika	anajenufaika
anayeona	anajeona
anayeongea	anajeonɡea
anayepachika	anajepat͡ʃika
anayepaki	anajepaki
anayepanda	anajepanda
anayepanga	anajepanɡa
anayepatikana	anajepatikana
anayepekua	anajepekua
anayepelekwa	anajepelekwa
anayependelewa	anajependelewa
anayepeperusha	anajepepeɾuʃa
anayepiga	anajepiɠa
anayereuhusiwa	anajeɾeuhusiwa
anayeripotia	anajeɾipotia
anayerithi	anajeɾiθi
anayerudi	anajeɾuɗi
anayesababisha	anajesaɓaɓiʃa
anayesafiria	anajesafiɾia
anayesafirisha	anajesafiɾiʃa
anayesaidiana	anajesaiɗiana
anayesaini	anajesaini
anayesajiliwa	anajesaʄiliwa
anayesemekana	anajesemekana
anayeshibana	anajeʃiɓana
anayeshikiria	anajeʃikiɾia
anayeshinda	anajeʃinda
anayeshirikiana	anajeʃiɾikiana
anayeshutumiwa	anajeʃutumiwa
anayesikikliza	anajesikikliza
anayesikilizwa	anajesikilizwa
anayesimama	anajesimama
anayesimulia	anajesimulia
anayesomea	anajesomea
anayestahiki	anajestahiki
anayesubiliwa	anajesuɓiliwa
anayesubiriwa	anajesuɓiɾiwa
anayesumbuliwa	anajesumbuliwa
anayetafutwa	anajetafutwa
anayetaga	anajetaɠa
anayetaja	anajetaʄa
anayetambulika	anajetambulika
anayeteka	anajeteka
anayetenda	anajetenda
anayetengeneza	anajetenɡeneza
anayetengenezea	anajetenɡenezea
anayetibu	anajetiɓu
anayetimiza	anajetimiza
anayetuma	anajetuma
anayetuona	anajetuona
anayetupa	anajetupa
anayeuawa	anajeuawa
anayeuzwa	anajeuzwa
anayevaa	anajevaa
anayevumilia	anajevumilia
anayewafanyia	anajewafaɲia
anayewakikishwa	anajewakikiʃwa
anayewaniwa	anajewaniwa
anayewazidi	anajewaziɗi
anayeweka	anajeweka
anayewekeza	anajewekeza
anayeyasemea	anajejasemea
anayeyesikiliza	anajejesikiliza
anayeyumba	anajejumba
anayezaa	anajezaa
anayezaliwa	anajezaliwa
anayezitaka	anajezitaka
anayezuiliwa	anajezuiliwa
anayezungumzia	anajezunɡumzia
anayoamini	anajoamini
anayochukua	anajot͡ʃukua
anayoenda	anajoenda
anayoendelea	anajoendelea
anayofanyia	anajofaɲia
anayogombea	anajoɠombea
anayohitaji	anajohitaʄi
anayoianzisha	anajoianziʃa
anayoihudumia	anajoihuɗumia
anayoimiliki	anajoimiliki
anayoinoa	anajoinoa
anayoiona	anajoiona
anayoishabikia	anajoiʃaɓikia
anayoishutumu	anajoiʃutumu
anayoitaka	anajoitaka
anayoitoa	anajoitoa
anayojivunia	anajoʄivunia
anayokabiliana	anajokaɓiliana
anayokabiliwa	anajokaɓiliwa
anayokopa	anajokopa
anayokumbana	anajokumbana
anayokutana	anajokutana
anayokwambia	anajokwambia
anayolalamikia	anajolalamikia
anayolima	anajolima
anayolipia	anajolipia
anayomlinda	anajomlinda
anayompongeza	anajomponɡeza
anayopaswa	anajopaswa
anayopatiwa	anajopatiwa
anayoposti	anajoposti
anayoshauku	anajoʃauku
anayoshitakiwa	anajoʃitakiwa
anayoshtakiwa	anajoʃtakiwa
anayostahili	anajostahili
anayotakiwa	anajotakiwa
anayotakuwa	anajotakuwa
anayotembelea	anajotembelea
anayotoa	anajotoa
anayotoka	anajotoka
anayowasemea	anajowasemea
anayoweza	anajoweza
anayoyafanya	anajojafaɲa
anayoyapenda	anajojapenda
anayoyapitia	anajojapitia
anayozungumza	anajozunɡumza
anazalisha	anazaliʃa
anaziangusha	anazianɡuʃa
anaziba	anaziɓa
anazichanga	anazit͡ʃanɡa
anazidi	anaziɗi
anazidiwa	anaziɗiwa
anazifanya	anazifaɲa
anazijua	anaziʄua
anazilalamikia	anazilalamikia
anaziona	anaziona
anazipata	anazipata
anazipeleka	anazipeleka
anazisaidia	anazisaiɗia
anaziunganisha	anaziunɡaniʃa
anazizungumzia	anazizunɡumzia
anazoamini	anazoamini
anazoandikiwa	anazoandikiwa
anazodai	anazoɗai
anazohamisha	anazohamiʃa
anazoishi	anazoiʃi
anazomdai	anazomɗai
anazopeleka	anazopeleka
anazopitia	anazopitia
anazosema	anazosema
anazoshabikia	anazoʃaɓikia
anazotengenezewa	anazotenɡenezewa
anazowania	anazowania
anazozifanya	anazozifaɲa
anazozionyesha	anazozioɲeʃa
anazozisema	anazozisema
anazozitoa	anazozitoa
anazuga	anazuɠa
anazuiwa	anazuiwa
anazunguka	anazunɡuka
anazungukwa	anazunɡukwa
anazungusha	anazunɡuʃa
anbaye	anɓaje
anbayo	anɓajo
andaliwa	andaliwa
andikishwa	andikiʃwa
andiye	andije
anelalamikiwa	anelalamikiwa
aneleza	aneleza
anemshukuru	anemʃukuɾu
anendelea	anendelea
aneo	aneo
aneongeza	aneonɡeza
anetuhumiwa	anetuhumiwa
aneurysms	aneuɾjsms
angali	anɡali
angaliaje	anɡaliaʄe
angalu	anɡalu
angaolau	anɡaolau
angeachiliwa	anɡeat͡ʃiliwa
angeadhimisha	anɡeaðimiʃa
angeambiwa	anɡeambiwa
angeamka	anɡeamka
angeanza	anɡeanza
angeanzisha	anɡeanziʃa
angebadilisha	anɡeɓaɗiliʃa
angechajiwa	anɡet͡ʃaʄiwa
angeelewa	anɡeelewa
angefunguka	anɡefunɡuka
angegombea	anɡeɠombea
angehisi	anɡehisi
angehojiwa	anɡehoʄiwa
angehusishwa	anɡehusiʃwa
angeibuka	anɡeiɓuka
angeifanya	anɡeifaɲa
angeishia	anɡeiʃia
angeitoa	anɡeitoa
angejalia	anɡeʄalia
angejitahidi	anɡeʄitahiɗi
angejitokeza	anɡeʄitokeza
angejiunga	anɡeʄiunɡa
angekaa	anɡekaa
angekamatwa	anɡekamatwa
angekatwa	anɡekatwa
angekerwa	anɡekeɾwa
angekitumia	anɡekitumia
angekua	anɡekua
angekubaliana	anɡekuɓaliana
angekutana	anɡekutana
angekutwa	anɡekutwa
angekwenda	anɡekwenda
angelaza	anɡelaza
angelilia	anɡelilia
angelipwa	anɡelipwa
angelisukuma	anɡelisukuma
angemkaba	anɡemkaɓa
angempigia	anɡempiɠia
angemruhusu	anɡemɾuhusu
angemtambua	anɡemtambua
angemuua	anɡemuua
angemuunga	anɡemuunɡa
angemwachia	anɡemwat͡ʃia
angemwambia	anɡemwambia
angenyamaza	anɡeɲamaza
angeoaswa	anɡeoaswa
angeogopa	anɡeoɠopa
angeondoka	anɡeondoka
angeongea	anɡeonɡea
angeonyesha	anɡeoɲeʃa
angeosha	anɡeoʃa
angepangwa	anɡepanɡwa
angepaswa	anɡepaswa
angepatikana	anɡepatikana
angepelekwa	anɡepelekwa
angependelea	anɡependelea
angepeperusha	anɡepepeɾuʃa
angepewa	anɡepewa
angepigana	anɡepiɠana
angepitia	anɡepitia
angepona	anɡepona
angepoteza	anɡepoteza
anger	anɡeɾ
angesaidia	anɡesaiɗia
angeshangaa	anɡeʃanɡaa
angeshika	anɡeʃika
angeshinda	anɡeʃinda
angeshinikizwa	anɡeʃinikizwa
angesitisha	anɡesitiʃa
angestahili	anɡestahili
angetaja	anɡetaʄa
angetajwa	anɡetaʄwa
angetakiwa	anɡetakiwa
angetambulika	anɡetambulika
angetangaza	anɡetanɡaza
angetarajia	anɡetaɾaʄia
angetazamana	anɡetazamana
angetekeleza	anɡetekeleza
angetengeneza	anɡetenɡeneza
angeteswa	anɡeteswa
angetimuliwa	anɡetimuliwa
angetoka	anɡetoka
angetokwa	anɡetokwa
angeufanya	anɡeufaɲa
angeufikisha	anɡeufikiʃa
angeumia	anɡeumia
angeunda	anɡeunda
angeunga	anɡeunɡa
angeungama	anɡeunɡama
angeungana	anɡeunɡana
angevamia	anɡevamia
angevikataa	anɡevikataa
angewaacha	anɡewaat͡ʃa
angewahi	anɡewahi
angewasiliana	anɡewasiliana
angewasumbua	anɡewasumbua
angezirithi	anɡeziɾiθi
angezishughulikia	anɡeziʃuɣulikia
angezungumza	anɡezunɡumza
anglikana	anɡlikana
angola	anɡola
angu	anɡu
anieleze	anieleze
anihamishe	anihamiʃe
aniletee	aniletee
anilipe	anilipe
animesheni	animeʃeni
anini	anini
anipige	anipiɠe
anirekebishie	aniɾekeɓiʃie
anisamehe	anisamehe
anisimamia	anisimamia
anisomee	anisomee
aniulize	aniulize
antarajiwa	antaɾaʄiwa
antibiotic	antiɓiotic
anunue	anunue
anyamaze	aɲamaze
anyeshiriki	aɲeʃiɾiki
anyway	aɲwaj
ao	ao
aodoke	aoɗoke
aoge	aoɠe
aokoke	aokoke
aokowa	aokowa
aolewe	aolewe
aolowe	aolowe
aonekana	aonekana
aonewe	aonewe
aongezeke	aonɡezeke
aongezewe	aonɡezewe
aonya	aoɲa
aonyesha	aoɲeʃa
aonyeshwe	aoɲeʃwe
apambwe	apambwe
apande	apande
apandishwe	apandiʃwe
apatikana	apatikana
apaze	apaze
apelike	apelike
apende	apende
apewa	apewa
apiga	apiɠa
apigane	apiɠane
apigie	apiɠie
apimwe	apimwe
apinga	apinɡa
apishwe	apiʃwe
apofika	apofika
apokea	apokea
apongeza	aponɡeza
apoteza	apoteza
app	app
appartment	appaɾtment
appearance	appeaɾance
applikesheni	applikeʃeni
apps	apps
april	apɾil
aprili	apɾili
apuuze	apuuze
apuuzilia	apuuzilia
arejeshe	aɾeʄeʃe
arejeshewe	aɾeʄeʃewe
aribu	aɾiɓu
aridhini	aɾiðini
aripotiwa	aɾipotiwa
arrest	aɾɾest
arudishe	aɾuɗiʃe
arudishwa	aɾuɗiʃwa
arudishwe	aɾuɗiʃwe
aruhusu	aɾuhusu
asachiwe	asat͡ʃiwe
asafishe	asafiʃe
asahau	asahau
asalie	asalie
asalimiana	asalimiana
asanteni	asanteni
asha	aʃa
ashangilie	aʃanɡilie
ashauriwe	aʃauɾiwe
ashawahi	aʃawahi
ashikiliwe	aʃikiliwe
ashikwe	aʃikwe
ashindwa	aʃindwa
ashindwi	aʃindwi
ashiriki	aʃiɾiki
ashtakiwe	aʃtakiwe
ashughulikie	aʃuɣulikie
ashughulikiwe	aʃuɣulikiwe
ashuke	aʃuke
ashutumiwa	aʃutumiwa
ashutumu	aʃutumu
asia	asia
asiaminike	asiaminike
asiangaike	asianɡaike
asiangue	asianɡue
asibadilishe	asiɓaɗiliʃe
asibebeshwe	asiɓeɓeʃwe
asichague	asit͡ʃaɠue
asicheze	asit͡ʃeze
asichukuliwe	asit͡ʃukuliwe
asidakwe	asiɗakwe
asiendee	asiendee
asiendelee	asiendelee
asifaulu	asifaulu
asifia	asifia
asifikie	asifikie
asifikishwe	asifikiʃwe
asifiwa	asifiwa
asifuatilie	asifuatilie
asifumaniwe	asifumaniwe
asifunge	asifunɡe
asifungwe	asifunɡwe
asifurahi	asifuɾahi
asiheshimu	asiheʃimu
asihojiwe	asihoʄiwe
asiidakie	asiiɗakie
asiishie	asiiʃie
asijaribu	asiʄaɾiɓu
asijeleta	asiʄeleta
asijihusishe	asiʄihusiʃe
asijione	asiʄione
asijue	asiʄue
asijulikane	asiʄulikane
asikanyage	asikaɲaɠe
asikasirike	asikasiɾike
asikatishe	asikatiʃe
asikie	asikie
asikilize	asikilize
asikose	asikose
asikubali	asikuɓali
asikudanganye	asikuɗanɡaɲe
asikwambie	asikwambie
asiliamia	asiliamia
asilimia	asilimia
asilimka	asilimka
asimama	asimama
asimamie	asimamie
asimamishwa	asimamiʃwa
asimamishwe	asimamiʃwe
asimilia	asimilia
asimpende	asimpende
asimulia	asimulia
asingeachika	asinɡeat͡ʃika
asingeanza	asinɡeanza
asingecheza	asinɡet͡ʃeza
asingechukua	asinɡet͡ʃukua
asingefika	asinɡefika
asingefikiriwa	asinɡefikiɾiwa
asingehama	asinɡehama
asingeimarika	asinɡeimaɾika
asingeingia	asinɡeinɡia
asingeiweza	asinɡeiweza
asingejiunga	asinɡeʄiunɡa
asingekosa	asinɡekosa
asingeliweza	asinɡeliweza
asingemuelewa	asinɡemuelewa
asingepanda	asinɡepanda
asingepewa	asinɡepewa
asingerudi	asinɡeɾuɗi
asingetamani	asinɡetamani
asingetoka	asinɡetoka
asingiziwe	asinɡiziwe
asiondoke	asiondoke
asionewe	asionewe
asiowajua	asiowaʄua
asipande	asipande
asipende	asipende
asipigiwe	asipiɠiwe
asipitwe	asipitwe
asipoangalia	asipoanɡalia
asipofuata	asipofuata
asipofunga	asipofunɡa
asipoifikisha	asipoifikiʃa
asipojali	asipoʄali
asiposaini	asiposaini
asipotibiwa	asipotiɓiwa
asirejee	asiɾeʄee
asisahau	asisahau
asisahaulike	asisahaulike
asisaini	asisaini
asiseme	asiseme
asishinde	asiʃinde
asishuke	asiʃuke
asisite	asisite
asisumbuliwe	asisumbuliwe
asitende	asitende
asithubutu	asiθuɓutu
asitumalizie	asitumalizie
asivyokubaliana	asivjokuɓaliana
asivyoweza	asivjoweza
asiwakamate	asiwakamate
asiwasumbue	asiwasumbue
asiyaweke	asijaweke
asiyeaminika	asijeaminika
asiyecheza	asijet͡ʃeza
asiyechoka	asijet͡ʃoka
asiyedhaniwa	asijeðaniwa
asiyefahamika	asijefahamika
asiyefungamana	asijefunɡamana
asiyehesabiwa	asijehesaɓiwa
asiyeheshimu	asijeheʃimu
asiyehusika	asijehusika
asiyeidhinishwa	asijeiðiniʃwa
asiyeishiwa	asijeiʃiwa
asiyekata	asijekata
asiyekusudiwa	asijekusuɗiwa
asiyelipa	asijelipa
asiyeogopa	asijeoɠopa
asiyepingwa	asijepinɡwa
asiyetabirika	asijetaɓiɾika
asiyeuzika	asijeuzika
asiyezaa	asijezaa
asiyokuwa	asijokuwa
asiyoyaamini	asijojaamini
asizidi	asiziɗi
asizungumze	asizunɡumze
asizurure	asizuɾuɾe
askri	askɾi
aslimia	aslimia
asomewe	asomewe
asonge	asonɡe
assesment	assesment
astaafu	astaafu
asubihi	asuɓihi
asubuh	asuɓuh
asubui	asuɓui
asukumwe	asukumwe
ata	ata
ataachana	ataat͡ʃana
ataachiliwa	ataat͡ʃiliwa
ataagwa	ataaɠwa
ataambatana	ataambatana
ataamka	ataamka
ataandaliwa	ataandaliwa
ataangaliwa	ataanɡaliwa
ataapa	ataapa
ataazima	ataazima
atabonyeza	ataɓoɲeza
atacha	atat͡ʃa
atachagua	atat͡ʃaɠua
atachambua	atat͡ʃambua
atachangia	atat͡ʃanɡia
atachapisha	atat͡ʃapiʃa
atachukuwa	atat͡ʃukuwa
atadhani	ataðani
ataelewa	ataelewa
ataeleweka	ataeleweka
ataenda	ataenda
ataendeela	ataendeela
ataendelelea	ataendelelea
ataendeleza	ataendeleza
ataendesha	ataendeʃa
ataepuka	ataepuka
atafaidikaje	atafaiɗikaʄe
atafakari	atafakaɾi
atafanikisha	atafanikiʃa
atafariki	atafaɾiki
atafaulu	atafaulu
atafikisha	atafikiʃa
atafuatana	atafuatana
atafukuzwa	atafukuzwa
atafungiwa	atafunɡiwa
atafunguliwa	atafunɡuliwa
atafunguwa	atafunɡuwa
atafuta	atafuta
atafuzu	atafuzu
atagombania	ataɠombania
