flora,flɔra
tłuściocha,twuɕt͡ɕɔxa
niecierpliwej,ɲɛt͡ɕɛrplivɛj
ciechowicz,t͡ɕɛxɔvit͡ʂ
igor,iɡɔr
chimera,ximɛra
janowska,janɔfska
zgodność,zɡɔdnɔɕt͡ɕ
dbać,dbat͡ɕ
gawałkiewicz,ɡavawkjɛvit͡ʂ
autowy,awtɔvɨ
dowolni,dɔvɔlɲi
dzióbać,d͡ʑubat͡ɕ
wyglądaliby,vɨɡlɔndalibɨ
aprobatywny,aprɔbatɨvnɨ
wiącek,vjɔnt͡sɛk
kwikać,kfikat͡ɕ
gawroński,ɡavrɔɲski
szesnastobitowy,ʂɛsnastɔbitɔvɨ
ciapak,t͡ɕapak
umowny,umɔvnɨ
wziąłeś,vʑɔwɛɕ
misiu,miɕu
bezczeszczenie,bɛst͡ʂɛʂt͡ʂɛɲɛ
zbierano,zbjɛranɔ
stercza,stɛrt͡ʂa
żółtodziób,ʐuwtɔd͡ʑup
bladzich,blad͡ʑix
kościelnej,kɔɕt͡ɕɛlnɛj
amylograf,amɨlɔɡraf
mówieć,movjɛt͡ɕ
zimnolubny,ʑimnɔlubnɨ
trąbek,trɔmbɛk
radzymin,rad͡zɨmin
dżins,d͡ʐins
ciszczoń,t͡ɕiʂt͡ʂɔɲ
szkoły,ʂkɔwɨ
manista,maɲista
progach,prɔɡax
ścierająca,ɕt͡ɕɛrajɔnt͡sa
żywiecki,ʐɨvjɛt͡ski
tuli,tuli
górzysty,ɡuʐɨstɨ
przesadzaliście,pʂɛsad͡zaliɕt͡ɕɛ
wegetariańskim,vɛɡɛtarjaɲskim
omówka,ɔmufka
wolnego,vɔlnɛɡɔ
wschodnioniemieckie,fsxɔdɲɔɲɛmjɛt͡skjɛ
brek,brɛk
przywidywać,pʂɨvidɨvat͡ɕ
nadbijanie,nadbijaɲɛ
oborowy,ɔbɔrɔvɨ
punkt,puŋkt
zeskoczyć,zɛskɔt͡ʂɨt͡ɕ
paziowie,paʑɔvjɛ
wyłaniać,vɨwaɲat͡ɕ
harmonij,xarmɔɲij
białowicz,bjawɔvit͡ʂ
średniemu,ɕrɛdɲɛmu
pendent,pɛndɛnt
bełchatowianin,bɛwxatɔvjaɲin
kładłbyś,kwadwbɨɕ
osina,ɔɕina
maśle,maɕlɛ
anatomia,anatɔmja
mędrek,mɛndrɛk
łuszczyna,wuʂt͡ʂɨna
choinkom,xɔiŋkɔm
kamczatką,kamt͡ʂatkɔw̃
znaj,znaj
nożnym,nɔʐnɨm
taśmę,taɕmɛ
terenie,tɛrɛɲɛ
notabl,nɔtabl
bezjamowiec,bɛzjamɔvjɛt͡s
zbór,zbur
prace,prat͡sɛ
ostce,ɔstt͡sɛ
impresywny,imprɛsɨvnɨ
anarchio,anarxjɔ
ciapą,t͡ɕapɔw̃
żytach,ʐɨtax
tilapia,tilapja
obrabować,ɔbrabɔvat͡ɕ
cienkonogi,t͡ɕɛŋkɔnɔɡi
kalibrować,kalibrɔvat͡ɕ
wrzecionowaty,vʐɛt͡ɕɔnɔvatɨ
niekraś,ɲɛkraɕ
nakładca,nakwatt͡sa
kwaśniewski,kfaɕɲɛfski
podpaskach,pɔtpaskax
ijekawski,ijɛkafski
odkład,ɔtkɫɒt
białostocczanie,bjawɔstɔt͡st͡ʂaɲɛ
abiturienci,abiturjɛnt͡ɕi
pałąkowi,pawɔŋkɔvi
ziąbu,ʑɔmbu
szesnaścioro,ʂɛsnaɕt͡ɕɔrɔ
ciążyłyście,t͡ɕɔw̃ʐɨwɨɕt͡ɕɛ
terytoria,tɛrɨtɔrja
somalijskiej,sɔmalijskjɛj
parafinowicz,parafinɔvit͡ʂ
stryków,strɨkuf
analna,analna
nieporęcznie,ɲɛpɔrɛnt͡ʂɲɛ
skore,skɔrɛ
wywlec,vɨvlɛt͡s
drgały,drɡawɨ
uleć,ulɛt͡ɕ
sfabrykowanie,sfabrɨkɔvaɲɛ
maszyniści,maʂɨɲiɕt͡ɕi
jeleniami,jɛlɛɲami
śliską,ɕliskɔw̃
zbuk,zbuk
uprowadzeniem,uprɔvad͡zɛɲɛm
małek,mawɛk
aplanat,aplanat
wołałaś,vɔwawaɕ
królewskiemu,krulɛfskjɛmu
gradu,ɡradu
antecesor,antɛt͡sɛsɔr
sprało,sprawɔ
odrze,ɔdʐɛ
wtykać,ftɨkat͡ɕ
zwalą,zvalɔw̃
rozpaczałabyś,rɔspat͡ʂawabɨɕ
arenitowy,arɛɲitɔvɨ
witon,vitɔn
becela,bɛt͡sɛla
aksamitka,aksamitka
utlenianie,utlɛɲaɲɛ
legami,lɛɡami
włoszkom,vwɔʂkɔm
zakrzykiwać,zakʂɨkivat͡ɕ
bałkańskiej,bawkaɲskjɛj
jackowiec,jat͡skɔvjɛt͡s
kręci,krɛɲt͡ɕi
polecać,pɔlɛt͡sat͡ɕ
masturbowaliście,masturbɔvaliɕt͡ɕɛ
niespieszny,ɲɛspjɛʂnɨ
owieczkami,ɔvjɛt͡ʂkami
iłżecki,iwʐɛt͡ski
cierpliwie,t͡ɕɛrplivjɛ
liścik,liɕt͡ɕik
fiesta,fjɛsta
biogazownia,bjɔɡazɔvɲa
przejrzewać,pʂɛjʐɛvat͡ɕ
uważny,uvaʐnɨ
niej,ɲɛj
agi,aɡi
rybny,rɨbnɨ
zbiorowo,zbjɔrɔvɔ
nadaną,nadanɔw̃
albańskiego,albaɲskjɛɡɔ
iglic,iɡlit͡s
wkuwać,fkuvat͡ɕ
bajko,bajkɔ
trawią,travjɔw̃
mądroń,mɔndrɔɲ
popalać,pɔpalat͡ɕ
przechodzić,pʂɛxɔd͡ʑit͡ɕ
szlaczek,ʂlat͡ʂɛk
spranie,spraɲɛ
przykrywać,pʂɨkrɨvat͡ɕ
lecieć,lɛt͡ɕɛt͡ɕ
aklamowanie,aklamɔvaɲɛ
dż,d͡ʐ
wynajmujcie,vɨnajmujt͡ɕɛ
przygotowanie,pʂɨɡɔtɔvaɲɛ
poduch,pɔdux
racis,rat͡ɕis
sydney,sɨdnɛj
krzywymi,kʂɨvɨmi
animacja,aɲimat͡sja
biokosmetyk,bjɔkɔsmɛtɨk
białogardzianka,bjawɔɡard͡ʑaŋka
dziełom,d͡ʑɛwɔm
najbielszy,najbjɛlʂɨ
niełatwy,ɲɛwatfɨ
kołos,kɔwɔs
pękło,pɛŋkwɔ
zautonomizuje,zawtɔnɔmizujɛ
szminkach,ʂmiŋkax
dziadku,d͡ʑatku
tryumfie,trɨumfjɛ
cwani,t͡sfaɲi
wiosłujecie,vjɔswujɛt͡ɕɛ
nadaremny,nadarɛmnɨ
miotłaś,mjɔtwaɕ
łączy,wɔnt͡ʂɨ
zgrywus,zɡrɨvus
stołeczny,stɔwɛt͡ʂnɨ
podgięcie,pɔdɡjɛɲt͡ɕɛ
faza,faza
empatyczny,ɛmpatɨt͡ʂnɨ
polubienie,pɔlubjɛɲɛ
chromiec,xrɔmjɛt͡s
muzułmańskim,muzuwmaɲskim
sypka,sɨpka
bezpłatnie,bɛspwatɲɛ
odpowiadało,ɔtpɔvjadawɔ
pojmowałoby,pɔjmɔvawɔbɨ
zjebany,zjɛbanɨ
grzęda,ɡʐɛnda
kibicowalibyśmy,kibit͡sɔvalibɨɕmɨ
przyjść,pr̝ɨjɕt͡ɕ
szacować,ʂat͡sɔvat͡ɕ
walna,valna
biodynamiczny,bjɔdɨnamit͡ʂnɨ
idiolekt,idjɔlɛkt
wiszę,viʂɛ
riedel,ridɛl
odciski,ɔtt͡ɕiski
kudły,kudwɨ
algebra,alɡɛbra
dopasowywać,dɔpasɔvɨvat͡ɕ
spermacet,spɛrmat͡sɛt
naczyniówkom,nat͡ʂɨɲufkɔm
robisz,rɔbiʂ
fajko,fajkɔ
bawiciel,bavit͡ɕɛl
szuja,ʂuja
zawala,zavala
odradzałybyście,ɔdrad͡zawɨbɨɕt͡ɕɛ
hindustani,xindustaɲi
kołek,kɔwɛk
opętywanie,ɔpɛntɨvaɲɛ
zostajesz,zɔstajɛʂ
rundą,rundɔw̃
niedźwiadek,ɲɛd͡ʑvjadɛk
dres,drɛs
okólny,ɔkulnɨ
skórek,skurɛk
użądlić,uʐɔndlit͡ɕ
akcydentalizm,akt͡sɨdɛntalizm
argusowy,arɡusɔvɨ
przypilnujcie,pʂɨpilnujt͡ɕɛ
druhna,druxna
giełdoń,ɡjɛwdɔɲ
nękają,nɛŋkajɔw̃
białolistny,bjawɔlistnɨ
walkom,valkɔm
karpackiemu,karpat͡skjɛmu
postwania,pɔstfaɲa
kracie,krat͡ɕɛ
ukarałyśmy,ukarawɨɕmɨ
sabotowaliście,sabɔtɔvaliɕt͡ɕɛ
dęci,dɛɲt͡ɕi
kartować,kartɔvat͡ɕ
odśrodkowy,ɔtɕrɔtkɔvɨ
sprzątnij,spʂɔntɲij
dziewiarski,d͡ʑɛvjarski
katusza,katuʂa
obalam,ɔbalam
niedostatecznie,ɲɛdɔstatɛt͡ʂɲɛ
roztrzepany,rɔstʂɛpanɨ
obrazoburca,ɔbrazɔburt͡sa
prochu,prɔxu
wtórną,fturnɔw̃
golem,ɡɔlɛm
jasiu,jaɕu
lotnia,lɔtɲa
żałować,ʐawɔvat͡ɕ
iworyjska,ivɔrɨjska
nominał,nɔminaw
augur,awɡur
gołąbka,ɡɔwɔmpka
aczasowy,at͡ʂasɔvɨ
sprzątali,spʂɔntali
pilaster,pilastɛr
bargli,barɡli
metryczny,mɛtrɨt͡ʂnɨ
ósmym,usmɨm
skwarzec,skfaʐɛt͡s
śpiewałyście,ɕpjɛvawɨɕt͡ɕɛ
rentowny,rɛntɔvnɨ
chowaliście,xɔvaliɕt͡ɕɛ
odśnieżalibyśmy,ɔtɕɲɛʐalibɨɕmɨ
rył,rɨw
dedykuje,dɛdɨkujɛ
subordynacja,subɔrdɨnat͡sja
rezerwować,rɛzɛrvɔvat͡ɕ
dotknięty,dɔtkɲɛntɨ
szminek,ʂminɛk
podały,pɔdawɨ
marganie,marɡaɲɛ
zalogowano,zalɔɡɔvanɔ
mjr,majɔr
lepszą,lɛpʂɔw̃
bitną,bitnɔw̃
polityczny,pɔlitɨt͡ʂnɨ
monosylabiczny,mɔnɔsɨlabit͡ʂnɨ
zobaczy,zɔbat͡ʂɨ
walać,valat͡ɕ
audiowizualność,awdjɔvizualnɔɕt͡ɕ
bisować,bisɔvat͡ɕ
dynio,dɨɲɔ
ubijak,ubijak
panew,panɛf
odnowicielka,ɔdnɔvit͡ɕɛlka
zakażających,zakaʐajɔnt͡sɨx
łeb,wɛp
miziać,miʑat͡ɕ
wirować,virɔvat͡ɕ
zabrałaś,zabrawaɕ
europejkach,ɛwrɔpɛjkax
smarowałby,smarɔvawbɨ
kręty,krɛntɨ
liszyć,liʂɨt͡ɕ
demontowałby,dɛmɔntɔvawbɨ
bocon,bɔt͡sɔn
świdrowanie,ɕfidrɔvaɲɛ
bezstylowy,bɛsstɨlɔvɨ
hirosima,xirɔɕima
używało,uʐɨvawɔ
zamordowaliby,zamɔrdɔvalibɨ
śluzowaty,ɕluzɔvatɨ
kurzowy,kuʐɔvɨ
uranić,uraɲit͡ɕ
odżga,ɔd͡ʐɡa
powoływać,pɔvɔwɨvat͡ɕ
umknąć,umknɔɲt͡ɕ
kupon,kupɔn
osm,ɔsm
handlować,xandlɔvat͡ɕ
miażdż,mjaʂt͡ʂ
obfitą,ɔpfitɔw̃
żuł,ʐuw
kształtny,kʂtawtnɨ
niesymetryczny,ɲɛsɨmɛtrɨt͡ʂnɨ
odpalać,ɔtpalat͡ɕ
tchórzliwszego,txuʐlifʂɛɡɔ
bicz,bit͡ʂ
zbliż,zbliʂ
podłapać,pɔdwapat͡ɕ
sprawdzałabyś,spravd͡zawabɨɕ
absolutniejszy,apsɔlutɲɛjʂɨ
funkcjonalizm,fuŋkt͡sjɔnalizm
ziemi,ʑɛmi
atmosferowy,atmɔsfɛrɔvɨ
kombi,kɔmbi
lubelskiego,lubɛlskjɛɡɔ
tryumfu,trɨumfu
kajzerek,kajzɛrɛk
umytą,umɨtɔw̃
ograniczajmy,ɔɡraɲit͡ʂajmɨ
groblę,ɡrɔblɛ
wetnę,vɛtnɛ
tłokom,twɔkɔm
demokrata,dɛmɔkrata
blokoza,blɔkɔza
wypędzałybyście,vɨpɛnd͡zawɨbɨɕt͡ɕɛ
notes,nɔtɛs
mrówkowiec,mrufkɔvjɛt͡s
absorpcyjnego,apsɔrpt͡sɨjnɛɡɔ
sądownictwo,sɔndɔvɲit͡stfɔ
dzwoniec,d͡zvɔɲɛt͡s
addycja,addɨt͡sja
dwutysięcznego,dvutɨɕɛnt͡ʂnɛɡɔ
roznoś,rɔznɔɕ
amfora,amfɔra
wychlapać,vɨxlapat͡ɕ
pytałbyś,pɨtawbɨɕ
ucięły,ut͡ɕɛwɨ
bagietką,baɡjɛtkɔw̃
diaboliczny,djabɔlit͡ʂnɨ
nieodłączny,ɲɛɔdwɔnt͡ʂnɨ
dnach,dnax
legionowo,lɛɡjɔnɔvɔ
łukasiewicz,wukaɕɛvit͡ʂ
przydawkom,pʂɨdafkɔm
skrobnąć,skrɔbnɔɲt͡ɕ
alergologiczny,alɛrɡɔlɔɡit͡ʂnɨ
pewnym,pɛvnɨm
aspołecznie,aspɔwɛt͡ʂɲɛ
rajkiewicz,rajkjɛvit͡ʂ
farad,farat
niereformowalny,ɲɛrɛfɔrmɔvalnɨ
akut,akut
pikanteria,pikantɛrja
przypominały,pʂɨpɔminawɨ
pakunek,pakunɛk
pyton,pɨtɔn
masażyści,masaʐɨɕt͡ɕi
transsyberyjski,transsɨbɛrɨjski
kawalarz,kavalaʂ
dziś,d͡ʑiɕ
perliczkę,pɛrlit͡ʂkɛ
szczerbowicz,ʂt͡ʂɛrbɔvit͡ʂ
wspominałby,fspɔminawbɨ
tulisz,tuliʂ
andyjscy,andɨjst͡sɨ
opowiadaliśmy,ɔpɔvjadaliɕmɨ
płatam,pwatam
mikołajczuk,mikɔwajt͡ʂuk
niepiśmienność,ɲɛpiɕmjɛnnɔɕt͡ɕ
gnatami,ɡnatami
antybiotykowy,antɨbjɔtɨkɔvɨ
lipa,lipa
doszyty,dɔʂɨtɨ
malenda,malɛnda
narew,narɛf
ślizg,ɕlisk
zakrent,zakrɛnt
aeromechanika,aɛrɔmɛxaɲika
kusą,kusɔw̃
zastarzały,zastaʐawɨ
admirał,admiraw
zniknięcie,zɲikɲɛɲt͡ɕɛ
zżółkły,zʐuwkwɨ
obeschniecie,ɔbɛsxɲɛt͡ɕɛ
sonatę,sɔnatɛ
baranią,baraɲɔw̃
esemesowałaś,ɛsɛmɛsɔvawaɕ
zagrzeb,zaɡʐɛp
konkatedra,kɔŋkatɛdra
zastawić,zastavit͡ɕ
gawronię,ɡavrɔɲɛ
mongoł,mɔŋɡɔw
ciemniak,t͡ɕɛmɲak
widocznego,vidɔt͡ʂnɛɡɔ
tenisistę,tɛɲiɕistɛ
zzielenieć,zʑɛlɛɲɛt͡ɕ
kopczyk,kɔpt͡ʂɨk
pułtusk,puwtusk
kipczackie,kipt͡ʂat͡skjɛ
analizowałyśmy,analizɔvawɨɕmɨ
olimpijscy,ɔlimpijst͡sɨ
dogadać,dɔɡadat͡ɕ
rozmawianie,rɔzmɒvjaɲe
fretkom,frɛtkɔm
frędzlowi,frɛnd͡zlɔvi
chcielibyście,xt͡ɕɛlibɨɕt͡ɕɛ
dobras,dɔbras
bobowicz,bɔbɔvit͡ʂ
nienaturalny,ɲɛnaturalnɨ
odpoczywałoby,ɔtpɔt͡ʂɨvawɔbɨ
rozród,rɔzrut
zórz,zuʂ
szamanka,ʂamaŋka
wybojami,vɨbɔjami
przekreślić,pʂɛkrɛɕlit͡ɕ
zatrzymanie,zatʂɨmaɲɛ
zbocze,zbɔt͡ʂɛ
słonić,swɔɲit͡ɕ
upokarzajcie,upɔkaʐajt͡ɕɛ
mszak,mʂak
falujący,falujɔnt͡sɨ
wykopalisko,vɨkɔpaliskɔ
referendach,rɛfɛrɛndax
arni,arɲi
otrzymałaby,ɔtʂɨmawabɨ
wyginąć,vɨɡinɔɲt͡ɕ
iskrze,iskʂɛ
stargany,starɡanɨ
postarzałbyś,pɔstaʐawbɨɕ
mamach,mamax
fuks,fuks
abecadłowy,ɒbjɛt͡sadɫɔvɨ
syte,sɨtɛ
alchemicki,alxɛmit͡ski
pogól,pɔɡul
blachowicz,blaxɔvit͡ʂ
baczenie,bat͡ʂɛɲɛ
paluszka,paluʂka
archiwoznawstwie,arxivɔznafstfjɛ
płaskowiec,pwaskɔvjɛt͡s
studnia,studɲa
uszczknąć,uʂt͡ʂknɔɲt͡ɕ
aerozoluje,aɛrɔzɔlujɛ
kwarc,kfart͡s
bielicowy,bjɛlit͡sɔvɨ
znajoma,znajɔma
sierpnia,ɕɛrpɲa
zwierzchlewski,zvjɛʂxlɛfski
sprofanować,sprɔfanɔvat͡ɕ
brusów,brusuf
kazoń,kazɔɲ
nimfomankom,ɲimfɔmaŋkɔm
kłócący,kwut͡sɔnt͡sɨ
prześwitywać,pʂɛɕfitɨvat͡ɕ
drzystek,dʐɨstɛk
flambirować,flambirɔvat͡ɕ
grożono,ɡrɔʐɔnɔ
michalkiewicz,mixalkjɛvit͡ʂ
odleglejszy,ɔdlɛɡlɛjʂɨ
przystasz,pʂɨstaʂ
owcami,ɔft͡sami
prościutki,prɔɕt͡ɕutki
wartościować,vartɔɕt͡ɕɔvat͡ɕ
winisz,viɲiʂ
r,r
zelota,zɛlɔta
mamie,mamjɛ
chlubię,xlubjɛ
przestrzegało,pʂɛstʂɛɡawɔ
tatar,tatar
żałowano,ʐawɔvanɔ
połownictwo,pɔwɔvɲit͡stfɔ
błaśkiewicz,bwaɕkjɛvit͡ʂ
kuchenek,kuxɛnɛk
osławić,ɔswavit͡ɕ
pilść,pilɕt͡ɕ
chudszy,xutʂɨ
subwencjonować,subvɛnt͡sjɔnɔvat͡ɕ
pobudzić,pɔbud͡ʑit͡ɕ
łoże,wɔʐɛ
odstręczyć,ɔtstrɛnt͡ʂɨt͡ɕ
mogący,mɔɡɔnt͡sɨ
sępiemu,sɛmpjɛmu
praw,praf
olejniczak,ɔlɛjɲit͡ʂak
stanula,stanula
zaabonowane,zaabɔnɔvanɛ
bruzda,bruzda
rozgłośnia,rɔzɡwɔɕɲa
kontem,kɔntɛm
pasażer,pasaʐɛr
śniadą,ɕɲadɔw̃
tereszkiewicz,tɛrɛʂkjɛvit͡ʂ
ocieplać,ɔt͡ɕɛplat͡ɕ
manilowego,maɲilɔvɛɡɔ
wklęsłość,fklɛw̃swɔɕt͡ɕ
nieregularnie,ɲɛrɛɡularɲɛ
fląder,flɔndɛr
pytania,pɨtaɲa
śniadamy,ɕɲadamɨ
pojmuje,pɔjmujɛ
spółgłoskom,spuwɡwɔskɔm
mulczowalibyśmy,mult͡ʂɔvalibɨɕmɨ
wykładowca,vɨkwadɔft͡sa
maszerowałabym,maʂɛrɔvawabɨm
siatkówka,ɕatkufka
pozwany,pɔzvanɨ
bielszczankami,bjɛlʂt͡ʂaŋkami
kłamiesz,kwamjɛʂ
przymurek,pʂɨmurɛk
znikałaś,zɲikawaɕ
spaślak,spaɕlak
kuchenny,kuxɛnnɨ
wytrwała,vɨtrfawa
przebijanie,pʂɛbijaɲɛ
brałem,brawɛm
macedońsku,mat͡sɛdɔɲsku
nazbyt,nazbɨt
miedzom,mjɛd͡zɔm
brzoskiew,bʐɔskjɛf
kapitulować,kapitulɔvat͡ɕ
chorwackie,xɔrvat͡skjɛ
wydzielić,vɨd͡ʑɛlit͡ɕ
baczniejszy,bat͡ʂɲɛjʂɨ
ufałbym,ufawbɨm
amfiktionia,amfiktjɔɲa
podziwiałem,pɔd͡ʑivjawɛm
odrosnąć,ɔdrɔsnɔɲt͡ɕ
niesamowitej,ɲɛsamɔvitɛj
francuzi,frant͡suʑi
awersowy,avɛrsɔvɨ
kierowałabym,kjɛrɔvawabɨm
birbancki,birbant͡ski
sarny,sarnɨ
janka,jaŋka
jednoznacznie,jɛdnɔznat͡ʂɲɛ
pełniejszego,pɛwɲɛjʂɛɡɔ
abiturientów,abiturjɛntuf
baszkirski,baʂkirski
patrzałby,patʂawbɨ
misiukiewicz,miɕukjɛvit͡ʂ
napowietrzałbyś,napɔvjɛtʂawbɨɕ
statolatria,statɔlatrja
nowosad,nɔvɔsat
kurach,kurax
podkupić,pɔtkupit͡ɕ
przeskrobanie,pʂɛskrɔbaɲɛ
zajedź,zajɛt͡ɕ
rychtować,rɨxtɔvat͡ɕ
boguta,bɔɡuta
zwierze,zvjɛʐɛ
kiścią,kiɕt͡ɕɔw̃
swachna,sfaxna
pokazuję,pɔkazujɛ
czerwonawego,t͡ʂɛrvɔnavɛɡɔ
żarówką,ʐarufkɔw̃
utrącać,utrɔnt͡sat͡ɕ
notabene,nɔtabɛnɛ
celebrytka,t͡sɛlɛbrɨtka
most,mɔst
cebulica,t͡sɛbulit͡sa
efektowny,ɛfɛktɔvnɨ
apozycyjny,apɔzɨt͡sɨjnɨ
kalectwo,kalɛt͡stfɔ
kupować,kupɔvat͡ɕ
lite,litɛ
jasiek,jaɕɛk
odkrywał,ɔtkrɨvaw
maszkaron,maʂkarɔn
nazewnictwo,nazɛvɲit͡stfɔ
styczeń,stɨt͡ʂɛɲ
myślało,mɨɕlawɔ
praworęki,pravɔrɛŋki
bosfor,bɔsfɔr
masturbacje,masturbat͡sjɛ
podrobienie,pɔdrɔbjɛɲɛ
zawinić,zaviɲit͡ɕ
baalizm,baalizm
zajebisty,zajɛbistɨ
kandzioch,kand͡ʑɔx
wykonalny,vɨkɔnalnɨ
janur,janur
niedopracowany,ɲɛdɔprat͡sɔvanɨ
baczyli,bat͡ʂɨli
zamordujecie,zamɔrdujɛt͡ɕɛ
licytacją,lit͡sɨtat͡sjɔw̃
nyga,nɨɡa
świerblewski,ɕfjɛrblɛfski
krytykantka,krɨtɨkantka
chyżo,xɨʐɔ
koniunkcji,kɔɲuŋkt͡sji
litewsku,litɛfsku
hurtownik,xurtɔvɲik
przymroczek,pʂɨmrɔt͡ʂɛk
asekuranctwo,asɛkurant͡stfɔ
wybuchałaś,vɨbuxawaɕ
genologia,ɡɛnɔlɔɡja
bessa,bɛssa
romowicz,rɔmɔvit͡ʂ
usiądą,uɕɔndɔw̃
tchnęły,txnɛwɨ
gębalski,ɡɛmbalski
zmartwychwstanie,zmartfɨxfstaɲɛ
nadaremnie,nadarɛmɲɛ
podebrawszy,pɔdɛbrafʂɨ
koronek,kɔrɔnɛk
mniejsze,mɲɛjʂɛ
rędzia,rɛɲd͡ʑa
meksykańscy,mɛksɨkaɲst͡sɨ
niecierpliwego,ɲɛt͡ɕɛrplivɛɡɔ
milewicz,milɛvit͡ʂ
pustułkami,pustuwkami
setnemu,sɛtnɛmu
bzykanko,bzɨkaŋkɔ
pożądałbym,pɔʐɔndawbɨm
opadali,ɔpadali
każdzi,kaʐd͡ʑi
łabendowicz,wabɛndɔvit͡ʂ
oferta,ɔfɛrta
jaszczak,jaʂt͡ʂak
niełupce,ɲɛwupt͡sɛ
tamowicz,tamɔvit͡ʂ
suche,suxɛ
zwijać,zvijat͡ɕ
archiwizowane,arxivizɔvanɛ
przepowiedacz,pʂɛpɔvjɛdɒt͡ʂ
miseczka,misɛt͡ʂka
ozorowski,ɔzɔrɔfski
pewne,pɛvnɛ
gwizdać,ɡvizdat͡ɕ
mogli,mɔɡli
synergia,sɨnɛrɡja
zamawiać,zamɒvjat͡ɕ
arteriografia,artɛrjɔɡrafja
nieciekawie,ɲɛt͡ɕɛkavjɛ
malowała,malɔvawa
antidotach,antidɔtax
podpaską,pɔtpaskɔw̃
refujemy,rɛfujɛmɨ
gdyński,ɡdɨɲski
bistr,bistr
bioekologia,bjɔɛkɔlɔɡja
rednacz,rɛdnat͡ʂ
łatwopalność,watfɔpalnɔɕt͡ɕ
niedowidzenie,ɲɛdɔvid͡zɛɲɛ
całowanie,t͡sawɔvaɲɛ
bladoniebieski,bladɔɲɛbjɛski
karbowiak,karbɔvjak
pukał,pukaw
doskocz,dɔskɔt͡ʂ
studniówkę,studɲufkɛ
chrześcijańskimi,xʂɛɕt͡ɕijaɲskimi
analizowalibyśmy,analizɔvalibɨɕmɨ
boruc,bɔrut͡s
kroczą,krɔt͡ʂɔw̃
królowej,krulɔvɛj
pedicure,pɛdikir
zalogują,zalɔɡujɔw̃
wspominano,fspɔminanɔ
grusze,ɡruʂɛ
konnej,kɔnnɛj
przeprowadzałam,pʂɛprɔvad͡zawam
usuwający,usuvajɔnt͡sɨ
maciaś,mat͡ɕaɕ
czwóreczka,t͡ʂfurɛt͡ʂka
wykreślić,vɨkrɛɕlit͡ɕ
laski,laski
fon,fɔn
papuzim,papuʑim
nockowi,nɔt͡skɔvi
morwowy,mɔrvɔvɨ
zaborem,zabɔrɛm
chłopaczysko,xwɔpat͡ʂɨskɔ
szwiec,ʂfjɛt͡s
jemeńskich,jɛmɛɲskix
portfel,pɔrtfɛl
zadu,zadu
popularnonaukowy,pɔpularnɔnaukɔvɨ
rodzica,rɔd͡ʑit͡sa
polni,pɔlɲi
budowniczy,budɔvɲit͡ʂɨ
latałeś,latawɛɕ
talmud,talmut
czadyjscy,t͡ʂadɨjst͡sɨ
macieląg,mat͡ɕɛlɔŋk
katolickich,katɔlit͡skix
asertoryczny,asɛrtɔrɨt͡ʂnɨ
zastawią,zastavjɔw̃
telebimom,tɛlɛbimɔm
bankrutowałby,baŋkrutɔvawbɨ
atandrysowanie,atandrɨsɔvaɲɛ
bigoreksja,biɡɔrɛksja
oglądałbym,ɔɡlɔndawbɨm
zwiać,zvjat͡ɕ
sójczego,sujt͡ʂɛɡɔ
wszom,fʂɔm
wilka,vilka
smolarz,smɔlaʂ
dwudziestodwuletni,dvud͡ʑɛstɔdvulɛtɲi
wyjątkowy,vɨjɔntkɔvɨ
syfilis,sɨfilis
nasieniotok,naɕɛɲɔtɔk
osadem,ɔsadɛm
sztama,ʂtama
pistacjom,pistat͡sjɔm
zbierałaś,zbjɛrawaɕ
staccato,stakkatɔ
sekretach,sɛkrɛtax
kobyłom,kɔbɨwɔm
pniak,pɲak
macoszka,mat͡sɔʂka
łojek,wɔjɛk
bankom,baŋkɔm
azteckiej,astɛt͡skjɛj
syberyjska,sɨbɛrɨjska
mieniem,mjɛɲɛm
dróg,druk
oporach,ɔpɔrax
najukładniejszy,najukwadɲɛjʂɨ
górnoniemiecki,ɡurnɔɲɛmjɛt͡ski
pukają,pukajɔw̃
bartosz,bartɔʂ
wyśnić,vɨɕɲit͡ɕ
różyc,ruʐɨt͡s
nieboskłon,ɲɛbɔskwɔn
tasior,taɕɔr
kępy,kɛmpɨ
abdykacji,abdɨkat͡sji
południowa,pɔwudɲɔva
przypora,pʂɨpɔra
abcug,apt͡suk
sprężynowiec,sprɛw̃ʐɨnɔvjɛt͡s
opalać,ɔpalat͡ɕ
ogól,ɔɡul
ogramy,ɔɡramɨ
bubała,bubawa
rodzynki,rɔd͡zɨŋki
prawodawca,pravɔdaft͡sa
analizowałybyście,analizɔvawɨbɨɕt͡ɕɛ
oświetlania,ɔɕfjɛtlaɲa
upoić,upɔit͡ɕ
maszerują,maʂɛrujɔw̃
trofeów,trɔfɛuf
modelowy,mɔdɛlɔvɨ
ochoto,ɔxɔtɔ
egzaminowała,ɛɡzaminɔvawa
odmawiać,ɔdmɒvjat͡ɕ
bidul,bidul
preskryptywizm,prɛskrɨptɨvizm
zdanie,zdaɲɛ
białoruskiemu,bjawɔruskjɛmu
administratorkach,admiɲistratɔrkax
biegło,bjɛɡwɔ
północnosłowiańska,puwnɔt͡snɔswɔvjaɲska
douczać,dɔut͡ʂat͡ɕ
zrobimy,zrɔbimɨ
