くろかみ,kɯ̟ᵝɾo̞ka̠mʲi
かねん,ka̠nẽ̞ɴ
さいきぎ,sa̠ikʲiɡʲi
きょくとう,kʲo̞kɯ̟̊ᵝto̞ː
かいじゅう,ka̠iʑɨᵝː
しゃようぞく,ɕa̠jo̞ːzo̞kɯ̟ᵝ
しゅふ,ɕɨᵝɸɯ̟ᵝ
かきあげ,ka̠kʲia̠ɡe̞
しんばしら,ɕĩmba̠ɕiɾa̠
かがいしゃ,ka̠ɡa̠iɕa̠
さっき,sa̠k̚ʲkʲi
いだん,idã̠ɴ
じょうたい,d͡ʑo̞ːta̠i
けれど,ke̞ɾe̞do̞
あびこ,a̠bʲiko̞
こうか,ko̞ːka̠
じょうれい,d͡ʑo̞ːɾe̞ː
しゅらじょう,ɕɨᵝɾa̠ʑo̞ː
ヿ,ko̞to̞
かり,ka̠ɾʲi
ぐんし,ɡɯ̟̃ᵝɰ̃ɕi
さくらそう,sa̠kɯ̟ᵝɾa̠so̞ː
こうき,ko̞ːkʲi
きゅうり,kʲɨᵝːɾʲi
かこつけ,ka̠ko̞t͡sɨ̥ᵝke̞
しゅうきひょう,ɕɨᵝːkʲi̥ço̞ː
うるうどし,ɯ̟ᵝɾɯ̟ᵝːdo̞ɕi
ききなし,kʲikʲina̠ɕi
おぼえ,o̞bo̞e̞
えんせい,ẽ̞ɰ̃se̞ː
じじゅ,d͡ʑiʑɨᵝ
おうふ,o̞ːɸɯ̟ᵝ
おす,o̞sɨᵝ
かいちょう,ka̠it͡ɕo̞ː
しんしん,ɕĩɰ̃ɕĩɴ
おおいぬざ,o̞ːinɯ̟ᵝza̠
きみ,kʲimʲi
きょうじ,kʲo̞ːʑi
しゅてんどうじ,ɕɨᵝtẽ̞ndo̞ːʑi
ねいろ,ne̞iɾo̞
さけび,sa̠ke̞bʲi
おとろえる,o̞to̞ɾo̞e̞ɾɯ̟ᵝ
しんきゅう,ɕĩŋʲkʲɨᵝː
くまつずら,kɯ̟ᵝma̠t͡sɨᵝzɨᵝɾa̠
いしゅ,iɕɨᵝ
しゅっぱつち,ɕɨᵝp̚pa̠t͡sɨᵝt͡ɕi
じんし,d͡ʑĩɰ̃ɕi
ごっこ,ɡo̞k̚ko̞
こうちくぶつ,ko̞ːt͡ɕi̥kɯ̟ᵝbɯ̟ᵝt͡sɨᵝ
おんなでんか,õ̞nːa̠dẽ̞ŋka̠
しせき,ɕise̞kʲi
きょうぎ,kʲo̞ːɡʲi
かばね,ka̠ba̠ne̞
おね,o̞.ne̞
かわせ,ka̠ɰᵝa̠se̞
あししげく,a̠ɕiɕiɡe̞kɯ̟ᵝ
えつ,e̞t͡sɨᵝ
しょう,ɕo̞ː
かいえん,ka̠iẽ̞ɴ
かんせい,kã̠ɰ̃se̞ː
き,kʲi
ざん,d͡zã̠ɴ
しょうめつ,ɕo̞ːme̞t͡sɨᵝ
じょうら,d͡ʑo̞ːɾa̠
じすい,d͡ʑisɨᵝi
かろんずる,ka̠ɾõ̞nd͡zɨᵝɾɯ̟ᵝ
しゅぞく,ɕɨᵝzo̞kɯ̟ᵝ
いとてき,ito̞te̞kʲi
かいぞく,ka̠izo̞kɯ̟ᵝ
うんてん,ɯ̟̃ᵝntẽ̞ɴ
か,ka̠
きんぶん,kʲĩmbɯ̟̃ᵝɴ
きんちょう,kʲĩɲ̟t͡ɕo̞ː
あみだくじ,a̠mʲida̠kɯ̟ᵝʑi
さかずき,sa̠ka̠zɨᵝkʲi
ざいけ,d͡za̠ike̞
けったく,ke̞t̚ta̠kɯ̟ᵝ
あります,a̠ɾʲima̠sɨ̥ᵝ
じょうか,d͡ʑo̞ːka̠
しゅうふく,ɕɨᵝːɸɯ̟ᵝkɯ̟ᵝ
しょくご,ɕo̞kɯ̟ᵝɡo̞
しょくしょう,ɕo̞kɯ̟ᵝɕo̞ː
うね,ɯ̟ᵝne̞
こみいる,ko̞mʲiːɾɯ̟ᵝ
えんろ,ẽ̞nɾo̞
してんのう,ɕitẽ̞nːo̞ː
いろづく,iɾo̞zɨᵝkɯ̟ᵝ
しっちょう,ɕit̚t͡ɕo̞ː
きんかぎょくじょう,kʲĩŋka̠ɡʲo̞kɯ̟ᵝʑo̞ː
きたこれ,kʲita̠ko̞ɾe̞
きがく,kʲiɡa̠kɯ̟ᵝ
さんきょくかん,sã̠ŋʲkʲo̞kɯ̟̊ᵝkã̠ɴ
おちこぼれる,o̞t͡ɕi̥ko̞bo̞ɾe̞ɾɯ̟ᵝ
きくか,kʲikɯ̟ᵝka̠
いちぜん,it͡ɕizẽ̞ɴ
けいすい,ke̞ːsɨᵝi
じんいん,d͡ʑĩɰ̃ĩɴ
かんたんのため,kã̠ntã̠nːo̞ta̠me̞
かんらく,kã̠nɾa̠kɯ̟ᵝ
ごちゃ,ɡo̞t͡ɕa̠
しゅうねん,ɕɨᵝːnẽ̞ɴ
おうとうき,o̞ːto̞ːkʲi
じゃきがん,d͡ʑa̠kʲiɡã̠ɴ
かいしょう,ka̠iɕo̞ː
しっしん,ɕi̥ɕːĩɴ
げんぞう,ɡẽ̞nd͡zo̞ː
きんぱく,kʲĩmpa̠kɯ̟ᵝ
し,ɕi
こたい,ko̞ta̠i
さいしん,sa̠iɕĩɴ
いか,ika̠
こうか,ko̞ːka̠
あぶらつのざめ,a̠bɯ̟ᵝɾa̠t͡sɨᵝno̞za̠me̞
くきちゃ,kɯ̟ᵝkʲit͡ɕa̠
しろねずみ,ɕiɾo̞ne̞zɨᵝmʲi
うける,ɯ̟ᵝke̞ɾɯ̟ᵝ
かっちょいい,ka̠t̚t͡ɕo̞iː
いんご,ĩŋɡo̞
いむ,imɯ̟ᵝ
げんばん,ɡẽ̞mbã̠ɴ
じょうたつ,d͡ʑo̞ːta̠t͡sɨᵝ
あおもの,a̠o̞mo̞no̞
かっぱらう,ka̠p̚pa̠ɾa̠ɯ̟ᵝ
かくせいざい,ka̠kɯ̟ᵝse̞ːza̠i
かがりびそう,ka̠ɡa̠ɾʲibʲiso̞ː
けずる,ke̞zɨᵝɾɯ̟ᵝ
あさましい,a̠sa̠ma̠ɕii
さいひんち,sa̠içĩɲ̟t͡ɕi
ガ,ɡa̠
きんだい,kʲĩnda̠i
しんせい,ɕĩɰ̃se̞ː
あふれる,a̠ɸɯ̟ᵝɾe̞ɾɯ̟ᵝ
おやごろし,o̞ja̠ɡo̞ɾo̞ɕi
ぎょうてん,ɡʲo̞ːtẽ̞ɴ
いたんしゃ,itã̠ɰ̃ɕa̠
しれる,ɕiɾe̞ɾɯ̟ᵝ
ごほう,ɡo̞ho̞ː
えっへん,e̞hːẽ̞ɴ
けんきゅうじょ,kẽ̞ŋʲkʲɨᵝːʑo̞
かいち,ka̠it͡ɕi
きょうとう,kʲo̞ːto̞ː
くじょう,kɯ̟ᵝʑo̞ː
けむ,ke̞mɯ̟ᵝ
こうこく,ko̞ːko̞kɯ̟ᵝ
いくつ,ikɯ̟ᵝt͡sɨᵝ
あそ,a̠so̞
ことがら,ko̞to̞ɡa̠ɾa̠
ささおか,sa̠sa̠o̞ka̠
きおく,kʲio̞kɯ̟ᵝ
しおや,ɕio̞ja̠
おんなずき,õ̞nːa̠zɨᵝkʲi
うれる,ɯ̟ᵝɾe̞ɾɯ̟ᵝ
がんこう,ɡã̠ŋko̞ː
しまだ,ɕima̠da̠
しょうしき,ɕo̞ːɕikʲi
くり,kɯ̟ᵝɾʲi
おへや,o̞he̞ja̠
けいほうてん,ke̞ːho̞ːtẽ̞ɴ
かけひき,ka̠ke̞çikʲi
くるくる,kɯ̟ᵝɾɯ̟ᵝkɯ̟ᵝɾɯ̟ᵝ
かみ,ka̠mʲi
えびす,e̞bʲisɨᵝ
かいせん,ka̠isẽ̞ɴ
しょうちん,ɕo̞ːt͡ɕĩɴ
いつだつ,it͡sɨᵝda̠t͡sɨᵝ
あねうえ,a̠ne̞ɯ̟ᵝe̞
しまかげ,ɕima̠ka̠ɡe̞
しょうし,ɕo̞ːɕi
つま,t͡sɨᵝma̠
いろこい,iɾo̞ko̞i
おんせい,õ̞ɰ̃se̞ː
しょきゅう,ɕo̞kʲɨᵝː
うけあう,ɯ̟ᵝke̞a̠ɯ̟ᵝ
きげんぜん,kʲiɡẽ̞nd͡zẽ̞ɴ
きむすこ,kʲimɯ̟ᵝsɨᵝko̞
こうはつしゃ,ko̞ːha̠t͡sɨᵝɕa̠
いき,ikʲi
ごろあわせ,ɡo̞ɾo̞a̠ɰᵝa̠se̞
じびかい,d͡ʑibʲika̠i
かみふぶき,ka̠mʲiɸɯ̟ᵝbɯ̟ᵝkʲi
こむそう,ko̞mɯ̟ᵝso̞ː
がくと,ɡa̠kɯ̟ᵝto̞
あおい,a̠o̞i
いながら,ina̠ɡa̠ɾa̠
こっかあんぜんほしょうかいぎ,ko̞k̚ka̠
じゃじゃーん,d͡ʑa̠ʑã̠ːɴ
げんや,ɡẽ̞ɰ̃ja̠
えんぎ,ẽ̞ŋʲɡʲi
こんだて,kõ̞nda̠te̞
けいこう,ke̞ːko̞ː
うとうと,ɯ̟ᵝto̞ːto̞
ぎがく,ɡʲiɡa̠kɯ̟ᵝ
おくる,o̞kɯ̟ᵝɾɯ̟ᵝ
いちく,it͡ɕikɯ̟ᵝ
うみとかげ,ɯ̟ᵝmʲito̞ka̠ɡe̞
あかん,a̠kã̠ɴ
おにごと,o̞ɲ̟iɡo̞to̞
くるしい,kɯ̟ᵝɾɯ̟ᵝɕii
さきまわり,sa̠kʲima̠ɰᵝa̠ɾʲi
うきうき,ɯ̟ᵝkʲiɯ̟ᵝkʲi
さかさま,sa̠ka̠sa̠ma̠
きりしま,kʲiɾʲiɕima̠
げんふうけい,ɡẽ̞ɰ̃ɸɯ̟ᵝːke̞ː
じいしき,d͡ʑiːɕikʲi
かちかん,ka̠t͡ɕikã̠ɴ
しょうき,ɕo̞ːkʲi
くろみつ,kɯ̟ᵝɾo̞mʲit͡sɨᵝ
おうとう,o̞ːto̞ː
じみん,d͡ʑimʲĩɴ
けいせん,ke̞ːsẽ̞ɴ
おおこけ,o̞ːko̞ke̞
しゃりょう,ɕa̠ɾʲo̞ː
こうぶん,ko̞ːbɯ̟̃ᵝɴ
おそれいる,o̞so̞ɾe̞iɾɯ̟ᵝ
じょうたいか,d͡ʑo̞ːta̠ika̠
かいぎょう,ka̠iɡʲo̞ː
けいやくしょ,ke̞ːja̠kɯ̟ᵝɕo̞
いかくてき,ika̠kɯ̟ᵝte̞kʲi
あおな,a̠o̞na̠
かぶさる,ka̠bɯ̟ᵝsa̠ɾɯ̟ᵝ
きょうじん,kʲo̞ːʑĩɴ
こてんてき,ko̞tẽ̞nte̞kʲi
きょうしきょく,kʲo̞ːɕikʲo̞kɯ̟ᵝ
かんらく,kã̠nɾa̠kɯ̟ᵝ
かぶ,ka̠bɯ̟ᵝ
がんも,ɡã̠mːo̞
に,ɲ̟i
しんきば,ɕĩŋʲkʲiba̠
しんえい,ɕĩɰ̃e̞ː
うたげ,ɯ̟ᵝta̠ɡe̞
くりひろげる,kɯ̟ᵝɾʲiçiɾo̞ɡe̞ɾɯ̟ᵝ
さえわたる,sa̠e̞ɰᵝa̠ta̠ɾɯ̟ᵝ
がいきけん,ɡa̠ikʲikẽ̞ɴ
ざんきん,d͡zã̠ŋʲkʲĩɴ
くさわけ,kɯ̟ᵝsa̠ɰᵝa̠ke̞
けしょうしつ,ke̞ɕo̞ːɕi̥t͡sɨᵝ
きりかえ,kʲiɾʲika̠e̞
こうしゃ,ko̞ːɕa̠
きりがやつ,kʲiɾʲiɡa̠ja̠t͡sɨᵝ
けちょんけちょん,ke̞t͡ɕõ̞ŋke̞t͡ɕõ̞ɴ
かじ,ka̠ʑi
あまり,a̠ma̠ɾʲi
ぐしゃ,ɡɯ̟ᵝɕa̠
しっきん,ɕi̥k̚ʲkʲĩɴ
おふる,o̞ɸɯ̟ᵝɾɯ̟ᵝ
じょそう,d͡ʑo̞so̞ː
かきゅうせい,ka̠kʲɨᵝːse̞ː
じゅんばん,d͡ʑɨ̃ᵝmbã̠ɴ
おそう,o̞so̞ɯ̟ᵝ
いくぶん,ikɯ̟ᵝbɯ̟̃ᵝɴ
うつぼ,ɯ̟ᵝt͡sɨᵝbo̞
しょよう,ɕo̞jo̞ː
しょうぎょう,ɕo̞ːɡʲo̞ː
くるみわり,kɯ̟ᵝɾɯ̟ᵝmʲiɰᵝa̠ɾʲi
いちもんふち,it͡ɕimõ̞ɰ̃ɸɯ̟ᵝt͡ɕi
が,ɡa̠
おまえ,o̞ma̠e̞
こんじゃく,kõ̞ɲ̟d͡ʑa̠kɯ̟ᵝ
しまいこむ,ɕima̠iko̞mɯ̟ᵝ
ごりやく,ɡo̞ɾʲija̠kɯ̟ᵝ
い,i
じつげん,d͡ʑit͡sɨᵝɡẽ̞ɴ
おんながお,õ̞nːa̠ɡa̠o̞
こうそ,ko̞ːso̞
した,ɕi̥ta̠
しぜんてき,ɕizẽ̞nte̞kʲi
さいてきかい,sa̠ite̞kʲika̠i
しば,ɕiba̠
ぎんが,ɡʲĩŋɡa̠
こもる,ko̞mo̞ɾɯ̟ᵝ
こんごうきょう,kõ̞ŋɡo̞ːkʲo̞ː
いんけいこつ,ĩŋke̞ːko̞t͡sɨᵝ
せき,se̞kʲi
こたつ,ko̞ta̠t͡sɨᵝ
しんたん,ɕĩntã̠ɴ
かわるがわる,ka̠ɰᵝa̠ɾɯ̟ᵝɡa̠ɰᵝa̠ɾɯ̟ᵝ
じゃく,d͡ʑa̠kɯ̟ᵝ
こむぎこ,ko̞mɯ̟ᵝɡʲiko̞
うべなう,ɯ̟ᵝbe̞na̠ɯ̟ᵝ
さくらぎ,sa̠kɯ̟ᵝɾa̠ɡʲi
おうじん,o̞ːʑĩɴ
しゅら,ɕɨᵝɾa̠
がはく,ɡa̠ha̠kɯ̟ᵝ
あいつう,a̠it͡sɨᵝː
おっかない,o̞k̚ka̠na̠i
しつないきょうぎ,ɕit͡sɨᵝna̠ikʲo̞ːɡʲi
きくか,kʲikɯ̟ᵝka̠
こちょくる,ko̞t͡ɕo̞kɯ̟ᵝɾɯ̟ᵝ
あやしい,a̠ja̠ɕiː
うめ,ɯ̟ᵝme̞
おい,o̞i
きこく,kʲiko̞kɯ̟ᵝ
しっそうしゃ,ɕisːo̞ːɕa̠
しみん,ɕimʲĩɴ
いりむこ,iɾʲimɯ̟ᵝko̞
こっきょう,ko̞k̚ʲkʲo̞ː
あっせい,a̠sːe̞ː
かきピー,ka̠kʲipʲiː
えんぎしゃ,ẽ̞ŋʲɡʲiɕa̠
かいそう,ka̠iso̞ː
かいせん,ka̠isẽ̞ɴ
ぎめい,ɡʲime̞ː
うやまう,ɯ̟ᵝja̠ma̠ɯ̟ᵝ
じふ,d͡ʑiɸɯ̟ᵝ
しっか,ɕi̥k̚ka̠
かいし,ka̠iɕi
かえりうち,ka̠e̞ɾʲiɯ̟ᵝt͡ɕi
さみ,sa̠mʲi
さいかん,sa̠ikã̠ɴ
いんいつ,ĩɰ̃it͡sɨᵝ
えんちょく,ẽ̞ɲ̟t͡ɕo̞kɯ̟ᵝ
うえ,ɯ̟ᵝe̞
しんせいかつ,ɕĩɰ̃se̞ːka̠t͡sɨᵝ
おもしろおかしい,o̞mo̞ɕiɾo̞o̞ka̠ɕiː
こうはつ,ko̞ːha̠t͡sɨᵝ
じだらく,d͡ʑida̠ɾa̠kɯ̟ᵝ
えんぴつけずり,ẽ̞mpʲi̥t͡sɨᵝke̞zɨᵝɾʲi
てつびし,te̞t͡sɨᵝbʲiɕi
がいせつ,ɡa̠ise̞t͡sɨᵝ
しゅよう,ɕɨᵝjo̞ː
こうせつ,ko̞ːse̞t͡sɨᵝ
こうてつ,ko̞ːte̞t͡sɨᵝ
どくろ,do̞kɯ̟ᵝɾo̞
けいむしょ,ke̞ːmɯ̟ᵝɕo̞
がいらい,ɡa̠iɾa̠i
こう,ko̞ː
うまみ,ɯ̟ᵝma̠mʲi
かんでん,kã̠ndẽ̞ɴ
ざりがに,d͡za̠ɾʲiɡa̠ɲ̟i
かんおう,kã̠ɰ̃o̞ː
きょうだ,kʲo̞ːda̠
しょうせつか,ɕo̞ːse̞t͡sɨᵝka̠
あんま,ã̠mːa̠
おしごと,o̞ɕiɡo̞to̞
じゅうぞく,d͡ʑɨᵝːzo̞kɯ̟ᵝ
しあげる,ɕia̠ɡe̞ɾɯ̟ᵝ
きんせつ,kʲĩɰ̃se̞t͡sɨᵝ
きょうまちや,kʲo̞ːma̠t͡ɕija̠
ざっと,d͡za̠t̚to̞
ぎょうこう,ɡʲo̞ːko̞ː
しょうすけ,ɕo̞ːsɨᵝke̞
くさい,kɯ̟̊ᵝsa̠i
おとさた,o̞to̞sa̠ta̠
じょうはつ,d͡ʑo̞ːha̠t͡sɨᵝ
ざんてい,d͡zã̠nte̞ː
いせいしゃ,ise̞ːɕa̠
いっぽんじめ,ip̚põ̞ɲ̟d͡ʑime̞
きにゅう,kʲiɲ̟ɯ̟ᵝː
しくら,ɕikɯ̟ᵝɾa̠
こう,ko̞ɯ̟ᵝ
いしりょく,iɕiɾʲo̞kɯ̟ᵝ
からすとんび,ka̠ɾa̠sɨ̥ᵝtõ̞mbʲi
こせき,ko̞se̞kʲi
かいちょうふん,ka̠it͡ɕo̞ːɸɯ̟̃ᵝɴ
しんかん,ɕĩŋkã̠ɴ
ぎょるいがくてき,ɡʲo̞ɾɯ̟ᵝiɡa̠kɯ̟ᵝte̞kʲi
かいろう,ka̠iɾo̞ː
じょうげてん,dʑoːɡeteɴ
あたまきん,a̠ta̠ma̠kʲĩɴ
がいそう,ɡa̠iso̞ː
しんしゅつ,ɕĩɰ̃ɕɨ̥ᵝt͡sɨᵝ
きちょう,kʲit͡ɕo̞ː
し,ɕi
いいなずけ,iːna̠zɨᵝke̞
そとがわ,so̞to̞ɡa̠ɰᵝa̠
かいこうもんじ,ka̠iko̞ːmõ̞ɲ̟d͡ʑi
おしゃべり,o̞ɕa̠be̞ɾʲi
じんたい,d͡ʑĩnta̠i
おやもと,o̞ja̠mo̞to̞
さいぜんれつ,sa̠izẽ̞nɾe̞t͡sɨᵝ
じすべり,d͡ʑisɨᵝbe̞ɾʲi
きゅうじ,kʲɨᵝːʑi
けんしん,kẽ̞ɰ̃ɕĩɴ
じんだい,d͡ʑĩnda̠i
か,ka̠
ひめ,çime̞
げんき,ɡẽ̞ŋʲkʲi
おうむ,o̞ːmɯ̟ᵝ
こなまいき,ko̞na̠ma̠ikʲi
じしょうこつ,d͡ʑiɕo̞ːko̞t͡sɨᵝ
がいご,ɡa̠iɡo̞
こうじ,ko̞ːʑi
しせいどう,ɕise̞ːdo̞ː
してき,ɕite̞kʲi
かもがわ,ka̠mo̞ŋa̠ɰᵝa̠
かずみ,ka̠zɨᵝmʲi
あく,a̠kɯ̟ᵝ
おまいつ,o̞ma̠it͡sɨᵝ
さいちょう,sa̠it͡ɕo̞ː
けいこうひょうじかん,ke̞ːko̞ːço̞ːʑikã̠ɴ
おうと,o̞ːto̞
うりあげ,ɯ̟ᵝɾʲia̠ɡe̞
げんぽう,ɡẽ̞mpo̞ː
いんばい,ĩmba̠i
かしゃ,ka̠ɕa̠
しめる,ɕime̞ɾɯ̟ᵝ
さんしん,sã̠ɰ̃ɕĩɴ
しせい,ɕise̞ː
しんじん,ɕĩɲ̟d͡ʑĩɴ
けんめい,kẽ̞mːe̞ː
かいじょう,ka̠iʑo̞ː
こしんとう,ko̞ɕĩnto̞ː
かしょう,ka̠ɕo̞ː
あんき,ã̠ŋʲkʲi
き,kʲi
いちじく,it͡ɕiʑikɯ̟ᵝ
あおる,a̠o̞ɾɯ̟ᵝ
グァ,ɡɰᵝa̠
えん,ẽ̞ɴ
しんじだい,ɕĩɲ̟d͡ʑida̠i
いき,ikʲi
かんご,kã̠ŋɡo̞
さらのき,ɕa̠ɾa̠no̞kʲi
あさはか,a̠sa̠ha̠ka̠
じんこうげんご,d͡ʑĩŋko̞ːɡẽ̞ŋɡo̞
きんけい,kʲĩŋke̞ː
いのぶた,ino̞bɯ̟ᵝta̠
ゆう,jɯ̟ᵝː
こぐ,ko̞ɡɯ̟ᵝ
きょぎ,kʲo̞ɡʲi
こうさい,ko̞ːsa̠i
あまつばめ,a̠ma̠t͡sɨᵝba̠me̞
くしさば,kɯ̟ᵝɕisa̠ba̠
じゃあく,d͡ʑa̠a̠kɯ̟ᵝ
おから,o̞ka̠ɾa̠
しんさい,ɕĩɰ̃sa̠i
おうじ,o̞ːʑi
さぎょう,sa̠ɡʲo̞ː
いんたい,ĩnta̠i
こうに,ko̞ːɲ̟i
ぐうじ,ɡɯ̟ᵝːʑi
かしだし,ka̠ɕida̠ɕi
いちじゅん,it͡ɕiʑɨ̃ᵝɴ
けんこう,kẽ̞ŋko̞ː
がっこう,ɡa̠k̚ko̞ː
おさなづま,o̞sa̠na̠zɨᵝma̠
しろたえ,ɕiɾo̞ta̠e̞
さいへん,sa̠ihẽ̞ɴ
が,ɡa̠
さそりざ,sa̠so̞ɾʲiza̠
こうこう,ko̞ːko̞ː
しんちょう,ɕĩɲ̟t͡ɕo̞ː
ぎょぐん,ɡʲo̞ɡɯ̟̃ᵝɴ
おいうち,o̞iɯ̟ᵝt͡ɕi
いくら,ikɯ̟ᵝɾa̠
かりめんきょ,ka̠ɾʲimẽ̞ŋʲkʲo̞
おなが,o̞na̠ɡa̠
げんかい,ɡẽ̞ŋka̠i
しょうそうかん,ɕo̞ːso̞ːkã̠ɴ
しこつ,ɕi̥ko̞t͡sɨᵝ
げいこ,ɡe̞ːko̞
えいきゅうとうど,e̞ːkʲɨᵝːto̞ːdo̞
かい,ka̠i
ごうごう,ɡo̞ːɡo̞ː
かたく,ka̠ta̠kɯ̟ᵝ
あじむ,a̠ʑimɯ̟ᵝ
さんこうち,sã̠ŋko̞ːt͡ɕi
かたらう,ka̠ta̠ɾa̠ɯ̟ᵝ
うらびょうし,ɯ̟ᵝɾa̠bʲo̞ːɕi
恣,ɕi
かん,kã̠ɴ
しょうひん,ɕo̞ːçĩɴ
さた,sa̠ta̠
あんいつ,ã̠ɰ̃it͡sɨᵝ
きょうえん,kʲo̞ːẽ̞ɴ
こうじゃく,ko̞ːʑa̠kɯ̟ᵝ
じょうしゃ,d͡ʑo̞ːɕa̠
がいじつ,ɡa̠iʑit͡sɨᵝ
さんば,sã̠mba̠
おじけづく,o̞ʑike̞zɨᵝkɯ̟ᵝ
じょしかい,d͡ʑo̞ɕika̠i
さんこう,sã̠ŋko̞ː
さいなん,sa̠inã̠ɴ
えんむしつ,ẽ̞mːɯ̟ᵝɕit͡sɨᵝ
いみきらう,imʲikʲiɾa̠ɯ̟ᵝ
きんせい,kʲĩɰ̃se̞ː
じょうちょう,d͡ʑo̞ːt͡ɕo̞ː
えんかんこう,ẽ̞ŋkã̠ŋko̞ː
きょろきょろ,kʲo̞ɾo̞kʲo̞ɾo̞
くじゃくざ,kɯ̟ᵝʑa̠kɯ̟ᵝza̠
うでたてふせ,ɯ̟ᵝde̞ta̠te̞ɸɯ̟̊ᵝse̞
しょうほう,ɕo̞ːho̞ː
しんせいだい,ɕĩɰ̃se̞ːda̠i
あいさい,a̠isa̠i
やみよ,ja̠mʲijo̞
おかじょうき,o̞ka̠ʑo̞ːkʲi
がくりょく,ɡa̠kɯ̟ᵝɾʲo̞kɯ̟ᵝ
じゆうしゅぎ,d͡ʑijɯ̟ᵝːɕɨᵝɡʲi
えん,ẽ̞ɴ
うわき,ɯ̟ᵝɰᵝa̠kʲi
ざらめ,d͡za̠ɾa̠me̞
こじま,ko̞ʑima̠
しょうは,ɕo̞ːha̠
かくせいじゅつ,ka̠kɯ̟ᵝse̞ːʑɨᵝt͡sɨᵝ
さだめない,sa̠da̠me̞na̠i
きゅうはん,kʲɨᵝːhã̠ɴ
おでこ,o̞de̞ko̞
いえ,ie̞
かんじょう,kã̠ɲ̟d͡ʑo̞ː
さくら,sa̠kɯ̟ᵝɾa̠
こばな,ko̞ba̠na̠
こんぬづわ,kõ̞nːɯ̟ᵝzɨᵝɰᵝa̠
おんせんたまご,õ̞ɰ̃sẽ̞nta̠ma̠ɡo̞
かんさかん,kã̠ɰ̃sa̠kã̠ɴ
ききかんり,kʲikʲikã̠nɾʲi
おもいうかぶ,o̞mo̞iɯ̟ᵝka̠bɯ̟ᵝ
こうぶん,ko̞ːbɯ̟̃ᵝɴ
えりしょう,e̞ɾʲiɕo̞ː
いじ,iʑi
かきゅう,ka̠kʲɨᵝː
ざんがく,d͡zã̠ŋɡa̠kɯ̟ᵝ
あくば,a̠kɯ̟ᵝba̠
こさけ,ko̞sa̠ke̞
ぐんみん,ɡɯ̟̃ᵝmʲːĩɴ
しい,ɕii
かきん,ka̠kʲĩɴ
しんがん,ɕĩŋɡã̠ɴ
さがみわん,sa̠ɡa̠mʲiɰᵝã̠ɴ
かんわ,kã̠ɰ̃ɰᵝa̠
せつ,se̞t͡sɨᵝ
げきあい,ɡe̞kʲia̠i
しょうわ,ɕo̞ːɰᵝa̠
じかく,d͡ʑika̠kɯ̟ᵝ
おし,o̞ɕi
ぎじゅつてき,ɡʲiʑɨᵝt͡sɨ̥ᵝte̞kʲi
じゅうはち,d͡ʑɨᵝːha̠t͡ɕi
かぜぐすり,ka̠ze̞ɡɯ̟ᵝsɨᵝɾʲi
きんじょ,kʲĩɲ̟d͡ʑo̞
しゅんいつ,ɕɨ̃ᵝɰ̃it͡sɨᵝ
こうよう,ko̞ːjo̞ː
きへん,kʲihẽ̞ɴ
しょいん,ɕo̞ĩɴ
しょうでん,ɕo̞ːdẽ̞ɴ
かいきゃく,ka̠ikʲa̠kɯ̟ᵝ
うさん,ɯ̟ᵝsã̠ɴ
いがく,iɡa̠kɯ̟ᵝ
かんどく,kã̠ndo̞kɯ̟ᵝ
じゅうし,d͡ʑɨᵝːɕi
がわ,ɡa̠ɰᵝa̠
えんこう,ẽ̞ŋko̞ː
しゃばく,ɕa̠ba̠kɯ̟ᵝ
けいたいろん,ke̞ːta̠iɾõ̞ɴ
ぎんこう,ɡʲĩŋko̞ː
きじん,kʲiʑĩɴ
こしょう,ko̞ɕo̞ː
ささやく,sa̠sa̠ja̠kɯ̟ᵝ
くにこ,kɯ̟ᵝɲ̟iko̞
くちゅう,kɯ̟ᵝt͡ɕɨᵝː
こけつ,ko̞ke̞t͡sɨᵝ
えんすい,ẽ̞ɰ̃sɨᵝi
けんちょうしゃ,kẽ̞ɲ̟t͡ɕo̞ːɕa̠
かじば,ka̠ʑiba̠
ごえふ,ɡo̞e̞ɸɯ̟ᵝ
おきゃくさん,o̞kʲa̠kɯ̟̊ᵝsã̠ɴ
か,ka̠
しょくぶつがく,ɕo̞kɯ̟ᵝbɯ̟ᵝt͡sɨᵝɡa̠kɯ̟ᵝ
かんばい,kã̠mba̠i
くわえる,kɯ̟ᵝɰᵝa̠e̞ɾɯ̟ᵝ
ざいし,d͡za̠iɕi
おいさらばえる,o̞isa̠ɾa̠ba̠e̞ɾɯ̟ᵝ
かっせん,ka̠sːẽ̞ɴ
かんさ,kã̠ɰ̃sa̠
こつう,ko̞t͡sɨᵝː
けいおう,ke̞ːo̞ː
あのよゆき,a̠no̞jo̞jɯ̟ᵝkʲi
ありゅうさん,a̠ɾʲɨᵝːsã̠ɴ
あつ,a̠t͡sɨᵝ
いしわた,iɕiɰᵝa̠ta̠
くきょう,kɯ̟ᵝkʲo̞ː
きょりゅうち,kʲo̞ɾʲɨᵝːt͡ɕi
きらい,kʲiɾa̠i
きぎょう,kʲiɡʲo̞ː
じゅきょう,d͡ʑɨᵝkʲo̞ː
じょじ,d͡ʑo̞ʑi
きょじゅう,kʲo̞ʑɨᵝː
し,ɕi
