wirkmächtig,vɪʁkmɛçtɪç
kohl,koːl
kutte,kʊtə
helvetismus,hɛlvetɪsmʊs
dreissigeck,dʁaɪ̯sɪçɛk
schwäher,ʃveːɐ
resigniert,reziɡniːrt
absendet,apzɛndət
verpeilen,fɛɐ̯paɪlən
weinfröhlich,vaɪ̯nfʁøːlɪç
überreichen,yːbɐʁaɪ̯çən
klimaschädlich,kliːmaʃɛːtlɪç
zaghaft,t͡saːkhaft
sprachlaut,ʃpʁaːxlaʊ̯t
mystiker,myːstɪkɐ
maulbeere,maʊ̯lbeːʁə
trias,tʁiːas
puschen,pʊʃən
fahnenstangen,faːnənʃtaŋən
saunen,zaʊ̯nən
wünschelrute,vʏnʃəlʁuːtə
geburtstagskind,ɡəbuːɐ̯t͡staːkskɪnt
werbeblocker,vɛʁbəblɔkɐ
kamelle,kamɛlə
genial,ɡeni̯aːl
überhöhen,yːbɐhøːən
krämer,kʁɛːmɐ
helgoland,hɛlɡolant
drehtür,dʁeːtyːɐ̯
raum,ʁaʊ̯m
insiderwitz,ɪnzaɪ̯dɐvɪt͡s
düsseldorf,dʏsəldɔrf
rundfunkberichterstattern,ʁʊntfʊŋkbəʁɪçtʔɛɐ̯ʃtatɐn
gänsekükens,ɡɛnzəkyːkŋ̩s
kriegsversehrter,kʁiːksfɛɐ̯zeːɐ̯tɐ
vierundfünfzigmal,fɪɐ̯ʊntfʏnft͡sɪçmaːl
baseballerin,bɛɪ̯sbɔːlərɪn
zurück,t͡suʁʏk
jürgen,jʏrɡən
unding,ʊndɪŋ
vogerlsalat,foːɡɐlzalaːt
haustür,haʊ̯styːɐ̯
lauten,laʊ̯tən
balsamieren,balzamiːʁən
tätervolk,tɛːtɐfɔlk
widerlich,viːdɐlɪç
hinzuzufügen,hɪnt͡suːt͡suːfyːɡn̩
libellenflügels,libɛlənflyːɡl̩s
achtundvierzigtägig,axtʊntfɪɐ̯tsɪktɛːɡɪk
judas,juːdas
verzinnen,fɛɐt͡sɪnən
havarie,havariː
achtundzwanzigste,axtʊntt͡svant͡sɪçstə
markomanne,maʁkomanə
seeigel,zeːʔiːɡl̩
schnürsenkel,ʃnyːɐ̯zɛŋkl̩
stpo,ɛstepeʔoː
erden,eːɐ̯dn
reis,ʁɛɪ̯s
fischtreppe,fɪʃtʁɛpə
spiessrute,ʃpiːsʁuːtə
orientalisch,oʁi̯ɛntaːlɪʃ
abends,aːbənts
schwächlich,ʃvɛçlɪç
käselädchen,kɛːzəlɛːtçən
westdeutsche,vɛstdɔɪ̯tʃə
verschwimmen,fɛɐ̯ʃvɪmən
galle,ɡalə
anführungszeichen,anfyːʁʊŋst͡saɪ̯çn̩
stockente,ʃtɔkʔɛntə
österreicher,øːstəʁaɪçɐ
schaukeln,ʃaʊ̯kəln
armgelenk,aʁmɡəlɛŋk
verköstigung,fɛɐ̯kœstɪɡʊŋ
reumütig,ʁɔɪ̯myːtɪç
februar,feːbruaːr
verstauend,fɛɐ̯ʃtaʊ̯ənt
polonismus,polonɪsmʊs
termingerecht,tɛʁmiːnɡəʁɛçt
pisa,piːza
einzelhändlerinnen,aɪ̯nt͡səlhɛndləʁɪnən
langsamem,laŋzaːməm
planmässig,plaːnmɛːsɪç
jacht,jaxt
bargen,baʁɡŋ̩
wäsche,vɛʃə
abtippen,aptɪpən
monaco,monako
ersticken,ɛʁʃtɪkən
mein,maɪ̯n
verstattend,fərʃtatənt
pavillon,pavɪljɔŋ
stegreif,ʃteːkʁaɪ̯f
breit,bʁaɪ̯t
pracht,pʁaχt
aderlass,aːdɐlas
taften,taftn̩
halbwissen,halpvɪsn̩
fensterlos,fɛnstɐloːs
grasmücke,ɡʁaːsmʏkə
tabakkäfer,taːbakkɛːfɐ
verschwinden,fɛɐ̯ʃvɪndən
covertest,kavɐtəst
ballförmig,balfœʁmɪç
frischkäse,fʁɪʃkeːzə
theoretiker,teoʁeːtikɐ
heilung,haɪ̯lʊŋ
arbeit,aʁbaɪ̯t
doppelzüngig,dɔpl̩t͡sʏŋɪç
fussball,fuːsbal
badeente,baːdəʔɛntə
waschküche,vaʃkʏçə
radieschen,ʁadiːsçən
laubheuschrecke,laʊ̯phɔɪ̯ʃʁɛkə
töpfen,tœpfən
verschlechterung,fɛɐ̯ʃlɛçtəʁʊŋ
sonnenuhr,zɔnənʔuːɐ̯
buffet,bʏfɛt
aberglaube,aːbɐɡlaʊ̯bə
reisebroschüre,ʁaɪ̯zəbʁɔʃyːʁə
einflusslos,aɪ̯nflʊsloːs
trockentuche,tʁɔkn̩tuːxə
implantieren,ɪmplantiːʁən
hohlmass,hoːlmaːs
wegsam,veːkzaːm
drahtig,dʁaːtɪç
erblasserin,ɛʁplasəʁɪn
amateurmusikerin,amatøːɐ̯muːzɪkəʁɪn
drüben,dryːbm̩
deliziös,delit͡si̯øːs
korso,kɔʁzo
guckend,ɡʊkn̩t
verschlüsselungsgeräten,fɛɐ̯ʃlʏsəlʊŋsɡəʁɛːtn̩
speisenauswahl,ʃpaɪ̯zənaʊ̯svaːl
schützlinge,ʃʏt͡slɪŋə
nadelholz,naːdl̩hɔlt͜s
fehlgriff,feːlɡrɪf
festschrift,fɛstʃʁɪft
ach,ax
glasgebäude,ɡlaːsɡəbɔʏ̯də
seelenruhig,zeːlənʁuːɪç
franke,fʁaŋkə
kreuzgefährlich,kʁɔɪ̯t͡sɡəfɛːɐ̯lɪç
mitgliederversammlungen,mɪtɡliːdɐfɛɐ̯zamlʊŋən
vielbeschäftigter,fiːlbəʃɛftɪktɐ
riskieren,ʁɪskiːʁən
einmilliardste,aɪ̯nmɪli̯aʁt͡stə
sägezähne,zɛːɡət͡sɛːnə
rätisch,ʁeːtɪʃ
barockstil,barɔkstiːl
steinadler,ʃtaɪ̯nʔaːdlɐ
dilettieren,dilɛtiːʁən
fickrig,fɪkʁɪk
brüste,bʁʏstə
sünde,zʏndə
appretieren,apʁetiːʁən
backpfeifen,bakpfaɪ̯fən
gräber,ɡʁeːbɐ
knochig,knɔxɪç
hansgeorg,hɑːnzɡeːɔɐ̯k
scheuerleiste,ʃɔɪ̯ɐlaɪ̯stə
frontbogen,fʁɔntboːɡn̩
verbesserung,fɛɐ̯bɛsəʁʊŋ
kamin,kamiːn
beifahrer,baɪ̯faːʁɐ
schneidig,ʃnaɪ̯dɪk
elbenkönigin,ɛlbənkøːnɪɡɪn
zischeln,t͡sɪʃl̩n
gewinn,ɡəvɪn
ausbeutung,aʊ̯sbɔɪ̯tʊŋ
gnädig,ɡnɛːdɪk
feminin,fɛminiːn
lustmolches,lʊstmɔlçəs
abendessen,ʔaːbəntʔɛsən
hohe,hoːə
westgermanisch,vɛstɡɛʁmaːnɪʃ
redefreiheit,ʁeːdəfʁaɪ̯haɪ̯t
fressen,fʁɛsn̩
pazifik,patsiːfɪk
android,andʁoiːt
benediktinerklöster,benədɪktiːnɐkløːstɐ
cashewnuss,kɛʃunʊs
palme,palmə
neoklassisch,neoklasɪʃ
manifestieren,manifɛstiːʁən
rührig,ʁyːʁɪk
ostafrikanisch,ɔstʔafʁikaːnɪʃ
schnäppchenladen,ʃnɛpçənlaːdn̩
fehlschlag,feːlʃlaːk
tja,tjaː
pfähle,p͡feːlə
naseweis,naːzəvaɪ̯s
plebejisch,plebeːjɪʃ
bett,bɛt
rotgolden,ʁoːtɡɔldən
nuttigstes,nʊtɪçstəs
ibiza,iːbɪtsa
sprachwandel,ʃpʁaːxvandl̩
verqualmt,fɛɐ̯kvalmt
gerichtshofs,ɡəʁɪçt͡shoːfs
lebenserfahren,leːbn̩sʔɛɐ̯faːʁən
anlagenbau,anlaːɡn̩baʊ̯
dar,daːɐ̯
eiterig,aɪ̯təʁɪç
weltverbesserer,vɛltfɛɐ̯bɛsəʁɐ
botenlohn,boːtənloːn
schneckenartig,ʃnɛkn̩ʔaːɐ̯tɪç
ausserirdisch,ʔaʊ̯sɐɪɐ̯dɪʃ
achtköpfig,axtkœpfɪç
plüsch,plyːʃ
strizzi,ʃtʁɪt͡si
elternhaus,ɛltɐnhaʊ̯s
eckpunkts,ɛkpʊŋkt͡s
undeutsch,ʊndɔɪ̯t͡ʃ
obig,oːbɪç
stele,steːlə
einblicke,ʔaɪ̯nblɪkə
wechselständig,vɛksəlʃtɛndɪk
kleinpudel,klaɪ̯npuːdl̩
ortsunkundig,ɔʁt͡sʔʊnkʊndɪç
pipi,pɪpi
grab,ɡʁaːp
autoritär,aʊ̯toʁitɛːɐ̯
rasiermesser,ʁaziːɐmɛsɐ
kilometerstand,kilomeːtɐʃtant
adlatus,adlaːtʊs
viertürig,fiːɐ̯tyːʁɪç
den,deːn
verzehnten,fɛɐ̯t͡seːntn̩
sprungbrett,ʃpʁʊŋbʁɛt
sache,saχɛ
kälbermastskandale,kɛlbɐmastskandaːle
salettl,zalɛtl̩
vorteil,fɔʁtaɪ̯l
diterpen,diːtɛʁpeːn
peugeot,pəʃoː
symbolisieren,zʏmboliziːʁən
kairoer,kaɪ̯ʁoɐ
wegwerfverpackung,vɛkvɛʁffɛɐ̯pakʊŋ
wählen,veːlən
distal,dɪstaːl
radfahrer,ʁaːtfaːʁɐ
ohnmächtig,oːnmɛçtɪç
beispielshalber,baɪ̯ʃpiːlshalbɐ
sicherlich,zɪçɐlɪç
unterschlächtig,ʊntɐʃlɛçtɪk
pekannussbäume,piːkaːnnʊsbɔɪ̯mə
heulen,hɔɪ̯lən
spät,ʃpɛːt
strömen,ʃtʁøːmən
hufeisen,huːfaɪ̯zən
luftfahrzeuges,lʊftfaːɐ̯t͡sɔɪ̯ɡəs
patsche,pat͡ʃə
gewässer,ɡəvɛsɐ
haferbrei,haːfɐbʁaɪ̯
tabloid,tɛblɔʏ̯t
schwangerschaft,ʃvaŋɐʃaft
meyer,maɪ̯ɐ
leimen,laɪ̯mən
whisky,wɪski
tentativ,tɛntatiːf
laichen,laɪ̯çn̩
abschneiden,ʔapʃnaɪ̯dn̩
gaszentrifuge,ɡaːstsɛntʁifuːɡə
bündchen,bʏntçən
sorry,zɔʁi
selbstbefriedigung,zɛlpstbəfʁiːdɪɡʊŋ
stationsweitem,ʃtat͡si̯oːnsvaɪ̯təm
nasen,naːzn
fernmündlich,fɛʁnmʏntlɪç
stürmisch,ʃtʏʁmɪʃ
geräumig,ɡəʁɔɪ̯mɪk
unbestreitbar,ʊnbəʃtʁaɪ̯tbaːɐ̯
tür,tyːr
awarisch,avaːʁɪʃ
floss,floːs
braunbären,bʁaʊ̯nbɛːɐ̯n
resigniert,rezɪkniːrt
gesetzesübertretung,ɡəzɛtsəsyːbɐtʁeːtʊŋ
sabbeln,zabəln
plastegeschirr,plastəɡəʃɪʁ
panoptikum,panɔptikʊm
apfelig,ap͡fl̩ɪç
scannen,skɛnən
zippel,tsɪpəl
militärgeschichte,mɪlɪtɛːɐ̯ɡəʃɪçtə
hausbar,haʊ̯sbaːɐ̯
steuerbord,ʃtɔɪ̯əʁbɔʁt
strandhafer,ʃtranthaːfɐ
auffangnetz,aʊ̯ffaŋnɛt͡s
scharnier,ʃarniːr
werbeprospektes,vɛʁbəpʁospɛktəs
transgender,tʁansdʒɛndɐ
grünes,ɡʁyːnəs
verscheissern,fɛɐ̯ʃaɪ̯sɐn
wegdrängen,vɛkdʁɛŋən
pech,pɛç
rückbesinnen,ʁʏkbəzɪnən
erschiessen,ʔɛɐ̯ʃiːsən
vorarlbergerisch,foːɐ̯ʔaʁlbɛʁɡəʁɪʃ
bingen,bɪnd͡ʒən
staatswesen,ʃtaːt͡sveːzn̩
selbstmordattentäter,zɛlpstmɔʁtʔatn̩tɛːtɐ
stricken,ʃtʁɪkən
kaiserwetter,kaɪ̯zərvɛtər
rundbriefe,ʁʊntbʁiːfə
mythos,myːtɔs
gilbert,ɡɪlbɐt
pleite,plaɪ̯tə
bekoten,bəkoːtən
himmler,hɪmlɐ
rücksicht,ʁʏkzɪçt
leist,laɪ̯st
teiglöffel,taɪ̯klœfl̩
professur,pʁofɛsuːɐ̯
stemmen,ʃtɛmən
bolzenschneiders,bɔlt͡sn̩ʃnaɪ̯dɐs
tomatensalat,tomaːtn̩zalaːt
gemischtwarenladens,ɡəmɪʃtvaːʁənlaːdəns
therme,tɛʁmə
komplizieren,kɔmplit͡siːʁən
benutzers,bənʊtsɐs
längsstreifen,lɛŋsʃtʁaɪ̯fn̩
ordinate,ɔʁdinaːtə
industrie,ɪndʊstʁiː
baskenmütze,baskənmʏtsə
therapieresistent,teʁapiːʁezɪstɛnt
spiessig,ʃpiːsɪk
kluft,klʊft
kalorienbewusst,kaloʁiːənbəvʊst
hausspinne,haʊ̯sʃpɪnə
stempeluhr,ʃtɛmpl̩ʔuːɐ̯
kirchturmpolitik,kɪʁçtʊʁmpolitɪk
sechsjährig,zɛksjɛːʁɪç
sechste,zɛkstə
lähmungen,leːmʊŋən
gemahnt,ɡəmaːnt
ausüben,ʔaʊ̯sʔyːbm̩
kilometerlang,kilomeːtɐlaŋ
editor,ediːtoːɐ̯
knopf,knɔpf
zweig,tsvaɪ̯k
nordhalbkugel,nɔʁthalpkuːɡl̩
messen,mɛsən
sorgenlos,zɔʁɡn̩loːs
uploaden,aploːdən
sportklub,spɔʁtklʊp
ameisenkönigin,aːmaɪ̯zn̩køːnɪɡɪn
rechtspflege,ʁɛçt͡sp͡fleːɡə
arschlöcher,aːʁʃlœçɐ
verschwenden,fɛʁʃvɛndən
taco,tako
vierzehnminütig,fɪətsn̩minyːtɪç
umlaufbahnen,ʔʊmlaʊ̯fbaːnən
habesch,habɛʃ
antiquarische,antikvaʁɪʃə
lametta,lamɛta
einunddreissigmal,dʁaɪ̯sɪkmaːl
fünfzigstündig,fʏnftsɪçʃtʏndɪç
schwertschlucker,ʃveːɐ̯tʃlʊkɐ
kempen,kɛmpən
briefumschlag,bʁiːfʔʊmʃlaːk
karton,kartoːn
euter,ʔɔɪ̯tɐ
einprozentig,aɪ̯npʁot͡sɛntɪç
sekundenzeigern,zekʊndəntsaɪ̯ɡɐn
rasenstück,raːzənʃtʏk
lecken,lɛkŋ̩
weinen,vaɪ̯nən
duellant,duɛlant
volkes,fɔlkəs
perm,pɛʁm
stelze,ʃtɛltsə
milbe,mɪlbə
zweiundzwanzigstündig,t͡svaɪ̯ʊntt͡svant͡sɪkʃtʏndɪk
macheloikes,maxəlɔʏ̯kɛs
jez,jɛts
fünfzigjährig,fʏnftsɪçjɛːʁɪç
mauren,maʊ̯ʁən
ungekämmt,ʊnɡəkɛmt
gewissensbiss,ɡəvɪsn̩sbɪs
partie,paʁtiː
tapire,taːpiːʁə
landesliste,landəslɪstə
hemmung,hɛmʊŋ
hanau,haːnaʊ̯
heimbringen,haɪ̯mbʁɪŋən
frieda,fʁiːda
atriumhaus,aːtʁiʊmhaʊ̯s
plättchen,plɛtçən
pragmatisch,pʁaɡmaːtɪʃ
subspezies,zʊpʃpeːtsi̯eːs
rückenlehne,ʁʏkn̩leːnə
theorielastig,teoʁiːlastɪç
tuchfühlung,tuːxfyːlʊŋ
architekt,aʁçitɛkt
dienstverpflichtet,diːnstfɛɐ̯pflɪçtət
eintönig,aɪ̯ntøːnɪk
humorvoll,humoːɐ̯fɔl
zwiebeln,tsviːbəln
untiefe,ʊntiːfə
chemisch,çeːmɪʃ
kleiderschrank,klaɪdɐʃʁaŋk
fastet,fastət
pott,pɔt
kunstlied,kʊnstliːt
wedel,veːdl̩
kriegsmüde,kʁiːksmyːdə
siebenundzwanzigstündig,ziːbm̩ʊntt͡svant͡sɪkʃtʏndɪk
faszinieren,fastsiniːrən
sasse,zasə
sammler,zamlɐ
kürze,kʏʁt͡sə
inhaltsärmere,ɪnhalt͡sʔɛʁməʁə
bambuswald,bambʊsvalt
herrin,hɛʁɪn
splenektomie,splenɛktomiː
kürschnerin,kʏʁʃnəʁɪn
verschwurbelt,fɛɐ̯ʃvʊʁbl̩t
flokati,flokaːti
überschlagen,yːbərʃlaːɡən
sier,ziːɐ̯
ertauben,ɛɐ̯taʊ̯bn̩
verwaltungskreis,fɛʁvaltʊŋskraɪ̯s
weltsprache,vɛltʃpʁaːχə
wanduhr,vantʔuːɐ̯
afrodeutsch,afʁoːdɔʏ̯t͡ʃ
wegbleiben,vɛkblaɪ̯bən
epithese,epiteːzə
unterbeschäftigt,ʊntɐbəʃɛftɪçt
stöbern,ʃtøːbɐn
sagend,zaːɡŋ̩t
nachtluft,naxtlʊft
onager,oːnaːɡɐ
vierundzwanzigstündiger,fiːɐ̯ʊntt͡svant͡sɪçʃtʏndɪɡɐ
belauern,bəlaʊ̯ɐn
sowieso,zovizoː
seiltanz,zaɪ̯ltant͡s
einlaufkind,ʔaɪ̯nlaʊ̯fkɪnt
fünfundzwanzigfach,fʏnfʊntt͡svant͡sɪçfax
kommode,kɔmoːdə
bungeespringen,band͡ʒiʃpʁɪŋən
pipette,pipɛtə
geste,ɡɛstə
weltseele,vɛltzeːlə
schienenfahrzeuge,ʃiːnənfaːɐ̯t͡sɔɪ̯ɡə
zollhauses,t͡sɔlhaʊ̯zəs
aufsatz,ʔaʊ̯fzat͡s
kleindeutsch,klaɪ̯ndɔʏ̯t͡ʃ
stauben,ʃtaʊ̯bn̩
ausrottung,aʊ̯sʁɔtʊŋ
abgrenzen,apɡʁɛntsən
spesen,ʃpeːzən
vergrössern,fɛɐ̯ɡʁøːsɐn
nächster,nɛkstɐ
akte,aktə
kaninchen,kaniːnçən
uigure,ʊɪ̯ɡuːʁə
badesalz,baːdəzalt͡s
schweizer,ʃvaɪ̯t͡sɐ
salü,salyː
katzenklappe,katsənklapə
infektiös,ɪnfɛkt͡si̯øːs
wodka,vɔtka
messaging,mɛsɪd͡zɪŋ
hühner,hyːnɐ
sittsamkeit,zɪtzaːmkaɪ̯t
bombig,bɔmbɪç
harschen,haʁʃn̩
unterschlagung,ʊntɐʃlaːɡʊŋ
fietse,fiːtsə
solingen,zoːlɪŋən
wacklig,vaklɪç
jünglinge,jʏŋlɪŋə
entfaltung,ɛntfaltʊŋ
bedenken,bədɛŋkŋ̍
zehnprozentig,t͡seːnpʁot͡sɛntɪç
kompatibilistisch,kɔmpatibilɪstɪʃ
schrägstrich,ʃʁɛːkʃtʁɪç
romane,ʁomaːnə
gastrolle,ɡastʁɔlə
bludenz,bluːdɛnt͡s
chronobiologie,kʁonobioloɡiː
jetzt,jɛts
datenbank,daːtn̩baŋk
grablicht,ɡʁaːplɪçt
chaostag,kaːɔstaːk
konzentriert,kɔnt͡sɛntʁiːɐ̯t
cashewnuss,kəʃuːnʊs
peinlich,paɪ̯nlɪç
machte,maxtə
wohlmeinendem,voːlmaɪ̯nəndəm
string,stʁɪŋ
duschen,duːʃn̩
saaten,zaːtən
verlustreich,fɛɐ̯lʊstʁaɪ̯ç
vertonung,fɛʁtoːnʊŋ
lebensgefahr,leːbn̩sɡəfaːɐ̯
nähren,nɛːrən
abschälen,apʃɛːlən
russlanddeutsch,ʁʊslantdɔɪ̯t͡ʃ
orange,orãːʃ
nebelverhangen,neːbl̩fɛɐ̯haŋən
bier,biːɐ̯
zweitägig,t͡svaɪ̯tɛːɡɪç
wcs,veːtseːs
stark,ʃtark
wanze,vantsə
freveln,fʁeːfl̩n
optionen,ɔptsi̯oːnən
meinesgleichen,maɪ̯nəsɡlaɪ̯çn̩
schlitze,ʃlɪt͡sə
feudal,fɔɪ̯daːl
streichholz,ʃtʁaɪ̯çhɔlt͡s
endgültig,ɛntɡʏltɪk
tastaturbelegung,tastatuːʁbəleːɡʊŋ
unschwierig,ʊnʃviːʁɪç
wärmelehre,vɛʁməleːʁə
frivol,fʁivoːl
mentalität,mɛntalitɛːt
schneebedeckt,ʃneːbədɛkt
prochaska,proxaska
doktorfisch,dɔktɔɐ̯fɪʃ
sollt,zɔlt
zündfunken,tsʏntfʊŋkŋ̩
abenteuerromanes,aːbn̩tɔɪ̯ɐʁomaːnɛs
heteroklitisch,hetəʁokliːtɪʃ
masswerk,maːsvɛʁk
heister,haɪ̯stər
jungfernkranz,jʊŋfərnkrants
nationalbewusst,nat͡si̯onaːlbəvʊst
bestialischen,besti̯aːlɪʃən
fundamentalsätze,fʊndamɛntaːlzɛt͡sə
blütenböden,blyːtənbøːdn̩
nullkommajosef,nʊlkɔmajoːzɛf
wolfsschwanz,vɔlfsʃvant͡s
auslaufen,ʔaʊ̯slaʊ̯fən
umkippen,ʊmkɪpn̩
geflügelhändlers,ɡəflyːɡəlhɛntlɐs
limo,liːmo
atomkraftwerk,atoːmkʁaftvɛʁk
achtzehnmal,axtseːnmaːl
demilitarisiert,demilitaʁiziːɐ̯t
verräterisches,fɛɐ̯ʁɛːtəʁɪʃəs
eintauchen,aɪ̯ntaʊ̯xən
beschämt,bəʃɛːmt
nachwelt,naːχvɛlt
spülen,ʃpyːlən
wintergewitter,vɪntɐɡəvɪtɐ
rösch,ʁœʃ
schriftgrösse,ʃʁɪftɡʁøːsə
vierhundert,fiːɐ̯hʊndɐt
tschüss,tʃʏs
umformulierers,ʊmfɔʁmuliːʁɐs
strapazierfähig,ʃtʁapat͡siːɐ̯fɛːɪç
gattungstypisch,ɡatʊŋstyːpɪʃ
blonde,blɔndə
komplize,kɔmpliːt͡sə
kurse,kʊʁsə
fluchtgefahr,flʊxtɡəfaːɐ̯
pike,piːkə
eingebürgerter,aɪ̯nɡəbʏʁɡɐtɐ
binarität,binaʁitɛːt
neunundvierzigjähriger,nɔɪ̯nʊntfɪɐ̯t͡sɪçjɛːʁɪɡɐ
kinderkreuzzug,kɪndɐkʁɔɪ̯t͡st͡suːk
lebensmittelskandals,leːbənsmɪtəlskandaːls
herbst,hɛʁpst
simplifizieren,zɪmplifit͡siːʁən
pfeffernuss,pfɛfɐnʊs
protoplasma,pʁotoplasma
nachsingen,naːxzɪŋən
elysium,elyːzi̯ʊm
charakterlosigkeit,kaʁaktɐloːsɪçkaɪ̯t
alder,aldɐ
burgund,bʊʁɡʊnt
kummet,kʊmət
angststörung,aŋstʃtøːʁʊŋ
bärenwärters,bɛːrənvɛʁtɐs
nackenschlag,nakənʃlaːk
tintenklecks,tɪntənklɛks
dezernat,det͡sɛʁnaːt
rösschen,ʁœsçən
sag,zaːk
leuchtturmwärtern,lɔɪ̯çttʊʁmvɛʁtɐn
fragebogen,fʁaːɡəboːɡn̩
hastig,hastɪç
stille,ʃtɪlə
fasen,faːzn̩
umfang,ʊmfaŋ
mausklick,maʊ̯sklɪk
wurt,vʊʁt
flachbildfernseher,flaxbɪltfɛʁnzeːɐ
leprakolonie,leːpʁakoloniː
salzstangerl,salt͡sʃtaŋɐl
botenlohnes,boːtənloːnəs
revoluzzer,ʁevolʊt͡sɐ
zünden,t͡sʏndən
exportorientiert,ɛkspɔʁtʔoʁi̯ɛntiːɐ̯t
bewunderern,bəvʊndəʁɐn
hoatzine,hoːa̯t͡sɪnə
münsterland,mʏnstɐlant
postamt,pɔstʔamt
partizipieren,paʁtit͡sipiːʁən
satzinitial,zat͡sʔinit͡si̯aːl
bulldozer,bʊldoːzɐ
beläge,bəleːɡə
uneigennützig,ʊnʔaɪ̯ɡn̩nʏt͡sɪç
kanne,kanə
abbinden,apbɪndən
hadernhaltig,haːdɐnhaltɪç
induzierbarkeit,ɪndʊtsiːɐ̯baːɐ̯kaɪ̯t
einbetten,aɪ̯nbɛtən
endemit,ɛndemiːt
pfiff,pfɪf
bettpfosten,bɛtp͡fɔstn̩
händedruck,hɛndədʁʊk
rindfleischsuppe,ʁɪntflaɪ̯ʃzʊpə
toilettenbürste,to̯alɛtn̩bʏʁstə
erschrecken,ɛʁʃʁɛkən
schleuderförmig,ʃloʏ̯dɐfœʁmɪç
kniee,kniːə
aufwärmen,aʊ̯fvɛʁmən
pirogge,piʁɔɡə
abhold,aphɔlt
schlammartig,ʃlamʔaːɐ̯tɪç
v,faʊ̯
werbeprospekte,vɛʁbəpʁospɛktə
allmorgendlich,almɔʁɡəntlɪç
saugefährlich,zaʊ̯ɡəfɛːɐ̯lɪç
hauptseite,haʊ̯ptzaɪ̯tə
fügsam,fyːksaːm
kreuzgefährlicheren,kʁɔɪ̯t͡s̯ɡəfɛːɐ̯lɪçəʁən
siderisch,sɪdeːʁɪʃ
zweiunddreissigmal,dʁaɪ̯sɪkmaːl
bestücken,bəʃtʏkən
aktivieren,aktiviːʁən
leichensäcken,laɪ̯çənzɛkn̩
cashewnuss,kæʃjunʊs
kasimir,kaːzimiɐ̯
brenzlig,bʁɛnt͡slɪç
behufs,bəhuːfs
gewölk,ɡəvœlk
raffiniert,ʁafiniːɐ̯t
halbtäglich,halptɛːklɪç
diktat,dɪktaːt
schnitte,ʃnɪtə
intransigenz,ɪntʁanziɡɛnt͡s
wolkenkuckucksheim,vɔlkŋ̩kʊkʊkshaɪ̯m
schwedisch,ʃveːdɪʃ
mensch,mɛnʃ
doku,doːku
wachkoma,vaxkoːma
bärenführer,bɛːʀənfyːʀɐ
bleigrau,blaɪ̯ɡʁaʊ̯
juhu,juhuː
altersaufbauten,altɐsaʊ̯fbaʊ̯tən
kristallisation,kʁɪstalizat͡si̯oːn
neodarwinistisch,neodaʁvinɪstɪʃ
durchringen,dʊʁçʁɪŋən
umpolen,ʊmpoːlən
hauptbahnhof,haʊ̯panoːf
stapeln,ʃtaːpəln
nowgorod,nɔfɡoʁɔt
parodieren,paʁodiːɐ̯n
geistesgegenwart,ɡaɪ̯stəsɡeːɡn̩vaʁt
grundrecht,ɡʁʊntʁɛçt
mäanderartig,mɛandɐʔaːɐ̯tɪç
fleischig,flaɪ̯ʃɪk
mokscha,mɔkʃaː
luxusrestaurant,lʊksʊsrɛstorã
schlussendlich,ʃlʊsəntlɪç
mecklenburg,meːklənbʊʁç
pekannussbaumes,piːkaːnnʊsbaʊ̯məs
handarbeit,handaʁbaɪ̯t
krimskrams,kʁɪmskʁams
anzeichen,ʔantsaɪ̯çn̩
schlagzeuger,ʃlaːkt͡sɔɪ̯ɡɐ
zurückhalten,tsuʁʏkhaltən
ariadnefaden,aʁi̯adnəfaːdn̩
kyanit,kyaniːt
wagner,vaːɡnɐ
seoul,zɔʊ̯l
anfängerglück,anfɛŋɐɡlʏk
hüfthalter,hʏfthaltɐ
weg,vɛç
bedingung,bədɪŋʊŋ
hexe,hɛksə
unbedarfter,ʊnzɛːklɪçɐ
tischbein,tɪʃbaɪ̯n
messingfarbig,mɛsɪŋfaʁbɪç
pfeffer,pfɛfɐ
rackern,ʁakɐn
wärmebilde,vɛʁməbɪldə
abtreiben,aptʁaɪ̯bən
hochtrabend,hoːχtʁaːbn̩t
evolutionistin,evolutsɪ̯onɪstɪn
pollution,pɔlut͡si̯oːn
meistbesucht,maɪ̯stbəzuːχt
lebensgrundlage,leːbn̩sɡʁʊntlaːɡə
strg,ʃtɔɪ̯ərʊŋk
geburtshelferin,ɡəbʊrt͡shɛlfərɪn
katapultieren,katapʊltiːʁən
repressiv,ʁepʁɛsiːf
josef,joːzeːf
prüde,pʁyːdə
oje,ojeː
mohnblume,moːnbluːmə
vernichtung,fɛɐ̯nɪçtʊŋ
beriberi,beːʁibeːʁi
gelichter,ɡəlɪçtɐ
apfelsine,apfəlziːnə
friss,fʁɪs
frikadelle,fʁɪkadɛlə
gelbstoff,ɡɛlpʃtɔf
älchen,ɛːlçən
fettwanst,fɛtvanst
lippenpflegestift,lɪpənpfleːɡəʃtɪft
spritze,ʃpʁɪt͡sə
doubeln,duːbəln
unangepasst,ʊnʔanɡəpast
pneumatisch,pnɔɪ̯maːtɪʃ
anfahren,anfaːʁən
furchtsam,fʊrçtzaːm
geschichtenerzähler,ɡəʃɪçtn̩ʔɛɐ̯tsɛːlɐ
einkühlen,aɪ̯nkyːln̩
geschlechtergerecht,ɡəʃlɛçtɐɡəʁɛçt
kötter,kœtɐ
