disponibilidade,diʃpunibilidadɨ
etnológica,ɛtnulɔʒikɐ
excelência,eʃsɨlẽsjɐ
direita,diɾejtɐ
extracomunitário,ejʃtɾɐkumunitaɾju
criptógama,kɾiptɔɡɐmɐ
tesouro,tɨzoɾu
diversão,divɨɾsɐ̃w̃
rossio,ʁusiu
indiscutível,ĩdiʃkutivɛl
anticrescimento,ɐ̃tikɾɨʃsimẽtu
tecei,tɨsej
pandémica,pɐ̃dɛmikɐ
anchoveta,ɐ̃ʃuvetɐ
comam,komɐ̃w̃
condecoração,kõdɨkuɾɐsɐ̃w̃
escoceses,iʃkusezɨʃ
deitará,dejtɐɾa
ensaiava,ẽsajavɐ
chulipa,t͡ʃulipɐ
massivo,mɐsibu
chovêsseis,t͡ʃubesejʃ
caíres,kɐiɾɨʃ
brava,bɾabɐ
eurocético,ewɾɔsɛtiku
astronaves,aʃtɾɔnabɨʃ
equívoco,ikibuku
precisarei,pɾɨsizɐɾɐj
finaríeis,finɐɾiɐjʃ
regímen,ʁɨʒimɛn
maxilar,maksilaɾ
chega,t͡ʃeɡɐ
espectral,iʃpɛktɾal
hipercinético,ipɛɾsinɛtiku
afeiçoo,ɐfejsou
encarta,ẽkaɾtɐ
saguão,sɐɡwɐ̃w̃
necedade,nɨsɨdadɨ
acariciável,ɐkɐɾisjabɛl
antinomia,ɐ̃tinumiɐ
geomorfologia,ʒɛɔmuɾfuluʒiɐ
recombinação,ʁɨkõbinɐsɐ̃w̃
profícuo,pɾufikwu
recinto,ʁɨsĩtu
colmeia,kolmɐjɐ
portuguesamente,puɾtuɡezɐmẽtɨ
framboeseira,fɾɐ̃bwɨzɐjɾɐ
calcâneo,kalkɐnju
preceitua,pɾɨsɐjtuɐ
tríade,tɾiɐdɨ
insolvente,ĩsɔlvẽtɨ
murtosa,muɾtɔzɐ
acompanhava,ɐkõpɐɲavɐ
tição,tisɐ̃w̃
prostitua,pɾuʃtituɐ
helvéticos,ɛlbɛtikuʃ
antipovo,ɐ̃tipobu
kosovo,kɔzovu
jarda,ʒaɾdɐ
desobediência,dɨzɔbɨdjẽsjɐ
antiasténico,ɐ̃tiɐʃtɛniku
bandeirante,bɐ̃deɾɐ̃tɨ
dívida,dividɐ
emília,imiljɐ
tuning,tunĩɡ
tínheis,tiɲejʃ
kuduro,kuduɾu
excessivo,eʃsɨsivu
espreitar,iʃpɾetaɾ
gémeo,ʒɛmju
factoring,faktɐɾĩɡ
enzimático,ẽzimatiku
ouriço,owɾisu
grisões,ɡɾizõj̃ʃ
poliândrio,pɔliɐ̃dɾju
gostou,ɡuʃto
tropar,tɾupaɾ
vogar,buɡaɾ
indiferença,ĩdifɨɾẽsɐ
matrimónio,mɐtɾimɔniu
acima,ɐsimɐ
baco,baku
descaroçamento,dɨʃkɐɾusɐmẽtu
desinteressante,dɨzĩtɨɾɨsɐ̃tɨ
autonomistas,awtunumiʃtɐʃ
repreensões,ʁɨpɾiẽsõj̃ʃ
pingo,pĩɡu
previsto,pɾɨbiʃtu
feijãozinho,fejʒɐ̃w̃ziɲu
zoo,zu
jussivo,ʒusibu
icnofóssil,iknɔfɔsil
intercorrência,ĩtɛɾkuʁẽsjɐ
tornozelo,tuɾnuzelu
placará,plɐkɐɾa
abcissa,ɐbsisɐ
alcides,alsidɨʃ
vórtex,bɔɾtɛks
tório,tɔɾju
tempurá,tẽpuɾa
autoritarismo,awtuɾitɐɾiʒmu
antiparkinsoniano,ɐ̃tipɐɾkĩsunjɐnu
encher,ẽʃeɾ
achada,ɐʃadɐ
caxinguelê,kɐʃĩɡɨle
coágulo,kwaɡulu
explicar,ɐjʃplikaɾ
aerofísica,ɐɛɾɔfizikɐ
pataca,pɐtakɐ
civil,sɨbil
gaspacho,ɡɐʃpaʃu
inglesismo,ĩɡlɨziʒmu
goma,ɡomɐ
superstição,supɨɾʃtisɐ̃w̃
laxante,lɐʃɐ̃tɨ
torre,tɔʁɨ
divergência,dibɨɾʒẽsjɐ
soubemos,sobemuʃ
picolé,pikɔlɛ
sachola,sɐt͡ʃɔlɐ
cometeis,kumɨteʃ
chousa,ʃozɐ
desgostar,dɨʒɡuʃtaɾ
temente,tɨmẽtɨ
góes,ɡɔjʃ
tinta,tĩtɐ
frequento,fɾɨkwẽtu
comigo,kumiɡu
fatalmente,fɐtalmẽtɨ
achocolatásseis,ɐʃukulɐtaseʃ
tamos,tɐmuʃ
verdelha,vɨɾdɐjʎɐ
resina,ʁɨzinɐ
lascivo,lɐʃivu
credor,kɾɛdoɾ
rádones,ʁadɔnɨʃ
metralhadora,mɨtɾɐʎɐdoɾɐ
avis,ɐviʃ
marajá,mɐɾɐʒa
chovei,ʃuve
ventricular,bẽtɾikulaɾ
antagonicamente,ɐ̃tɐɡɔnikɐmẽtɨ
pareciam,pɐɾɨsiɐ̃w̃
ribanceira,ʁibɐ̃sɐjɾɐ
rouxinol,ʁoʃinɔl
aprazível,ɐpɾɐzibɛl
privar,pɾibaɾ
inexequível,inizɨkwibɛl
vivemos,vivemuʃ
acostumar,ɐkuʃtumaɾ
aljava,alʒabɐ
diesel,dizɛl
fenomenologia,fɨnumɨnuluʒiɐ
maragatearão,mɐɾɐɡɐtjɐɾɐ̃w̃
inatividade,inatibidadɨ
inchar,ẽʃaɾ
contino,kõtinu
astreia,ɐʃtɾejɐ
veio,veju
fachada,fɐt͡ʃadɐ
ladeira,lɐdejɾɐ
calhe,kaʎɨ
ourela,oɾɛlɐ
frívolo,fɾivulu
ananias,ɐnɐniɐʃ
sético,sɛtiku
antimicrotúbulo,ɐ̃timikɾɔtubulu
chádico,ʃadiku
verdade,vɛxdadi
espessura,iʃpɨsuɾɐ
renegado,ʁɨnɨɡadu
hipérion,ipɛɾjɔn
calculava,kalkulabɐ
usou,uzow
sexcentésimo,sɐjʃẽtɛzimu
todavia,todɐviɐ
colherá,kuʎɨɾa
moçambique,musɐ̃bikɨ
oxalá,ɔʃɐla
desovar,dɨzɔvaɾ
trol,tɾɔl
excecional,ɐjʃsɛsjunal
terceiro,tɨɾseɾu
indicativo,ĩdikɐtibu
biorreator,biɔʁjatoɾ
ajudo,ɐʒudu
austrofascismo,awʃtɾɔfaʃsiʒmu
paparrotão,pɐpɐʁutɐ̃w̃
detetareis,dɨtɛtɐɾeʃ
futriqueiro,futɾikɐjɾu
colheres,kuʎɛɾɨʃ
ducha,duʃɐ
sines,sinɨʃ
descomposto,dɨʃkõpoʃtu
cartaginense,kɐɾtɐʒinẽsɨ
crescendo,kɾɨʃsẽdu
protetivo,pɾutɛtibu
paralelepípedo,paɾalelepipedu
retirante,ʁɨtiɾɐ̃tɨ
janeireiro,ʒɐneɾeɾu
chavalo,ʃɐvalu
incidental,ĩsidẽtal
urraca,uʁakɐ
condor,kõdoɾ
banquete,bɐ̃keːti
plânctones,plɐ̃ktɔnɨʃ
pêndulo,pẽdulu
alegres,ɐlɛɡɾɨʃ
oximoro,ɔksimɔɾu
antibolchevismo,ɐ̃tibɔlʃɨviʒmu
contribuição,kõtɾibwisɐ̃w̃
fiscalmente,fiʃkalmẽtɨ
admissão,ɐdmisɐ̃w̃
sentimentalmente,sẽtimẽtalmẽtɨ
afastar,ɐfɐʃtaɾ
falhará,fɐʎɐɾa
terceirização,tɨɾseɾizɐsɐ̃w̃
atacante,ɐtɐkɐ̃tɨ
dalgum,dalɡũ
internetês,ĩtɛɾnɛteʃ
desinsetizar,dɨzĩsɛtizaɾ
queijo,kɐjʒu
magnitude,maɡnitudɨ
guiará,ɡjɐɾa
verga,veɾɡɐ
formidavelmente,fuɾmidavɛlmẽtɨ
lituânia,litwɐnjɐ
agroindustrial,aɡɾɔĩduʃtɾial
puxadinho,puʃɐdiɲu
escravismo,iʃkɾɐbiʒmu
fronte,fɾõtɨ
recetível,ʁɨsɛtivɛl
champanhe,ʃɐ̃pɐ̃j̃
galé,ɡɐlɛ
expulsar,ɐjʃpulsaɾ
achocolatado,ɐʃukulɐtadu
gê,ʒe
triciclos,tɾisikluʃ
ivo,ibu
agrava,ɐɡɾabɐ
chaguento,t͡ʃɐɡẽtu
admirável,ɐdmiɾavɛl
sobrecarga,subɾɨkaɾɡɐ
relativamente,ʁɨlɐtivɐmẽtɨ
olfato,ɔlfatu
inaugural,inawɡuɾal
risadinha,ʁizɐdiɲɐ
vaqueiro,bɐkejɾu
presciente,pɾɨʃsjẽtɨ
migrante,miɡɾɐ̃tɨ
suculento,sukulẽtu
criminal,kɾiminal
deras,dɛɾɐʃ
anticatalisador,ɐ̃tikɐtɐlizɐdoɾ
tigela,tiʒɛlɐ
tecei,tɨsɐj
sensivelmente,sẽsivɛlmẽtɨ
fisicamente,fizikɐmẽtɨ
medina,mɨdinɐ
horrível,ɔʁivɛl
singrará,sĩɡɾɐɾa
beirão,bɐjɾɐ̃w̃
imperialista,ĩpɨɾjɐliʃtɐ
valpaços,valpasuʃ
indagar,ĩdɐɡaɾ
defraudar,dɨfɾawdaɾ
amanso,ɐmɐ̃su
sujeitos,suʒetuʃ
reptar,ʁɛptaɾ
fodam,fodɐ̃w̃
nelas,nɛlɐʃ
prato,pɾatu
correndo,kuʁẽdu
raro,ʁaɾu
bia,biɐ
mundial,mũdjal
as,ɐʃ
sara,saɾɐ
jacuizinho,ʒɐkwiziɲu
escarlate,iʃkɐɾlatɨ
borracha,buɦaʃɐ
estrondo,iʃtɾõdu
trancará,tɾɐ̃kɐɾa
saturar,sɐtuɾaɾ
choves,ʃɔvɨʃ
mafra,mafɾɐ
pixelizar,piksɨlizaɾ
inquestionável,ĩkɨʃtjunavɛl
lhos,ʎuʃ
tremendo,tɾɨmẽdu
entendem,ẽtẽdɐ̃j̃
calamar,kɐlɐmaɾ
til,til
aguça,ɐɡusɐ
amaldiçoar,ɐmaldiswaɾ
onde,õdɨ
regais,ʁɨɡajʃ
cena,senɐ
cargas,kaɾɡɐʃ
alternativa,altɨɾnɐtivɐ
agir,ɐʒiɾ
viveres,viveɾɨʃ
comores,kumoɾɨʃ
autoajuda,awtɔɐʒudɐ
júlio,ʒulju
lusitano,luzitɐnu
constantemente,kõʃtɐ̃tɨmẽtɨ
alimentara,ɐlimẽtaɾɐ
prospetivo,pɾuʃpɛtibu
anexável,ɐnɛksavɛl
aeropalinologia,ɐɛɾɔpɐlinuluʒiɐ
conhecerei,kuɲɨsɨɾɐj
aguaceiro,aɡwɐseɾu
matosinhos,mɐtuziɲuʃ
afetuoso,ɐfɛtwozu
voto,vɔtu
fugu,fuɡu
imperador,ĩpɨɾɐdoɾ
experienciar,eʃpɨɾjẽsjaɾ
orelhão,ɔɾɨʎɐ̃w̃
coçará,kusɐɾa
bufunfa,bufũfɐ
rega,ʁɛɡɐ
vila,bilɐ
antiabortista,ɐ̃tiɐbuɾtiʃtɐ
feliz,fɨliʃ
antidemocrático,ɐ̃tidɨmukɾatiku
ninja,nĩʒɐ
jeitinho,ʒetiɲu
homofóbicos,ɔmɔfɔbikuʃ
arrependimento,ɐʁɨpẽdimẽtu
baú,bau
multeis,multejʃ
preservar,pɾɨzɨɾvaɾ
libação,libɐsɐ̃w̃
ver,veɾ
tardado,tɐɾdadu
anão,ɐnɐ̃w̃
deixando,deʃɐ̃du
desvencilhar,dɨʒvẽsiʎaɾ
detetastes,dɨtɛtaʃtɨʃ
príamo,pɾiɐmu
indicativo,ĩdikɐtivu
noia,nɔjɐ
praticamente,pɾatikɐmẽtɨ
elasticidade,ilɐʃtisidadɨ
veneração,bɨnɨɾɐsɐ̃w̃
incógnito,ĩkɔɡnitu
compraremos,kõpɾɐɾemuʃ
relativismo,ʁɨlɐtiviʒmu
especificamente,iʃpɨsifikɐmẽtɨ
nominativo,numinɐtivu
elevador,ilɨbɐdoɾ
achocolatei,ɐt͡ʃukulɐtej
aluvião,ɐlubjɐ̃w̃
arrais,ɐʁajʃ
bauxite,bawʃitɨ
permanganato,pɨɾmɐ̃ɡɐnatu
carará,kɐɾɐɾa
orientalmente,ɔɾjẽtalmẽtɨ
oftalmoscópio,ɔftalmɔʃkɔpju
vadeação,bɐdjɐsɐ̃w̃
elucubração,ilukubɾɐsɐ̃w̃
aeroespaço,ɐɛɾɔiʃpasu
galinheiro,ɡɐliɲeɾu
felgueiras,fɛlɡejɾɐʃ
enlaçassem,ẽlɐsasɐ̃j̃
fresta,fɾɛʃtɐ
guaraná,ɡwɐɾɐna
ziguezague,ziɡɨzaɡɨ
vendível,bẽdibɛl
topete,tupɛtɨ
transmitir,tɾɐ̃ʃmitiχ
curativas,kuɾɐtibɐʃ
torturar,tuɾtuɾaɾ
conteis,kõtejʃ
zoncá,zõka
erroneamente,iʁɔnjɐmẽtɨ
galáxia,ɡɐlaksjɐ
cambada,kɐ̃badɐ
linchava,lĩʃavɐ
concitem,kõsitɐ̃j̃
versos,vɛɾsuʃ
moldar,mɔldaɾ
sonar,sɔnaɾ
decrépito,dɨkɾɛpitu
deterioração,dɨtɨɾjuɾɐsɐ̃w̃
borbulha,buɾbuʎɐ
moleza,mulezɐ
erupção,iɾupsɐ̃w̃
apuleio,ɐpuleu
ridicularizava,ʁidikulɐɾizabɐ
frequência,fɾɨkwẽsjɐ
votará,butɐɾa
termológico,tɨɾmulɔʒiku
vísseis,visejʃ
pirralho,piʁaʎu
detonados,dɨtunaduʃ
úngula,ũɡulɐ
convexo,kõvɛksu
ondular,õdulaɾ
carne,kaɹnʲ
enfitêutico,ẽfitewtiku
extensivo,iʃtẽsibu
papudo,pɐpudu
gravo,ɡɾavu
eubeia,ewbeɐ
antiquark,ɐ̃tikwaɾkɨ
antirreflexo,ɐ̃tiʁɨflɛksu
sotaque,sutakɨ
chato,ʃatu
vini,bini
porteirinha,puɾtejɾiɲɐ
contribua,kõtɾibuɐ
insatisfações,ĩsɐtiʃfɐsõj̃ʃ
possêidon,pusɐjdɔn
curvará,kuɾvɐɾa
voraz,buɾaʃ
frígido,fɾiʒidu
ventoinha,bẽtwiɲɐ
argumentativas,ɐɾɡumẽtɐtibɐʃ
apereá,ɐpɨɾja
herbívoro,ɛɾbivuɾu
psiquiatra,pisikjatɾɐ
desbravador,dɨʒbɾɐvɐdoɾ
portada,puɾtadɐ
blasfemar,blɐʃfɨmaɾ
colmo,kolmu
filosofia,filuzufiɐ
batera,bɐteɾɐ
impressa,ĩpɾɛsɐ
versão,bɨɾsɐ̃w̃
dialetologista,djɐlɛtuluʒiʃtɐ
abriria,ɐbɾiɾiɐ
arcádico,ɐɾkadiku
charco,ʃaɾku
mantendes,mɐ̃tẽdɨʃ
administração,ɐdmniʃtɾɐsɐ̃w̃
contaminar,kõtɐminaɾ
pernau,pɨɾnaw
polónio,pulɔnju
golfinário,ɡolfinaɾju
papelada,pɐpɨladɐ
existir,eziʃtiχ
aceitavelmente,ɐsetavɛlmẽtɨ
fatela,fɐtɛlɐ
monoteístico,mɔnɔtɐiʃtiku
quebrados,kɨbɾaduʃ
tranquilos,tɾɐ̃kwiluʃ
sexy,sɛksi
antissifilítico,ɐ̃tisifilitiku
atenção,ɐtẽsɐ̃w̃
jornada,ʒuɾnadɐ
luanda,lwɐ̃dɐ
tostão,tuʃtɐ̃w̃
ferradura,fɨʁɐduɾɐ
seja,sɐjʒɐ
rejunte,ʁɨʒũtɨ
acelerável,ɐsɨlɐɾabɛl
grânulo,ɡɾɐnulu
titânio,titɐnju
mendigar,mẽdiɡaɾ
ruído,ʁwidu
aerotermodinâmico,ɐɛɾɔtɛɾmɔdinɐmiku
governo,ɡubɛɾnu
corretor,kuʁɛtoɾ
irrepetível,iʁɨpɨtibɛl
podemos,pudemuʃ
duodécuplo,dwɔdɛkuplu
silvestre,silvɛʃtɾɨ
ponteiro,põteɾu
utilização,utɨlizɐsɐ̃w̃
ónus,ɔnuʃ
voleibol,bɔlejbɔl
pipoca,pipɔkɐ
roeis,ʁwɐjʃ
antielitista,ɐ̃tielitiʃtɐ
quarteis,kwɐɾteʃ
amai,ɐmaj
desarmar,d͡zɐɾmaɾ
derradeiro,dɨʁɐdeɾu
relógio,ʁɨlɔʒju
maneiro,mɐneɾu
chuinga,ʃwĩɡɐ
tirou,tiɾo
pequeno,pikẽnʷ
pareceu,pɐɾɨsew
adidância,ɐdidɐ̃sjɐ
abatiá,ɐbɐtja
isoleucina,izulewsinɐ
orelha,ɔɾɐjʎɐ
latiram,lɐtiɾɐ̃w̃
constitucional,kõʃtitusjunal
pino,pinu
fragor,fɾɐɡoɾ
como,kumu
pagã,pɐɡɐ̃
repousa,ʁɨpowzɐ
elemento,ilɨmẽtu
pezinho,pɛziɲu
detetemos,dɨtɛtemuʃ
depreender,dɨpɾiẽdeɾ
ródano,ʁɔdɐnu
consideravelmente,kõsidɨɾavɛlmẽtɨ
calcadouro,kalkɐdoɾu
trocável,tɾukavɛl
lagos,laɡuʃ
flâmula,flɐmulɐ
fidedignidade,fidɨdiɡnidadɨ
senectude,sɨnɨktudɨ
fique,fikɨ
abraços,ɐbɾasuʃ
teimosa,temɔzɐ
luxação,luʃɐsɐ̃w̃
mito,mitu
luísa,lwizɐ
pantoja,pɐ̃tɔʒɐ
construção,kõʃtɾusɐ̃w̃
usarei,uzɐɾɐj
incompreensivelmente,ĩkõpɾiẽsivɛlmẽtɨ
vienciana,vjẽsjɐnɐ
minutinho,minutiɲu
pentavalente,pẽtɐvɐlẽtɨ
abandonássemos,ɐbɐ̃dunasɨmuʃ
excitado,ejʃsitadu
demorar,dɨmuɾaɾ
lei,lɐj
todavia,todɐbiɐ
dobrado,dubɾadu
recetar,ʁɨsɛtaɾ
cloaca,klwakɐ
candeia,kɐ̃dɐjɐ
fútil,futil
mineral,minɨɾal
reino,ʁejnu
ponte,põtɨ
chuchuzeiro,ʃuʃuzejɾu
patologicamente,pɐtulɔʒikɐmẽtɨ
manguito,mɐ̃ɡitu
pneumoconiose,pnewmokoniɔze
motivo,mutibu
aceleraram,ɐsɨlɐɾaɾɐ̃w̃
violino,bjulinu
santos,sɐ̃tuʃ
escudeiro,iʃkudeɾu
felizes,fɨlizɨʃ
distrativo,diʃtɾatibu
chácara,ʃakɐɾɐ
cores,koɾɨʃ
apaziguável,ɐpɐziɡwavɛl
namoro,nɐmoɾu
porque,puɻke
andou,ɐ̃dow
unir,uniɾ
xerófilo,ʃɨɾɔfilu
ciclável,siklabɛl
anticultural,ɐ̃tikultuɾal
rénio,ʁɛnju
antiguerreiro,ɐ̃tiɡɨʁɐjɾu
fluorídrica,flwuɾidɾikɐ
definitivas,dɨfinitivɐʃ
fungando,fũɡɐ̃du
abatedouro,ɐbɐtɨdowɾu
paetê,pɐɨte
anticoagulado,ɐ̃tikwɐɡuladu
moreira,muɾɐjɾɐ
pelos,peluʃ
cingirdes,sĩʒiɾdɨʃ
prega,pɾɛɡɐ
vasca,baʃkɐ
macieira,mɐsjeɾɐ
compulsivo,kõpulsivu
saudade,sɐwdadɨ
ue,uɛ
engarrafar,ẽɡɐʁɐfaɾ
concitarias,kõsitɐɾiɐʃ
martírio,mɐɾtiɾju
lacinho,lɐsiɲu
rissol,ʁisɔl
medonho,mɨdoɲu
convertível,kõvɨɾtivɛl
teimar,tejmaɾ
furiquinho,fuɾikiɲu
abusar,ɐbuzaɾ
peixe,pejʃɨ
pavio,pɐbiu
acelerei,ɐsɨlɨɾɐj
infinito,ĩfinitu
astreia,ɐʃtɾɐjɐ
réveillon,ʁɛveõ
impetuoso,ĩpɨtwozu
conectar,kunɛtaɾ
arguiu,ɐɾɡwiw
coloquei,kulukɐj
divise,dibizɨ
noitibó,nojtibɔ
nativo,nɐtivu
auxiliar,awsiljaɾ
taria,tɐɾiɐ
aprioristicamente,ɐpɾjuɾiʃtikɐmẽtɨ
cuproníquel,kupɾɔnikɛl
escolinha,iʃkɔliɲɐ
varangiano,bɐɾɐ̃ʒjɐnu
maragatearmos,mɐɾɐɡɐtjaɾmuʃ
mulheres,muʎɛɾɨʃ
esvaziar,iʒvɐzjaɾ
alexandre,ɐlɨʃɐ̃dɾɨ
transgredir,tɾɐ̃ʒɡɾɨdiɾ
interessar,ẽtɾɨsaɾ
pequenas,pɨkenɐʃ
reflexivo,ʁɨflɛksibu
bucólico,bukɔliku
leonor,lewnoɾ
xiva,ʃibɐ
virmos,biɾmuʃ
público,publiku
curioso,kuɾjozu
luxo,luʃu
interrupção,ĩtɨʁupsɐ̃w̃
abotoadura,ɐbutwɐduɾɐ
creste,kɾeʃtɨ
antidireitos,ɐ̃tidiɾejtuʃ
paraná,pɐɾɐna
surpreender,suɾpɾiẽdeɾ
ferrita,fɨʁitɐ
só,sɔ
irritar,iʁitaɾ
arvorezinha,aɾvuɾɨziɲɐ
académico,ɐkɐdɛmiku
antivibração,ɐ̃tibibɾɐsɐ̃w̃
pão,pɐ̃w̃
sinai,sinaj
influência,ĩflwẽsjɐ
moldura,molduɾɐ
viera,bjɛɾɐ
desembaraçava,dɨzẽbɐɾɐsavɐ
cometerão,kumɨtɨɾɐ̃w̃
avidez,ɐvideʃ
paulistano,pawliʃtɐnu
avião,ɐvjɐ̃w̃
alcateia,alkɐtejɐ
soberania,subɨɾɐniɐ
medalha,mɨdaʎɐ
cloreto,kluɾetu
software,sɔftwɛʁ
antagonista,ɐ̃tɐɡuniʃtɐ
anticriativo,ɐ̃tikɾiɐtivu
relatar,ʁɨlɐtaɾ
fonética,funɛtikɐ
sacudidela,sɐkudidɛlɐ
interdisciplinares,ĩtɛɾdiʃiplinaɾɨʃ
iluminar,iluminaɾ
toma,tomɐ
remete,ʁɨmɛtɨ
cobro,kobɾu
riria,ʁiɾiɐ
arrozeira,ɐʁuzejɾɐ
etrusco,etɾuʃku
anarcocapitalista,ɐnaɾkɔkɐpitɐliʃtɐ
hulha,uʎɐ
incompreensão,ĩkõpɾjẽsɐ̃w̃
heroísmo,eɾwiʒmu
privado,pɾivadu
generoso,ʒɨnɨɾozu
renovar,ʁɨnuvaɾ
beberá,bɨbɨɾa
trombóticos,tɾõbɔtikuʃ
censures,sẽsuɾɨʃ
vairão,vajɾɐ̃w̃
bitoque,bitɔkɨ
vilã,vilɐ̃
leão,ljõw̃
cuspiu,kuʃpiw
dorminhoco,duɾmiɲoku
brejal,bɾɨʒal
beiço,besu
justificar,ʒuʃtifikaɾ
alvejar,alvɨʒaɾ
gaveta,ɡɐbetɐ
obsceno,ɔbʃenu
frísio,fɾizju
cioso,sjozu
punhal,puɲal
extra,ɐjʃtɾɐ
ceifa,sefɐ
avoado,ɐbwadu
craniectomia,kɾɐnjɛktumiɐ
confortável,kõfuɾtavɛl
clichê,kliʃe
elaborar,ilɐbuɾaɾ
bucareste,bukɐɾɛʃtɨ
adventicial,ɐdvẽtisjal
leito,letu
plutónico,plutɔniku
fona,fonɐ
expulsas,ɐjʃpulsɐʃ
alocável,ɐlukabɛl
compatriota,kõpɐtɾiɔtɐ
antiácido,ɐ̃tiasidu
xileno,ʃilenu
sobrenome,subɾɨnomɨ
sexismo,sɛksiʒmu
iguaria,iɡwɐɾiɐ
finta,fĩtɐ
manequim,mɐnikĩ
alimentáveis,ɐlimẽtaveʃ
tiago,tiaɡu
seco,seku
autovalor,awtɔbɐloɾ
cave,kabɨ
camisinha,kɐmiziɲɐ
plurilinguismo,pluɾilĩɡwiʒmu
boa,bowɐ
extintor,ɐjʃtĩtoɾ
uigure,ujɡuɾɨ
oviedo,ɔvjedu
arqueologicamente,ɐɾkjulɔʒikɐmẽtɨ
antigravidade,ɐ̃tiɡɾɐbidadɨ
ofegar,ɔfɨɡaɾ
sorvedoiro,suɾvɨdojɾu
liberiano,libɨɾjɐnu
rogatório,ʁuɡɐtɔɾju
oprimi,ɔpɾimi
desesperado,dɨzɨʃpɨɾadu
estereoscópico,iʃtɛɾjɔʃkɔpiku
escassez,iʃkɐseʃ
etnologicamente,ɛtnulɔʒikɐmẽtɨ
espicho,iʃpit͡ʃu
barganhar,bɐɾɡɐɲaɾ
eleição,ilejsɐ̃w̃
régia,ʁɛʒjɐ
parassuicídio,pɐɾɐswisidju
actinobactéria,ɐktinɔbɐktɛɾjɐ
eletrostático,ilɛtɾɔʃtatiku
zeugma,zewɡmɐ
recuo,ʁɨkuu
inveja,ẽveʒɐ
extintos,ɐjʃtĩtuʃ
desindustrializar,dɨzĩduʃtɾiɐlizaɾ
arapuca,ɐɾɐpukɐ
acessível,ɐsɨsivɛl
peregrinação,pɨɾɨɡɾinɐsɐ̃w̃
inorgânico,inuɾɡɐniku
folha,fɔʎɐ
exulto,izultu
cabível,kɐbivɛl
maceteavam,mɐsɨtjavɐ̃w̃
preverá,pɾɨvɨɾa
duunvirato,duũbiɾatu
garantir,ɡɐɾɐ̃tiɾ
criadora,kɾiadoɾɐ
regidos,ʁɨʒiduʃ
ogano,ɔɡɐnu
conhece,kuɲɛsɨ
clamará,klɐmɐɾa
acometerás,ɐkumɨtɨɾaʃ
vizinhança,viziɲɐ̃sɐ
eupátrida,ewpatɾidɐ
morfologicamente,muɾfulɔʒikɐmẽtɨ
funkeiro,fɐ̃kejɾu
tabita,tɐbitɐ
pero,peɾu
apaticamente,ɐpatikɐmẽtɨ
grife,ɡɾifɨ
perguntaria,pɨɾɡũtɐɾiɐ
importância,ĩpuɾtɐ̃sjɐ
suportável,supuɾtavɛl
descritível,dɨʃkɾitivɛl
arrumar,ɐʁumaɾ
empreendedor,ẽpɾjẽdɨdoɾ
almeirim,almɐjɾĩ
amenorreia,ɐmɨnuʁejɐ
epigénese,epiʒɛnɨzɨ
ajeitar,ɐʒejtaɾ
metrologia,mɨtɾuluʒiɐ
inatividade,inatividadɨ
fazermos,fɐzeɾmuʃ
avogar,ɐbuɡaɾ
coleção,kulɛsɐ̃w̃
anhima,ɐɲimɐ
nora,nɔɾɐ
assassínio,ɐsɐsinju
oral,ɔɾal
volume,vulumɨ
envios,ẽviuʃ
nucleótido,nukliɔtidu
dedicar,dɨdikaɾ
aleijão,ɐlɐjʒɐ̃w̃
concomitante,kõkumitɐ̃tɨ
atado,ɐtadu
lamentável,lɐmẽtavɛl
ontológico,õtulɔʒiku
transnístria,tɾɐ̃ʒniʃtɾiɐ
cuma,kumɐ
oscilar,oʃsilaɾ
tirar,tiɾaɾ
circunstância,siɾkũʃtɐ̃sjɐ
campus,kɐ̃puʃ
pelve,pɛlbɨ
chuço,ʃusu
saltará,saltɐɾa
molhável,muʎavɛl
traqueia,tɾɐkeɐ
voltando,bɔltɐ̃du
deturpação,dɨtuɾpɐsɐ̃w̃
casando,kɐzɐ̃du
alvará,alvɐɾa
amontoo,ɐmõtowu
notas,nɔtɐʃ
verterá,vɨɾtɨɾa
ventas,bẽtɐʃ
radiológico,ʁɐdjulɔʒiku
zebralo,zɨbɾalu
papelão,pɐpɨlɐ̃w̃
carteis,kɐɾtɐjʃ
achocolatarão,ɐt͡ʃukulɐtɐɾɐ̃w̃
saliente,sɐljẽtɨ
cortante,kuɾtɐ̃tɨ
falangeta,fɐlɐ̃ʒetɐ
ficheiro,fiʃejɾu
cosmopolitanas,kuʒmupulitɐnɐʃ
inimputáveis,inĩputaveʃ
cedíamos,sɨdiɐmuʃ
vidral,bidɾal
sonha,soɲɐ
atalho,ɐtaʎu
arquimedes,ɐɾkimɛdɨʃ
descartes,dɨʃkaɾtɨʃ
showzinho,ʃowziɲu
evaporação,ibɐpuɾɐsɐ̃w̃
laboral,lɐbuɾal
foro,fɔɾu
telemarketing,tɛlɛmaɾktĩɡ
interesse,ĩtɨɾɛsɨ
olivina,ɔlibinɐ
eletroscópico,ilɛtɾɔʃkɔpiku
aclama,ɐklɐmɐ
distenderes,diʃtẽdeɾɨʃ
ufólogo,ufɔluɡu
irreconhecível,iʁɨkuɲɨsivɛl
caluniador,kɐlunjɐdoɾ
féria,fɛɾjɐ
biopsia,bjɔpsiɐ
entalo,ẽtalu
pegara,pɨɡaɾɐ
