coch,koːχ
lwythais,lʊi̯θai̯s
awd,au̯d
gaches,ɡaːχɛs
nhorri,n̥ɔri
arsenig,arsɛnɪɡ
hachos,haχɔs
rhif,r̥iːv
craidd,krai̯ð
hifanc,hiːvaŋk
chares,χaːrɛs
bordo,bɔrdoː
gwrthwynebwyr,ɡʊrθwɪnɛbwɪr
sefydlogi,sɛvədlɔɡi
cloan,klɔan
arddyrnau,arðərnɛ
clwyfau,klʊi̯vai̯
cadno,kadnɔ
ogwr,ɔɡʊr
epidemigau,ɛpɪdɛmiːɡai̯
arhosfa,arhɔsva
cwlwm,kuːlʊm
anodd,aːnɔð
adenedigaethau,adɛnɛdɪɡei̯θai̯
bandiau,bandjai̯
mhenglog,m̥ɛŋɡlɔɡ
en,ɛn
doniol,dɔnjɔl
carit,karɪt
elo,ɛlɔ
addawebau,aðau̯ɛbai̯
lleuad,ɬei̯ad
nghanadiaid,ŋ̊anadjɛd
nghusanau,ŋ̊ɪsanɛ
cwpanaid,kʊpaːnɛd
elin,eːlɪn
oleuadau,ɔlei̯adɛ
lysfab,lɪsvab
darllenodd,darɬɛnɔð
adlewyrchiad,adlɛu̯ərχjad
mlodau,mlɔdai̯
adfywiadau,advɪu̯jaːdɛ
mawr,mou̯r
taflegryn,tavlɛɡrɪn
aetsh,ai̯tʃ
twyt,tʊi̯t
lluwch,ɬɪu̯χ
weld,wɛld
phila,fiːla
brics,brɪks
seddi,seːði
rhosys,r̥ɔsɪs
ffrancwyr,fraŋkwɪr
carw,kaːru
treftadaeth,trɛvtaːdai̯θ
habaty,habati
thraw,θrau̯
torf,tɔrv
chwannog,ʍanɔɡ
ffeindiaf,fɪnda
nyflwydd,nəvlʊi̯ð
mhrifddinas,m̥riːvðiːnas
oeri,ɔi̯ri
canoli,kanɔli
ffyrrau,fərɛ
teiar,tei̯ar
cyfarwyddo,kəvarʊɨ̯ðɔ
llogi,ɬoːɡi
bwletinau,bʊlɛtiːnai̯
eidal,ərei̯dal
mhwmpen,m̥ʊmpan
aelodau,ei̯lɔdɛ
ffotograffiaeth,fɔtɔɡrafjai̯θ
cyfraith,kəvrai̯θ
doedd,dɔi̯ð
glythineb,ɡləθɪnɛb
ddafydd,ðavɪð
prawf,prau̯v
anghytundeb,aŋətɪndɛb
canlyniadau,kanlənjaːdai̯
defnyddio,dɛvnəðjɔ
cambodiaidd,kambɔdjɛð
cymdoges,kəmdɔɡɛs
mygydau,məɡədai̯
symudoch,səmiːdɔχ
lemwn,lɛmʊn
gwely,ɡwɛli
gwladgarwr,ɡwladɡaːrʊr
llefn,ɬɛvn
neuddegfed,nei̯ðɛɡvɛd
ffoniwch,fɔnjʊχ
cynulleidfa,kənɪɬei̯dva
dyrrau,dərɛ
cen,kɛn
agoret,aɡoːrɛt
dyngarol,dəŋɡaːrɔl
archdeyrniaethau,arχdei̯rnjei̯θɛ
olwyn,ɔlwɪn
cyllell,kɪɬɛθ
anableddau,anableːðɛ
cyfaddasiad,kəvaðasjad
bathdai,baθdai̯
credaf,krɛdav
nefaid,nɛvɛd
cwd,kuːd
pinafal,piːnaval
peiriant,pei̯rjant
amgylcheddol,amɡəlχɛðɔl
llwyau,ɬʊi̯ɛ
allforyn,aɬvɔrɪn
rhodia,r̥ɔdja
brechdan,brɛχdan
iddewig,ɪðɛu̯ɪɡ
priod,priɔd
ddwyn,ðʊi̯n
loegr,lɔi̯ɡr
brawychiaeth,brau̯əχjai̯θ
etholiadol,ɛθɔljadɔl
siwan,ʃʊan
drafod,draːvɔd
hysbysebu,həsbəsɛbi
chist,χɪsd
wnaethoch,wnei̯θɔχ
megis,mɛɡɪs
ganddyn,ɡanðɪn
gwadiad,ɡwadjad
maint,mai̯nt
dealltwriaeth,dɛaɬdʊrjai̯θ
abatiroedd,abatɪrɔi̯ð
uwchradd,iu̯χrað
briw,brɪu̯
wefan,weːvan
biwïaid,bɪu̯iːai̯d
canolog,kanɔlɔɡ
aethwn,ei̯θʊn
bunnau,bɪnai̯
angenrheidiol,aŋɛnr̥ei̯djɔl
drwyddedau,drʊi̯ðɛdɛ
chymaint,χəmɛnt
gornestau,ɡɔrnɛsdɛ
meddygaeth,mɛðəɡɛθ
amethyst,amɛθɪsd
argoel,arɡɔi̯l
meddygfeydd,mɛðəɡvei̯ð
barod,baːrɔd
cymhlethdodau,kəmhlɛθdɔdɛ
cachan,kaχan
mwll,mʊɬ
pob,poːb
chwympo,χʊɪ̯mpɔ
gwynedd,ɡui̯nɛð
erchi,ɛrχi
fersiwn,vɛrʃʊn
brwsio,brʊʃɔ
anghydfodau,aŋhədvoːdai̯
hanifail,hanɪvai̯l
brag,braːɡ
gwelais,ɡwɛlai̯s
niwed,nɪu̯ɛd
carthen,karθɛn
mynyddig,mənəðɪɡ
sèd,zɛd
siwgr,ʃuːɡɪr
adwaenent,adwei̯nɛnt
adeiladau,adei̯laːdai̯
heddiw,heːðɪu̯
tra,traː
geith,ɡei̯θ
chyllell,χəɬɛɬ
cwstardiau,kʊsdardjai̯
doeddech,dɔi̯ðɛχ
bricyllen,brɪkəɬɛn
air,ai̯r
ffotograffiau,fɔtɔɡrafjai̯
cyfwelydd,kəvweːlɪð
cyflymder,kəvləmdɛr
pencampwyr,pɛŋkampwɪr
cowboi,kou̯bɔi̯
pigan,pɪɡan
ageru,aɡeːri
rhydd,r̥iːð
geifr,ɡei̯vɪr
wybodaeth,ʊi̯boːdɛθ
gall,ɡaːɬ
chysgwch,χəsɡʊχ
genedigaethau,ɡɛnɛdɪɡei̯θɛ
cyfrifiad,kəvrɪvjad
adlam,adlam
angau,aŋɛ
partner,partnar
eirlys,ei̯rlɪs
hofran,hɔvran
wychach,wəχaχ
drysfa,drəsva
dych,dɪχ
fyddwch,vəðʊχ
asur,asɪr
adnabyddwch,adnabəðʊχ
amodi,amɔdi
croth,kroːθ
mhibau,m̥ɪbɛ
efwr,ɛvʊr
ydfrain,ədvrai̯n
cachu,kaχi
haden,hadɛn
helpwyr,hɛlpwɪr
grefi,ɡrɛvi
ab,ab
chari,χari
briallen,briaɬɛn
iechyd,jeːχɪd
clustdlws,klɪsdlʊs
adolygiad,adɔləɡjad
adferent,advɛrɛnt
tenau,tɛnai̯
gerais,ɡɛrai̯s
anlwc,anlʊk
tlodaidd,tloːdɛð
hawl,hau̯l
mawn,mau̯n
tiwlip,tɪu̯lɪp
ysgrifbin,əsɡrɪvbɪn
gwladaidd,ɡwlaːdai̯ð
cyhydnos,kəhədnɔs
syndodau,səndoːdɛ
priodi,prjɔdi
fegan,veːɡan
streicwr,strɛikʊr
chad,χaːd
blodeuyn,blɔdei̯ɪn
rhagoriaeth,r̥aɡɔrjɛθ
allen,aɬɛn
gweedig,ɡwɛɛdiɡ
rhewlifeg,r̥ɛu̯liːvɛɡ
cysylltnodau,kəsəɬdnɔdai̯
gorau,ɡɔrai̯
goleuadau,ɡɔlei̯adai̯
berfenwau,bɛrvɛnwai̯
ddadlau,ðadlɛ
aeron,ei̯rɔn
cyfrifydd,kəvriːvɪð
hirgrynion,hɪrɡrənjɔn
byddan,bəðan
ceiliog,kiːlɔɡ
iddewesau,ɪðɛu̯ɛsɛ
isteitlau,iːsdei̯tlɛ
milwrol,mɪluːrɔl
bwytwch,bʊi̯tʊχ
abathocroalaidd,abaθɔkrɔaːlai̯ð
obeutu,ɔbei̯ti
chaeredin,χai̯reːdɪn
ddarlunio,ðarlɪnjɔ
cyfair,kəvɛr
dere,deːrɛ
cymylau,kəməlɛ
amryw,amrɪu̯
bhwtan,bʊtaːn
dadlwytho,dadlʊi̯θɔ
chastell,χasdɛɬ
adferf,advɛrv
taclus,taklɪs
croesholi,krɔi̯shoːli
anghydraddoldeb,aŋhədraðɔldɛb
mudol,mɪdɔl
rhent,r̥ɛnt
aethech,ei̯θɛχ
afluniaidd,avlɨ̞njai̯ð
ngwybodaeth,ŋwəbɔdai̯θ
chambodiaid,χambɔdjai̯d
coeg,kɔi̯ɡ
dubniwm,dʊbnjʊm
afal,aːval
deler,dɛlɛr
briallu,brjaɬi
aer,aːr
anafiadau,anavjaːdɛ
dynnu,dəni
ŵr,uːr
ymadael,əmadɛl
gwresogi,ɡwrɛsɔɡi
breinlen,brei̯nlɛn
adar,aːdar
yfory,əvoːri
nhafodau,n̥avɔdai̯
seiniau,sei̯njɛ
tacl,takl
gaeaf,ɡei̯av
hunain,hiːnɛn
tarianau,tarjanɛ
aem,ai̯m
mhabell,m̥aːbɛɬ
gylch,ɡɪlχ
brenhinol,brɛnhiːnɔl
etifeddu,ɛtɪvɛði
teimlad,tei̯mlad
animeiddiad,anɪmei̯ðjad
fuan,viːan
fyddwn,vəðʊn
gwario,ɡwarjɔ
crŷn,kriːn
gwahaniaethiad,ɡwahanjei̯θjad
drama,draːma
morfilod,mɔrvɪlɔd
nghegin,ŋ̊ɛɡɪn
cyfeillion,kəvei̯ɬjɔn
deiliadaeth,dei̯ljaːdɛθ
dyn,diːn
cogau,kɔɡai̯
ffionau,fɪɔnai̯
cell,kɛɬ
cawr,kau̯r
posteri,pɔsdeːri
galwyn,ɡaːlʊi̯n
gosteg,ɡɔsdɛɡ
mehefin,mɛheːvɪn
bi,biː
ngemau,ŋeːmɛ
siomau,ʃɔmɛ
amseriadur,amsɛrjaːdɪr
camsefyll,kamsɛvɪɬ
boddi,bɔði
cafon,kaːvɔn
argraffiadydd,arɡrafjaːdɪð
peniad,pɛnjad
chalan,χalan
pabyddiaeth,pabəðjai̯θ
cyfrifiannell,kəvrɪvjanɛɬ
sbaenes,sbei̯nɛs
cenedl,kɛnɛdl
phortiwgal,fɔrtɪu̯ɡal
ngolau,ŋoːlai̯
llygaid,ɬəɡɛd
hyd,hiːd
gyfrifol,ɡəvriːvɔl
beiciau,bei̯kjai̯
briciau,brikjai̯
mherth,m̥ɛrθ
newynau,nɛu̯ənɛ
carwr,kaːrʊr
neng,nɛŋ
tafwys,tavʊi̯s
ceri,kɛri
glain,ɡlai̯n
codaist,koːdɛsd
addawebau,aðau̯ɛbɛ
gwrthwynebydd,ɡʊrθwɪnɛbɪð
isaf,iːsav
beth,beːθ
gwariant,ɡwarjant
habadau,habaːdɛ
berwi,bɛrwi
alar,aːlar
atgoffâd,atɡofaːd
pentyrru,pɛntəri
hafodau,havɔdɛ
rasel,rasɛl
arfodion,arvɔdjɔn
titw,tɪtu
llefydd,ɬɛvɪð
anobaith,anoːbɛθ
byrraf,bərav
chwrw,χuːru
garai,ɡarai̯
elir,ɛlɪr
gwep,ɡwɛp
dymuno,dəmɪnɔ
chanolbarth,χanɔlbarθ
fflworin,fluːɔrɪn
amserlenni,amsɛrlɛni
chefnau,χɛvnɛ
phigynnau,fɪɡənɛ
chwrw,χʊru
bachwr,baχʊr
sgil,sɡɪl
jôcs,d͡ʒoːks
ddoe,duːɛ
comiwnyddiaeth,kɔmɪu̯nəðjai̯θ
aethont,ei̯θɔnt
tyddewi,tɪðɛu̯i
yterbiwm,ɪtɛrbjʊm
brynbuga,brɪnbiːɡa
affwysol,afʊi̯sɔl
brathu,braθi
biniau,bɪnjɛ
penderfynwch,pɛndɛrvənʊχ
ffonau,fɔnai̯
carest,karɛsd
segur,sɛɡɪr
adfywiadau,advɪu̯jaːdai̯
ymwneud,əmwnei̯d
cyfnewid,kəvnɛu̯ɪd
sicrhau,sɪkɪrhaɨ̯
cyfryngau,kəvrəŋɛ
dychryniadau,dəχrənjadai̯
mhiwi,m̥ɪu̯i
cychwyn,kəχwɪn
hwyliau,hʊi̯ljɛ
tafodau,tavɔdɛ
bythynnod,bəθənɔd
trigain,triːɡɛn
beryglus,bɛrəɡlɪs
pregethu,prɛɡɛθi
llongau,ɬɔŋai̯
ngwybod,ŋʊi̯bɔd
temlau,tɛmlɛ
ffonian,foːnjan
glamoraidd,ɡlamɔrai̯ð
taniwr,tanjʊr
faswn,vasʊn
chapel,χapɛl
nhrwydded,n̥rʊi̯ðɛd
amaethyddiaeth,amei̯θəðjɛθ
saffari,safari
llwyddo,ɬʊi̯ðɔ
cyngaws,kəŋau̯s
moll,mɔɬ
agoriadol,aɡɔrjaːdɔl
briallu,briaɬi
henaint,hɛnai̯nt
cyfansymiau,kəvansəmjai̯
gradd,ɡraːð
swyddogaeth,sʊi̯ðɔɡɛθ
brecsit,brɛksɪt
affwysau,afʊi̯sai̯
naddo,naːðɔ
well,weːɬ
glanaf,ɡlanav
crothell,kroːθɛɬ
athrawesau,aθrau̯ɛsɛ
eni,ɛni
bôm,boːm
fraith,vrai̯θ
hoffai,hɔfai̯
aflafar,avlaːvar
redoch,rɛdɔχ
ianto,jantɔ
ceri,keːri
foth,voːθ
nes,neːs
chachi,χaːχi
lleisiau,ɬei̯ʃɛ
trwblus,trʊblɪs
pedol,pɛdɔl
ysgubell,əsɡiːbɛɬ
ffiseg,fɪzɛɡ
cymedroli,kəmɛdrɔli
ceisiodd,kei̯ʃɔð
ynad,ənad
dîm,diːm
thaith,θai̯θ
cafiar,kavjar
gwybodaeth,ɡwɪbɔdai̯θ
rhwth,r̥uːθ
haint,hai̯nt
dad,daːd
gaing,ɡai̯ŋ
ec,ɛk
ysmygoch,əsməɡɔχ
pethau,peːθɛ
arwynebeddau,arwɪnɛbɛðai̯
trengholiad,trɛŋhɔljad
gwyliedydd,ɡwɪljeːdɪð
anghymreigio,aŋhəmrei̯ɡjɔ
fwthyn,vʊθɪn
beirniadaethau,bei̯rnjadei̯θɛ
siopau,ʃɔpai̯
droednoeth,drɔi̯dnɔi̯θ
gweddol,ɡweːðɔl
milfeddyg,mɪlveːðɪɡ
meiddion,mei̯ðjɔn
eogiaid,ɛɔɡjɛd
taranu,taraːni
adferaf,advɛra
cofnod,kɔvnɔd
twll,tʊɬ
rhydau,r̥ədɛ
mhenderfynu,m̥ɛndɛrvəni
stwrsiwn,sdʊrʃʊn
arddio,arðjɔ
gartref,ɡartrɛv
biti,bɪti
map,map
edwyn,ɛdwɪn
hendrefa,hɛndrɛva
chegin,χɛɡɪn
hugain,hɪɡɛn
feirws,vei̯rʊs
pibgorn,pɪbɡɔrn
moch,moːχ
shibwns,ʃɪbʊnz
hwyaden,hʊi̯aːdɛn
rhwystredigaeth,r̥ʊi̯sdrɛdɪɡai̯θ
ateli,ateːli
freuddwydion,vrei̯ðʊi̯djɔn
phwllheli,fʊɬheːli
pyliau,pəljɛ
cyrraedd,kərɛð
nghrwys,ŋ̊rʊɪ̯s
banana,banana
arna,arna
nodwydd,nɔdwɪð
cydweithrediad,kiːdwei̯θrɛdjad
ymarfer,əmarvar
hefo,heːvɔ
ystrad,əsdrad
gusanau,ɡɪsaːnai̯
mewnddodiad,mɛu̯nðɔdjad
corunllwyd,kɔrɪnɬʊi̯d
cyfiawn,kəvjau̯n
caerau,kei̯rai̯
bach,baːχ
anghytuno,aŋətiːnɔ
achub,aːχɪb
gogwyddo,ɡɔɡwɪðɔ
abadesau,abadɛsɛ
llwch,ɬuːχ
torch,tɔrχ
iesin,jɛsɪn
cudyn,kiːdɪn
rhedyn,r̥ɛdɪn
cnofa,knoːva
nhre,n̥reː
comiwnyddol,kɔmjʊnəðɔl
heintiadau,hei̯ntjaːdai̯
dewisiadau,dɛu̯isjaːdai̯
helyglys,hɛləɡlɪs
gwanwynau,ɡwanwənai̯
trwynoli,trʊi̯nɔli
helciaid,hɛlkjai̯d
twrbanau,tʊrbaːnai̯
nghychwyn,ŋ̊əχwɪn
digwyddaf,dɪɡwəðaf
ferfau,vɛrvai̯
gwybod,ɡʊi̯bɔd
awdurdod,au̯dɪrdɔd
nabod,naːbɔd
gneuen,ɡnei̯ɛn
eisteddfota,ei̯sdɛðvɔta
anniddorol,anɪðoːrɔl
aillt,ai̯ɬd
arholiadau,arɔljadɛ
methu,mɛθi
atborthion,atbɔrθjɔn
dringfa,drɪŋva
prynu,prəni
hanifail,hanɪvɛl
caf,kaːv
chwarae,χwaːrai̯
ambell,ambɛɬ
cribau,krɪbai̯
hedfan,hɛdvan
hydoddydd,hədoːðɪð
glythineb,ɡləθiːnɛb
timoedd,tiːmɔð
gwelaist,ɡwɛlai̯st
gallan,ɡaɬan
amhenderfynol,amhɛndɛrvənɔl
mellt,mɛɬd
beicio,bei̯kɔ
cneuen,knei̯ɛn
gornest,ɡɔrnɛsd
lleisiau,ɬei̯sjɛ
trwch,truːχ
galanas,ɡalaːnas
tin,tiːn
adflas,advlas
ddegfed,ðɛɡvɛd
wledydd,wlɛdɪð
mudwr,mɪdʊr
mai,mai̯
tali,taːli
cadw,kaːdu
origami,ɔrɪɡami
aflwyddo,avlʊi̯ðɔ
mlaidd,mlai̯ð
cilogramau,kɪlɔɡramɛ
phiwi,fɪu̯i
heirdd,hei̯rð
llyfn,ɬɪvn
halen,halɛn
deallus,dɛaɬɪs
gwyddeleg,ɡʊi̯ðeːlɛɡ
wyddel,ʊi̯ðɛl
charreg,χarɛɡ
aech,ai̯χ
pwysi,pʊi̯si
ardderchog,arðɛrχɔɡ
cnewyllyn,knɛu̯əɬɪn
flows,vlou̯z
arolygiadau,arɔləɡjadɛ
difrodi,dɪvrɔdi
chor,χɔr
ceidwadol,kei̯dwadɔl
benywod,bɛnɪu̯ɔd
can,kan
wydraid,wədrai̯d
dall,daːɬ
cyfryngis,kəvrəŋiz
caethwasiaeth,kei̯θwaʃɛθ
mhedol,m̥eːdɔl
rhufeinwyr,r̥ɪvei̯nwɪr
bugail,biːɡɛl
chynnwrf,χənʊrv
crychach,krəχaχ
lesoedd,lɛsɔi̯ð
frwynen,vrʊi̯nɛn
agorwyr,aɡɔrwɪr
adferadwy,advɛraːdʊi̯
ddôn,ðoːn
lygaid,ləɡai̯d
cydweithrediadau,kiːdwei̯θrɛdjadɛ
meddwn,mɛðʊn
fwlfa,vʊlva
hiasoer,hjasɔi̯r
habad,haːbad
gwladol,ɡwlaːdɔl
gnau,ɡnai̯
marus,maːrɪs
gwaredu,ɡwareːdi
chaf,χaː
ddodrefn,ðɔdrɛvn
bardd,barð
cnocellau,knɔkɛɬai̯
doedd,doːð
welais,weːlai̯s
hargraffwr,harɡrafʊr
talais,talɛs
llwyd,ɬʊi̯d
awgrymiadau,au̯ɡrəmjadai̯
siapan,ʃapan
galwedigaethau,ɡalwɛdɪɡei̯θai̯
dynfeirch,dənvei̯rχ
hydoddedd,hədoːðɛð
siarc,ʃark
ofnadwy,ɔvnaːdu
bancio,baŋkɔ
nghlefyd,ŋ̊leːvɪd
dorra,dɔra
celu,keːli
ngwybod,ŋuːbɔd
asesiadau,asɛsjaːdɛ
ailfeddiannu,ai̯lvɛðjani
jac,dʒak
moron,moːrɔn
miliwn,mɪljʊn
thraeth,θraːθ
selerau,sɛlɛrai̯
paciodd,pakjɔð
rhedaist,r̥ɛdai̯sd
dan,dan
nghyfiawnder,ŋ̊əvjau̯ndɛr
dyngarol,dəŋɡarɔl
atalfa,atalva
gŵyl,ɡʊi̯l
gwraig,ɡrai̯ɡ
staff,sdaf
sos,soːs
ifancaf,ɪvaŋkav
golwg,ɡɔlʊɡ
cilbren,kɪlbrɛn
gefel,ɡɛvɛl
pherlau,fɛrlɛ
beryliwm,bɛrɪljʊm
agorai,aɡoːrai̯
cyndyn,kəndɪn
perthynas,pɛrθənas
halmanaciau,almanakjai̯
aethit,ei̯θɪt
cesair,kɛsɛr
ffwciaf,fʊkjav
cerwyn,kɛrui̯n
aeaf,ei̯av
ddaw,ðau̯
glud,ɡliːd
dosbarthau,dɔsbarθɛ
arweiniadau,arwei̯njadai̯
bwydwch,bʊi̯dʊχ
hiarll,hjarɬ
cromlech,krɔmlɛχ
afreolaeth,avrɛɔlɛθ
maharen,maharɛn
wythawd,ʊi̯θau̯d
ffotograffiau,fɔtɔɡrafjɛ
pharotach,farɔtaχ
cyflwr,kəvlʊr
munudau,mɪniːdai̯
collasant,kɔɬasant
does,doːɨ̯s
abergele,abɛrɡeːlɛ
rheoliadur,r̥ɛɔljaːdɪr
chefn,χeːvɛn
cwmpawd,kʊmpau̯d
derwyddiaeth,dɛrwəðjɛθ
cneua,knei̯a
ardal,ardal
wyliau,ʊi̯ljai̯
gorau,ɡoːrɛ
rhagluniau,r̥aɡlɨ̞njɛ
drwm,drʊm
thafarnwraig,θavarnwrai̯ɡ
deiliadaethau,dei̯ljadei̯θai̯
hylendid,həlɛndɪd
agored,aɡɔrɛd
tafarnwraig,tavarnwrai̯ɡ
phryf,friːv
el,ɛl
hemisfferau,hɛmɪsfeːrai̯
pibell,piːbɛɬ
eiddew,ei̯ðɛu̯
bawdd,bau̯ð
llywyddiaeth,ɬəu̯əðai̯θ
llandecwyn,ɬandɛkwɪn
gefell,ɡeːvɛɬ
plaid,plai̯d
ddarllen,ðarɬɛn
pheswch,fɛsʊχ
ânt,aːnt
bil,bɪl
beic,bei̯k
llenni,ɬɛni
brythoneg,brəθɔnɛɡ
credes,kreːdɛs
gariad,ɡarjad
cyfarthiadau,kəvarθjaːdai̯
gennyn,ɡɛnɪn
canfodydd,kanvɔdɪð
farchogion,varχɔɡjɔn
mewnfodol,mɛu̯nvɔdɔl
offerynnau,ɔfɛrənɛ
goginiodd,ɡɔɡɪnjɔð
rhun,r̥iːn
fysedd,vɪsɛð
helygen,hɛləɡɛn
abadaethau,abadei̯θai̯
amdanat,amdaːnat
arllwys,arɬʊs
talu,taːli
sgipio,sɡɪpjɔ
helwr,hɛlʊr
adref,adrɛv
farnau,varnai̯
loc,lɔk
lledieithog,ɬɛdjei̯θɔɡ
adra,adra
enwebu,ɛnweːbi
gwrach,ɡwraːχ
weled,wɛlɛd
trawsleoli,trau̯slɛoːli
nghambodiad,ŋ̊ambɔdjad
hwylbren,hʊi̯lbrɛn
breninesau,brɛnɪnɛsɛ
sir,siːr
cyngerdd,kəŋɛrð
fforest,fɔrɛst
gemau,ɡeːmai̯
ymdeimlad,əmdei̯mlad
fudr,vɪdɪr
les,leːs
gweinyddes,ɡwei̯nəðɛs
wŷn,wiːn
cynhennu,kənhɛni
saethu,sei̯θi
awch,au̯χ
dodi,dɔdi
dw,dw
cyfrifoldebau,kəvrɪvɔldɛbɛ
drydanwyr,drədanwɪr
tysteb,təstɛb
sofren,sɔvrɛn
wiwerod,wɪu̯ɛrɔd
uwd,ɪu̯d
corhedydd,kɔrheːdɪð
deuddegfed,dɪðɛɡvɛd
gerais,ɡeːrai̯s
cystadlaethau,kəsdadlei̯θai̯
canolog,kanoːlɔɡ
ddigidau,ðɪɡiːdɛ
cleff,kleːf
gwnes,ɡwneːs
sawsiau,sau̯ʃai̯
habades,habaːdɛs
enwocach,ɛnwɔkaχ
gwaedu,ɡwiːdi
ngwddf,ŋuːðuv
lledr,ɬɛdr
pump,pɪmp
priodas,prjoːdas
delet,deːlɛt
thrawant,θrau̯ant
aeddfedu,ei̯ðvɛdi
nghorea,ŋ̊ɔreːa
tarianau,tarjanai̯
pethau,peːθai̯
actorion,aktɔrjɔn
anweddus,anweːðɪs
wel,wɛl
cynhennus,kənhɛnɪs
pentref,pɛntrɛv
chwmni,χʊmni
barus,barɪs
llewys,ɬɛu̯ɪs
hunaniaeth,hɪnanjɛθ
nial,niːal
chweched,χweːχɛd
pandemigau,pandɛmiːɡai̯
canai,kanai̯
arfodau,arvɔd
rosmari,rɔsmaːri
heirlysiau,hei̯rləʃai̯
rhywsut,rɪu̯sɪt
cyfreithlon,kəvrei̯θlɔn
masgio,masɡjɔ
cefn,kɛvn
toiled,tɔi̯lɛd
llawlyfr,ɬau̯lɪvɪr
eraill,ɛrɪɬ
uchaf,ɪχav
chwydd,χwiːð
eleni,ɛlɛni
dyryslwyn,dərəslʊi̯n
anobeithio,anɔbei̯θjɔ
talwm,talʊm
mhrydain,m̥rədɛn
cynnud,kənɪd
mwyngloddiol,mʊi̯ŋɡlɔðjɔl
biwïaid,bɪu̯iːɛd
rhith,r̥iːθ
foron,voːrɔn
milwrol,mɪlʊrɔl
swyddogaeth,sʊi̯ðoːɡai̯θ
moliannau,mɔljanai̯
mhinc,m̥ɪŋk
amheuaf,amhei̯a
thair,θai̯r
draig,drai̯ɡ
gosyn,ɡɔsɪn
rhwydwaith,r̥ʊi̯dwai̯θ
malu,maːli
madfall,madvaɬ
gwyn,ɡwɪn
cysyllteiriau,kəsəɬdei̯rjɛ
llysfam,ɬɪsvam
chwithau,χwɪθai̯
rhyddfrydedd,r̥ɪðvrɪdɛð
adnabyddiaeth,adnabəðjai̯θ
gŵyl,ɡʊi̯ljai̯
bûm,biːm
ambeutu,ambei̯ti
cara,kara
gwisg,ɡwɪsɡ
unigol,ɪnɪɡɔl
theisen,θiːʃɛn
perlau,pɛrlai̯
cyfamser,kəvamsɛr
nghytganau,ŋ̊ətɡaːnai̯
chyfforddus,χəfɔrðɪs
creision,krei̯ʃɔn
gaffel,ɡafɛl
aethoch,ei̯θɔχ
cysgodion,kəsɡɔdjɔn
dlawd,dlau̯d
cefnau,kɛvnai̯
cano,kaːnɔ
bu,biː
syfi,səvi
bywgraffiadur,bɪu̯ɡrafjadɪr
gallgo,aɬɡɔ
gwdihŵ,ɡʊdɪhuː
casáu,kasai̯
nghlwyfo,ŋ̊lʊi̯vɔ
darlithydd,darliːθɪð
neuaddau,nei̯aːðai̯
cryfhau,krəvhai̯
garlleg,ɡarɬɛɡ
chenhinen,χɛnhiːnɛn
olifau,ɔliːvɛ
finnau,vɪnɛ
cerflun,kɛrvlɪn
chroatia,χrɔaʃa
greda,ɡreːda
argrafiadau,arɡrafjaːdai̯
fwy,vʊi̯
wyau,wiːɛ
grilio,ɡrɪlɔ
erchyll,ɛrχɪɬ
aberteifi,abɛrtiːvi
o,oː
gwyliau,ɡwɪljai̯
pedolau,pɛdoːlɛ
dydy,dədi
trwydded,trʊi̯ðɛd
nisgynneb,nɪsɡənɛb
ddulyn,ðiːlɪn
ffurflen,fɪrvlɛn
ngafr,ŋavr
blaenau,blei̯nai̯
milfeddyg,mɪlvɛðɪɡ
brych,briːχ
anabl,anabl
chanlyniad,χanlənjad
gwybed,ɡwɪbɛd
canfed,kanvɛd
cân,kaːn
iddynt,ɪðɪnt
nghant,ŋ̊ant
nheimlad,n̥ʊmlad
phedol,feːdɔl
unir,iːnɪr
ieirll,jei̯rɬ
malwota,malwɔta
anghymhwyster,aŋhəmhʊi̯stɛr
metelegydd,mɛtɛlɛɡɪð
cnofil,knoːvɪl
ifanc,ɪvaŋk
bwrw,bʊru
ddarllenaist,ðarɬeːnɛsd
bresych,brɛsɪχ
mwsogla,mʊsɔɡla
olaf,ɔla
olygus,ɔləɡɪs
sweden,sweːdɛn
gardinal,ɡardɪnal
achos,χɔs
rheolydd,r̥ɛoːlɪð
pedair,pɛdɛr
diogel,dɪɔɡɛl
chwerthin,wɛrθɪn
gweision,ɡwei̯sjɔn
plygio,pləɡjɔ
tei,tei̯
gynnau,ɡənɛ
goleudai,ɡɔlei̯dai̯
cysylltu,kəsəɬdi
cafwyd,kavʊi̯d
gornestwr,ɡɔrnɛsdʊr
gleiniau,ɡlei̯njai̯
cwrdd,kʊrð
daeth,dai̯θ
ceffyl,kɛfɪl
digwyddodd,dɪɡwɪðɔð
byliau,bəljɛ
bei,bei
pigfelyn,pɪɡvɛlɪn
ddyddiau,ðəðjɛ
nheimlo,n̥ei̯mlɔ
neshi,nɛʃi
certh,kɛrθ
crwth,kruːθ
aranianoliaeth,aranjanɔljɛθ
ganlyniad,ɡanlənjad
clyw,klɪu̯
corea,kɔreːa
anwybod,anʊi̯bɔd
llatai,ɬatai̯
phan,fan
cyfranddeiliaid,kəvranðei̯ljɛd
pandemigau,pandɛmɪɡai̯
talai,taːlɛ
chlwb,χlʊb
calchfaen,kalχvai̯n
lolfa,lɔlva
nhe,n̥eː
gorchfygol,ɡɔrχvəɡɔl
gysgu,ɡəsɡi
gwyddfid,ɡwɪðvɪd
