görülmeyen,ɡœɾylmejen
yetersizliğini,jeteɾsizliɰini
fincanı,find͡ʒanɯ
albüm,albym
şarkılar,ʃaɾkɯlaɾ
götüren,ɡœtyɾen
volovan,volovan
nın,nɯn
karanlıkları,kaɾanlɯklaɾɯ
kurallarıyla,kuɾallaɾɯjla
yiyebilirlerdi,jijebiliɾleɾdi
deyimler,dejimleɾ
arkasından,aɾkasɯndan
dostluğu,dostluɰu
tattık,tattɯk
çıkarlar,t͡ʃɯkaɾlaɾ
anarlar,anaɾlaɾ
sergiledi,seɾɡiledi
kullanımının,kullanɯmɯnɯn
hararetteki,haɾaɾetteki
ayının,ajɯnɯn
arabaya,aɾabaja
içinde,it͡ʃinde
sürdürmüştü,syɾdyɾmyʃty
taşıdığı,taʃɯdɯɰɯ
uçuyordu,ut͡ʃujoɾdu
kolaysınız,kolajsɯnɯz
tiyatro,tijatɾo
tanınmaz,tanɯnmaz
tartışıldığı,taɾtɯʃɯldɯɰɯ
arıyor,aɾɯjoɾ
rüzgârlar,ɾyzɡâɾlaɾ
tanesi,tanesi
haritanın,haɾitanɯn
ciddi,d͡ʒiddi
roman,ɾoman
gamı,ɡamɯ
avantajları,avantaʒlaɾɯ
bilinmez,bilinmez
verildiği,veɾildiɰi
yaklaşıyor,jaklaʃɯjoɾ
oluşturduklarını,oluʃtuɾduklaɾɯnɯ
köyün,kœjyn
utanılacak,utanɯlad͡ʒak
önlemlerin,œnlemleɾin
tekliflerden,teklifleɾden
sayılı,sajɯlɯ
albümleri,albymleɾi
uymadık,ujmadɯk
düzelmesi,dyzelmesi
köledirler,kœlediɾleɾ
casus,d͡ʒasus
makinesinden,makinesinden
tanıyordu,tanɯjoɾdu
yaraladılar,jaɾaladɯlaɾ
hesaplamalara,hesaplamalaɾa
dövmüş,dœvmyʃ
gelişigüzel,ɡeliʃiɡyzel
değişmedi,deɰiʃmedi
yayınlanınca,jajɯnlanɯnd͡ʒa
evlere,evleɾe
hormonlar,hoɾmonlaɾ
beklemektense,beklemektense
içilir,it͡ʃiliɾ
toparlanma,topaɾlanma
turşulara,tuɾʃulaɾa
hastalığa,hastalɯɰa
kurmaya,kuɾmaja
yaratıyor,jaɾatɯjoɾ
tanımam,tanɯmam
paramız,paɾamɯz
durumlarda,duɾumlaɾda
çekin,t͡ʃekin
gezegenin,ɡezeɡenin
barajda,baɾaʒda
ampulü,ampuly
yanıtları,janɯtlaɾɯ
belirliyor,beliɾlijoɾ
terleyen,teɾlejen
mahkum,mahkum
avro,avɾo
diyemem,dijemem
rahmetli,ɾahmetli
kardeşlerimiz,kaɾdeʃleɾimiz
kolluyor,kollujoɾ
istinaden,istinaden
takındığı,takɯndɯɰɯ
çiçeğin,t͡ʃit͡ʃeɰin
mevsimi,mevsimi
eğmeme,eɰmeme
tartışmaların,taɾtɯʃmalaɾɯn
şarkıcılar,ʃaɾkɯd͡ʒɯlaɾ
binen,binen
noksanlığı,noksanlɯɰɯ
övünebilir,œvynebiliɾ
gerekecekti,ɡeɾeked͡ʒekti
avunamıyormuş,avunamɯjoɾmuʃ
soysuzlaşmaktadır,sojsuzlaʃmaktadɯɾ
gerçekleştirilecek,ɡeɾt͡ʃekleʃtiɾiled͡ʒek
düşünürdü,dyʃynyɾdy
taşınacak,taʃɯnad͡ʒak
falsoya,falsoja
bağlanarak,baɰlanaɾak
anıyı,anɯjɯ
kavuşmuşçasına,kavuʃmuʃt͡ʃasɯna
tren,tɾen
payların,pajlaɾɯn
kavurmaları,kavuɾmalaɾɯ
şimdilik,ʃimdilik
hasat,hasat
başörtüsü,baʃœɾtysy
olabilmesi,olabilmesi
meşk,meʃk
şova,ʃova
faturaları,fatuɾalaɾɯ
çırpılmış,t͡ʃɯɾpɯlmɯʃ
aktarıp,aktaɾɯp
uyanamaz,ujanamaz
kalabilmesi,kalabilmesi
kesinleştirmesi,kesinleʃtiɾmesi
gayrimüslim,ɡajɾimyslim
bakar,bakaɾ
akıllı,akɯllɯ
yalnız,jalnɯz
kurallarını,kuɾallaɾɯnɯ
yolu,jolu
çantayı,t͡ʃantajɯ
çelimsiz,t͡ʃelimsiz
izlemişti,izlemiʃti
sorumluluğu,soɾumluluɰu
maddelerle,maddeleɾle
koşmaya,koʃmaja
durdu,duɾdu
durmak,duɾmak
yapmanın,japmanɯn
fıkrasında,fɯkɾasɯnda
çalışıyorlardı,t͡ʃalɯʃɯjoɾlaɾdɯ
sandığı,sandɯɰɯ
ilişkilerden,iliʃkileɾden
sap,sap
kalanı,kalanɯ
dişli,diʃli
seviniyorum,sevinijoɾum
iddiasını,iddiasɯnɯ
asık,asɯk
hayali,hajali
gerillalarla,ɡeɾillalaɾla
konuşmacıya,konuʃmad͡ʒɯja
sanıyor,sanɯjoɾ
kapının,kapɯnɯn
tercihlerini,teɾd͡ʒihleɾini
anlatayım,anlatajɯm
kaza,kaza
gönderiliyor,ɡœndeɾilijoɾ
enzimler,enzimleɾ
çikolata,t͡ʃikolata
sunulmakta,sunulmakta
üzmemizin,yzmemizin
sürdürür,syɾdyɾyɾ
yürüyüşü,jyɾyjyʃy
defterdar,defteɾdaɾ
kımıldayan,kɯmɯldajan
kabın,kabɯn
cebine,d͡ʒebine
toplantıda,toplantɯda
at,at
ahlaki,ahlaki
hükümetini,hykymetini
andır,andɯɾ
alkışlarsın,alkɯʃlaɾsɯn
uygarlığın,ujɡaɾlɯɰɯn
yakalarını,jakalaɾɯnɯ
göğün,ɡœɰyn
doğmanın,doɰmanɯn
nedenlerini,nedenleɾini
yüreklerinde,jyɾekleɾinde
durdurup,duɾduɾup
getirildi,ɡetiɾildi
uçsuz,ut͡ʃsuz
keyifsiz,kejifsiz
sonuçları,sonut͡ʃlaɾɯ
hayli,hajli
minibüs,minibys
değerlendirdiğimde,deɰeɾlendiɾdiɰimde
şunun,ʃunun
laboratuvarı,laboɾatuvaɾɯ
raporlar,ɾapoɾlaɾ
laikliğe,laikliɰe
ayakkabıları,ajakkabɯlaɾɯ
bölgedeki,bœlɡedeki
dönüştürmesi,dœnyʃtyɾmesi
şekillere,ʃekilleɾe
iyisini,ijisini
ömürleriyle,œmyɾleɾijle
arttığına,aɾttɯɰɯna
girdim,ɡiɾdim
valilik,valilik
kemikleri,kemikleɾi
öğrendiklerimi,œɰɾendikleɾimi
fabrikasında,fabɾikasɯnda
görmediğini,ɡœɾmediɰini
evlatlarıyız,evlatlaɾɯjɯz
sayfalarını,sajfalaɾɯnɯ
atamak,atamak
birimlerinin,biɾimleɾinin
cinsel,d͡ʒinsel
yüzer,jyzeɾ
düzeltmezsen,dyzeltmezsen
bakışı,bakɯʃɯ
köyünde,kœjynde
kıyısındaki,kɯjɯsɯndaki
userler,useɾleɾ
olmamalı,olmamalɯ
annesini,annesini
muzların,muzlaɾɯn
yürütebilir,jyɾytebiliɾ
sert,seɾt
bayrakların,bajɾaklaɾɯn
ziyaret,zijaɾet
uyandırır,ujandɯɾɯɾ
bırakılmamasına,bɯɾakɯlmamasɯna
düşündürüyor,dyʃyndyɾyjoɾ
okuyor,okujoɾ
tipitipi,tipitipi
rakip,ɾakip
holdingciler,holdinɡd͡ʒileɾ
çocuklarının,t͡ʃod͡ʒuklaɾɯnɯn
yazılmadığı,jazɯlmadɯɰɯ
baba,baba
dişlerin,diʃleɾin
karıştırmaya,kaɾɯʃtɯɾmaja
lambası,lambasɯ
çırpıda,t͡ʃɯɾpɯda
ayrımına,ajɾɯmɯna
gizlenmeyen,ɡizlenmejen
yapıyor,japɯjoɾ
kumaş,kumaʃ
girmesinin,ɡiɾmesinin
kartal,kaɾtal
ilgisi,ilɡisi
dinlemedi,dinlemedi
anlatıp,anlatɯp
durabileyim,duɾabilejim
kolundaki,kolundaki
yanağında,janaɰɯnda
uçuklatıcı,ut͡ʃuklatɯd͡ʒɯ
okumadın,okumadɯn
yıldızı,jɯldɯzɯ
bittiğinde,bittiɰinde
akrabalarını,akɾabalaɾɯnɯ
değerlendirilmesi,deɰeɾlendiɾilmesi
politik,politik
kanla,kanla
tasarısı,tasaɾɯsɯ
hatıralar,hatɯɾalaɾ
hesaplaşmalarından,hesaplaʃmalaɾɯndan
süratli,syɾatli
ekiplerince,ekipleɾind͡ʒe
koruyabildiyse,koɾujabildijse
dişleri,diʃleɾi
günden,ɡynden
hakkına,hakkɯna
yerle,jeɾle
test,test
arkadaşlarımızı,aɾkadaʃlaɾɯmɯzɯ
montajda,montaʒda
koyulduğu,kojulduɰu
kaçırdığını,kat͡ʃɯɾdɯɰɯnɯ
çağrıştırması,t͡ʃaɰɾɯʃtɯɾmasɯ
faydalı,fajdalɯ
toplarda,toplaɾda
ödenmiyordu,œdenmijoɾdu
sarsıldığında,saɾsɯldɯɰɯnda
taşlardaki,taʃlaɾdaki
puslu,puslu
açıkçası,at͡ʃɯkt͡ʃasɯ
darbeyle,daɾbejle
yetmezdi,jetmezdi
yığınıyla,jɯɰɯnɯjla
yollardan,jollaɾdan
gittiği,ɡittiɰi
seçiminin,set͡ʃiminin
ortalama,oɾtalama
gösteremediğimiz,ɡœsteɾemediɰimiz
tartışıyorlar,taɾtɯʃɯjoɾlaɾ
bilmezliğini,bilmezliɰini
hisse,hisse
bağırsak,baɰɯɾsak
görülememiştir,ɡœɾylememiʃtiɾ
kucak,kud͡ʒak
soğutulur,soɰutuluɾ
indirimi,indiɾimi
kendimle,kendimle
mikro,mikɾo
benzetir,benzetiɾ
ocağa,od͡ʒaɰa
çekildiği,t͡ʃekildiɰi
adamının,adamɯnɯn
suyunun,sujunun
yararlanma,jaɾaɾlanma
ederken,edeɾken
bazılarına,bazɯlaɾɯna
simgesi,simɡesi
kardeşliği,kaɾdeʃliɰi
aşamasındaki,aʃamasɯndaki
tanım,tanɯm
ardından,aɾdɯndan
gülen,ɡylen
dönmüyorsa,dœnmyjoɾsa
girmemiş,ɡiɾmemiʃ
teröre,teɾœɾe
vazgeçilmez,vazɡet͡ʃilmez
konuşmalarımıza,konuʃmalaɾɯmɯza
bankalarının,bankalaɾɯnɯn
içlerinde,it͡ʃleɾinde
kısmına,kɯsmɯna
imparatorlukların,impaɾatoɾluklaɾɯn
edilmesinden,edilmesinden
yerleri,jeɾleɾi
tehlikelere,tehlikeleɾe
dedenin,dedenin
programıyla,pɾoɡɾamɯjla
yazabilirdim,jazabiliɾdim
saatler,saatleɾ
mizaçlıyımdır,mizat͡ʃlɯjɯmdɯɾ
dönen,dœnen
heyet,hejet
gönüle,ɡœnyle
atılırlardı,atɯlɯɾlaɾdɯ
yayınlanmış,jajɯnlanmɯʃ
ayrımı,ajɾɯmɯ
genelde,ɡenelde
ozanı,ozanɯ
işçisidir,iʃt͡ʃisidiɾ
uçuşuyor,ut͡ʃuʃujoɾ
puanla,puanla
seyirliğidir,sejiɾliɰidiɾ
ulaşamaz,ulaʃamaz
yâd,jâd
kişiliğimizi,kiʃiliɰimizi
manevra,manevɾa
katında,katɯnda
getirirken,ɡetiɾiɾken
lerdir,leɾdiɾ
buğdaya,buɰdaja
durun,duɾun
kulüplerin,kulypleɾin
yaprak,japɾak
düşürmez,dyʃyɾmez
çıkabilirmiş,t͡ʃɯkabiliɾmiʃ
etseniz,etseniz
dirsekler,diɾsekleɾ
herkesin,heɾkesin
kalıyorum,kalɯjoɾum
ağırdı,aɰɯɾdɯ
caiz,d͡ʒaiz
keşfettiler,keʃfettileɾ
kinden,kinden
yaşların,jaʃlaɾɯn
yurt,juɾt
gönderilen,ɡœndeɾilen
seslerinde,sesleɾinde
dopdolu,dopdolu
miktarında,miktaɾɯnda
gitmesin,ɡitmesin
hazırlarken,hazɯɾlaɾken
sayısız,sajɯsɯz
ilerliyor,ileɾlijoɾ
yazılım,jazɯlɯm
yermiş,jeɾmiʃ
iyileştirme,ijileʃtiɾme
çıkmıyorduk,t͡ʃɯkmɯjoɾduk
bilmiyor,bilmijoɾ
ekleyerek,eklejeɾek
kadıncağıza,kadɯnd͡ʒaɰɯza
ucuz,ud͡ʒuz
edimlere,edimleɾe
tattıran,tattɯɾan
rüyamda,ɾyjamda
teleskobun,teleskobun
kinin,kinin
tiyatroyu,tijatɾoju
lipid,lipid
sokaklara,sokaklaɾa
konulmadığı,konulmadɯɰɯ
fettucine,fettud͡ʒine
cansız,d͡ʒansɯz
bölümün,bœlymyn
malvarlığımın,malvaɾlɯɰɯmɯn
büyümesi,byjymesi
bebeklik,bebeklik
yatanın,jatanɯn
bacaklarında,bad͡ʒaklaɾɯnda
serildiği,seɾildiɰi
teyzeler,tejzeleɾ
hiçbirini,hit͡ʃbiɾini
görevlendirilen,ɡœɾevlendiɾilen
ahlâklanmış,ahlâklanmɯʃ
general,ɡeneɾal
içtenlik,it͡ʃtenlik
azar,azaɾ
çıkarımlarda,t͡ʃɯkaɾɯmlaɾda
muazzam,muazzam
mısın,mɯsɯn
sakinlerinden,sakinleɾinden
rekabeti,ɾekabeti
kutuda,kutuda
yerleştiriyorlarsa,jeɾleʃtiɾijoɾlaɾsa
stratejik,stɾateʒik
kâtip,kâtip
inanıyorlardı,inanɯjoɾlaɾdɯ
kurtulabilecektir,kuɾtulabiled͡ʒektiɾ
hamuruna,hamuɾuna
utancıyla,utand͡ʒɯjla
futbolcusu,futbold͡ʒusu
temsilden,temsilden
çıkmak,t͡ʃɯkmak
görüntülenebilecek,ɡœɾyntylenebiled͡ʒek
eda,eda
yakalanmasından,jakalanmasɯndan
yetmez,jetmez
toplumundaki,toplumundaki
atarak,ataɾak
hristiyanlıkta,hɾistijanlɯkta
hastası,hastasɯ
karşıladı,kaɾʃɯladɯ
mallara,mallaɾa
oğlu,oɰlu
cep,d͡ʒep
etkinliğin,etkinliɰin
reisi,ɾeisi
gerekiyordu,ɡeɾekijoɾdu
kaybolmuştu,kajbolmuʃtu
yürümektedir,jyɾymektediɾ
gelmeye,ɡelmeje
gireriz,ɡiɾeɾiz
kurulunu,kuɾulunu
düşünür,dyʃynyɾ
nerde,neɾde
mücadelenin,myd͡ʒadelenin
muhtırasıyla,muhtɯɾasɯjla
çamaşırlar,t͡ʃamaʃɯɾlaɾ
dikkatimi,dikkatimi
ziyarette,zijaɾette
kravatımı,kɾavatɯmɯ
halı,halɯ
gasp,ɡasp
giysisine,ɡijsisine
giyecek,ɡijed͡ʒek
katederek,katedeɾek
kâğıdın,kâɰɯdɯn
büyükelçi,byjykelt͡ʃi
örüntüsünü,œɾyntysyny
rende,ɾende
babasıyla,babasɯjla
özdeyişini,œzdejiʃini
soğukları,soɰuklaɾɯ
sıcağa,sɯd͡ʒaɰa
doğdun,doɰdun
malzemeleri,malzemeleɾi
sineği,sineɰi
ağırlığındaki,aɰɯɾlɯɰɯndaki
bürokrasisine,byɾokɾasisine
disiplin,disiplin
safhasında,safhasɯnda
istenilmiştir,istenilmiʃtiɾ
talimatları,talimatlaɾɯ
yetkililerin,jetkilileɾin
tencerenin,tend͡ʒeɾenin
alıcı,alɯd͡ʒɯ
ustaların,ustalaɾɯn
gömleği,ɡœmleɰi
vadede,vadede
yürüttüğünü,jyɾyttyɰyny
izlerini,izleɾini
bulunmamıştır,bulunmamɯʃtɯɾ
teklif,teklif
caz,d͡ʒaz
şaşı,ʃaʃɯ
etkilerken,etkileɾken
atardamarda,ataɾdamaɾda
nu,nu
tefek,tefek
gazeteleri,ɡazeteleɾi
üzülmemek,yzylmemek
slogan,sloɡan
biliyoruz,bilijoɾuz
silmedim,silmedim
götür,ɡœtyɾ
edepsizce,edepsizd͡ʒe
hastalığı,hastalɯɰɯ
bildik,bildik
okulda,okulda
illerinde,illeɾinde
koyduğumuz,kojduɰumuz
onur,onuɾ
kitabım,kitabɯm
evli,evli
almazsan,almazsan
kağıdı,kaɰɯdɯ
getirebilirler,ɡetiɾebiliɾleɾ
dünyasından,dynjasɯndan
bastırdı,bastɯɾdɯ
komedi,komedi
kişilere,kiʃileɾe
dezavantajların,dezavantaʒlaɾɯn
monoton,monoton
üstlenmesinde,ystlenmesinde
uykusuzluk,ujkusuzluk
koştular,koʃtulaɾ
suikast,suikast
deponun,deponun
yemekteydi,jemektejdi
yükseldiğinde,jykseldiɰinde
gevşetmeden,ɡevʃetmeden
anlatılması,anlatɯlmasɯ
lı,lɯ
işleyip,iʃlejip
vurgulandı,vuɾɡulandɯ
zehirlidir,zehiɾlidiɾ
kaynayan,kajnajan
dilimlemesini,dilimlemesini
memleket,memleket
güvenliktir,ɡyvenliktiɾ
abicim,abid͡ʒim
açmış,at͡ʃmɯʃ
er,eɾ
sürsem,syɾsem
acıdan,ad͡ʒɯdan
selamlaşırlar,selamlaʃɯɾlaɾ
sergilemesi,seɾɡilemesi
azimli,azimli
katılmaya,katɯlmaja
zannetmektedir,zannetmektediɾ
ıskalamayın,ɯskalamajɯn
makinaları,makinalaɾɯ
yasalaşması,jasalaʃmasɯ
dışsal,dɯʃsal
teması,temasɯ
doğursa,doɰuɾsa
çekmesi,t͡ʃekmesi
sergisinin,seɾɡisinin
uygulamaya,ujɡulamaja
demektir,demektiɾ
yanlarındaydım,janlaɾɯndajdɯm
olduğunuzu,olduɰunuzu
biçimden,bit͡ʃimden
eğildi,eɰildi
besleyici,beslejid͡ʒi
layıkı,lajɯkɯ
anlamı,anlamɯ
konulmuştur,konulmuʃtuɾ
hataları,hatalaɾɯ
kılıç,kɯlɯt͡ʃ
gazetelerinden,ɡazeteleɾinden
yaştayken,jaʃtajken
haşere,haʃeɾe
getirdiğinden,ɡetiɾdiɰinden
cezalarını,d͡ʒezalaɾɯnɯ
yaparız,japaɾɯz
öteki,œteki
uzadıkça,uzadɯkt͡ʃa
suyunu,sujunu
markalar,maɾkalaɾ
payı,pajɯ
kadınlardaki,kadɯnlaɾdaki
haberlerdir,habeɾleɾdiɾ
zorluyor,zoɾlujoɾ
sürünüyor,syɾynyjoɾ
bacaklarından,bad͡ʒaklaɾɯndan
brüt,bɾyt
kurallara,kuɾallaɾa
sözcüktür,sœzd͡ʒyktyɾ
tencerede,tend͡ʒeɾede
kalkacakları,kalkad͡ʒaklaɾɯ
bulunsa,bulunsa
psikolojisi,psikoloʒisi
karışması,kaɾɯʃmasɯ
tankerinin,tankeɾinin
ata,ata
gebeydi,ɡebejdi
getirirdi,ɡetiɾiɾdi
dersaneleri,deɾsaneleɾi
iman,iman
kabına,kabɯna
hükümetleriyle,hykymetleɾijle
değiştiriyormuş,deɰiʃtiɾijoɾmuʃ
idarede,idaɾede
süpürge,sypyɾɡe
yöresinde,jœɾesinde
şövalyesi,ʃœvaljesi
yeterliliği,jeteɾliliɰi
şirket,ʃiɾket
dünyaların,dynjalaɾɯn
taşım,taʃɯm
bildikleri,bildikleɾi
tanıtma,tanɯtma
kemiklere,kemikleɾe
günlerini,ɡynleɾini
sistemde,sistemde
kaynaklanan,kajnaklanan
otururlar,otuɾuɾlaɾ
ağaçlar,aɰat͡ʃlaɾ
yük,jyk
buradan,buɾadan
kalkmış,kalkmɯʃ
artışlarını,aɾtɯʃlaɾɯnɯ
güçlendirilmesi,ɡyt͡ʃlendiɾilmesi
battaniyeyi,battanijeji
kimliğinin,kimliɰinin
kesimler,kesimleɾ
erdirilmesi,eɾdiɾilmesi
meslektaşlarıma,meslektaʃlaɾɯma
burnunu,buɾnunu
chiefler,d͡ʒhiefleɾ
tehditlerini,tehditleɾini
yankılar,jankɯlaɾ
sokakların,sokaklaɾɯn
aktördür,aktœɾdyɾ
ihalelerine,ihaleleɾine
adayın,adajɯn
turu,tuɾu
şehri,ʃehɾi
koruyamadı,koɾujamadɯ
serüven,seɾyven
değişmeyen,deɰiʃmejen
anlamaz,anlamaz
protestosu,pɾotestosu
eleştirisinden,eleʃtiɾisinden
yakıştırarak,jakɯʃtɯɾaɾak
sizce,sizd͡ʒe
titizleşen,titizleʃen
çeteciliğinin,t͡ʃeted͡ʒiliɰinin
onlar,onlaɾ
sıkan,sɯkan
bildiğim,bildiɰim
obua,obua
demet,demet
bulunmuş,bulunmuʃ
üstümüze,ystymyze
enerjideki,eneɾʒideki
verimlisi,veɾimlisi
stoklar,stoklaɾ
çıkaracak,t͡ʃɯkaɾad͡ʒak
bulunmak,bulunmak
kürküne,kyɾkyne
alkol,alkol
ömrü,œmɾy
gönderdiğini,ɡœndeɾdiɰini
zihince,zihind͡ʒe
konuştu,konuʃtu
şaşırmış,ʃaʃɯɾmɯʃ
unutması,unutmasɯ
mısırı,mɯsɯɾɯ
hariç,haɾit͡ʃ
oyuncunun,ojund͡ʒunun
sürdürürken,syɾdyɾyɾken
sesiydi,sesijdi
yurtdışındaki,juɾtdɯʃɯndaki
hamurundan,hamuɾundan
adımlar,adɯmlaɾ
insanıyız,insanɯjɯz
değişikliklere,deɰiʃiklikleɾe
arttırıyor,aɾttɯɾɯjoɾ
roka,ɾoka
kazmışlar,kazmɯʃlaɾ
geçirin,ɡet͡ʃiɾin
yakalanmıştı,jakalanmɯʃtɯ
yenecek,jened͡ʒek
bıkılmayacak,bɯkɯlmajad͡ʒak
yollara,jollaɾa
şiirdeki,ʃiiɾdeki
ıslatılmış,ɯslatɯlmɯʃ
gözlü,ɡœzly
geçirmez,ɡet͡ʃiɾmez
ölümsek,œlymsek
haftası,haftasɯ
oğula,oɰula
komünistlik,komynistlik
ismime,ismime
edilerek,edileɾek
çöp,t͡ʃœp
gireceğim,ɡiɾed͡ʒeɰim
lanet,lanet
üreticileri,yɾetid͡ʒileɾi
kalkmasını,kalkmasɯnɯ
boşalırlar,boʃalɯɾlaɾ
teri,teɾi
bahsederler,bahsedeɾleɾ
kıyıp,kɯjɯp
kişiliğine,kiʃiliɰine
fotoğraf,fotoɰɾaf
kavrayamayan,kavɾajamajan
bireysel,biɾejsel
aritmetik,aɾitmetik
tiptir,tiptiɾ
motorlu,motoɾlu
plastiği,plastiɰi
komşum,komʃum
söyledim,sœjledim
öğütledim,œɰytledim
evlerine,evleɾine
korkak,koɾkak
kisvesi,kisvesi
tazecik,tazed͡ʒik
saray,saɾaj
isyanla,isjanla
takmışsın,takmɯʃsɯn
maddeyle,maddejle
periyotlar,peɾijotlaɾ
tutuşup,tutuʃup
yanıta,janɯta
söyletti,sœjletti
bahsedeceğim,bahseded͡ʒeɰim
uygun,ujɡun
başvurunun,baʃvuɾunun
duayla,duajla
icrası,id͡ʒɾasɯ
yılan,jɯlan
barındığı,baɾɯndɯɰɯ
görmeye,ɡœɾmeje
çürük,t͡ʃyɾyk
anladı,anladɯ
engel,enɡel
serinlikte,seɾinlikte
bakma,bakma
açıklamada,at͡ʃɯklamada
miki,miki
yaklaşıyordu,jaklaʃɯjoɾdu
ağrılı,aɰɾɯlɯ
halkınca,halkɯnd͡ʒa
fişi,fiʃi
kaynamakta,kajnamakta
biberleri,bibeɾleɾi
yapıp,japɯp
âdet,âdet
papirüs,papiɾys
espriler,espɾileɾ
çoğalabiliyorsunuz,t͡ʃoɰalabilijoɾsunuz
alacaktır,alad͡ʒaktɯɾ
raftan,ɾaftan
egzersizler,eɡzeɾsizleɾ
bitkinlik,bitkinlik
ülkü,ylky
anneme,anneme
istediklerini,istedikleɾini
olayından,olajɯndan
karışırsa,kaɾɯʃɯɾsa
annenizinkine,annenizinkine
yapılma,japɯlma
gizleriyle,ɡizleɾijle
edici,edid͡ʒi
oluşuveren,oluʃuveɾen
meğer,meɰeɾ
narasını,naɾasɯnɯ
gruptuk,ɡɾuptuk
dönmektir,dœnmektiɾ
eylemidir,ejlemidiɾ
yerlerde,jeɾleɾde
seslenirdi,sesleniɾdi
olgusunun,olɡusunun
girmekti,ɡiɾmekti
arkamdan,aɾkamdan
düşme,dyʃme
ima,ima
görüşsünler,ɡœɾyʃsynleɾ
çizer,t͡ʃizeɾ
özgürlüktür,œzɡyɾlyktyɾ
kavgayı,kavɡajɯ
oyununu,ojununu
mevki,mevki
pahalı,pahalɯ
yumuşayana,jumuʃajana
etmezdi,etmezdi
hizmetkarlarını,hizmetkaɾlaɾɯnɯ
yönetenlerden,jœnetenleɾden
sebzeli,sebzeli
ilave,ilave
hayaller,hajalleɾ
tamamlamışlar,tamamlamɯʃlaɾ
ulaştığım,ulaʃtɯɰɯm
duygulanmış,dujɡulanmɯʃ
ışığında,ɯʃɯɰɯnda
plaketleri,plaketleɾi
çekilmekten,t͡ʃekilmekten
yazarlarına,jazaɾlaɾɯna
bilgili,bilɡili
şampiyonluğunu,ʃampijonluɰunu
konularla,konulaɾla
görevinde,ɡœɾevinde
yorgunluğunu,joɾɡunluɰunu
sertleşmede,seɾtleʃmede
yerim,jeɾim
yargının,jaɾɡɯnɯn
kardeşler,kaɾdeʃleɾ
kurulunun,kuɾulunun
hediyesi,hedijesi
yetkililerine,jetkilileɾine
mühürlendikten,myhyɾlendikten
çalsa,t͡ʃalsa
çocuk,t͡ʃod͡ʒuk
zor,zoɾ
lidere,lideɾe
kurtarın,kuɾtaɾɯn
topraklarda,topɾaklaɾda
iddianın,iddianɯn
pozisyonu,pozisjonu
aidiyet,aidijet
domine,domine
köşeye,kœʃeje
işliyordu,iʃlijoɾdu
imkânlar,imkânlaɾ
helva,helva
emek,emek
mutluluktan,mutluluktan
evliliğini,evliliɰini
koşullar,koʃullaɾ
istiyoruz,istijoɾuz
yaptık,japtɯk
kuvvetin,kuvvetin
aştım,aʃtɯm
uğrattığını,uɰɾattɯɰɯnɯ
anlaşmayı,anlaʃmajɯ
stratejisi,stɾateʒisi
milyarderler,miljaɾdeɾleɾ
telsiz,telsiz
diğeri,diɰeɾi
inanca,inand͡ʒa
üzüldüğünü,yzyldyɰyny
zannediyor,zannedijoɾ
kokainman,kokainman
basılırsa,basɯlɯɾsa
sıfıra,sɯfɯɾa
ajite,aʒite
beklediğim,beklediɰim
ağrılarına,aɰɾɯlaɾɯna
küçüktü,kyt͡ʃykty
değerlendirmesini,deɰeɾlendiɾmesini
gittiğini,ɡittiɰini
ilacın,ilad͡ʒɯn
kaçır,kat͡ʃɯɾ
başrolünde,baʃɾolynde
lokum,lokum
cinnet,d͡ʒinnet
geleneksel,ɡeleneksel
isteğinden,isteɰinden
sinemaseverler,sinemaseveɾleɾ
katkılarından,katkɯlaɾɯndan
düşündüğümüz,dyʃyndyɰymyz
olağandışılıklar,olaɰandɯʃɯlɯklaɾ
gerisin,ɡeɾisin
isteyiş,istejiʃ
engellemektir,enɡellemektiɾ
lehlerine,lehleɾine
buluşup,buluʃup
markanın,maɾkanɯn
dava,dava
katılım,katɯlɯm
üyeleri,yjeleɾi
aralayalım,aɾalajalɯm
çifte,t͡ʃifte
dümdüzdü,dymdyzdy
sağım,saɰɯm
aşk,aʃk
kaybolup,kajbolup
paralarla,paɾalaɾla
dinlendirme,dinlendiɾme
kurarak,kuɾaɾak
gittiler,ɡittileɾ
hürriyetinin,hyɾɾijetinin
göndermez,ɡœndeɾmez
çağıran,t͡ʃaɰɯɾan
ulaşabilir,ulaʃabiliɾ
kurdu,kuɾdu
meseleleri,meseleleɾi
uyandık,ujandɯk
kaybetti,kajbetti
yetişmen,jetiʃmen
yanınızda,janɯnɯzda
bölümüne,bœlymyne
olasılık,olasɯlɯk
ücretli,yd͡ʒɾetli
sağlam,saɰlam
akımının,akɯmɯnɯn
masanın,masanɯn
uzayan,uzajan
kelimeyle,kelimejle
evim,evim
nesneyse,nesnejse
idiyse,idijse
kalite,kalite
erkeklik,eɾkeklik
ysa,jsa
yükselmiyor,jykselmijoɾ
yeğenim,jeɰenim
kulağım,kulaɰɯm
lokantalarda,lokantalaɾda
tanıtan,tanɯtan
tabloda,tabloda
ağaçtan,aɰat͡ʃtan
hedeflerin,hedefleɾin
dansediyorlardı,dansedijoɾlaɾdɯ
çalışmalarda,t͡ʃalɯʃmalaɾda
fındık,fɯndɯk
boyut,bojut
yapmayız,japmajɯz
devamı,devamɯ
hizmetleri,hizmetleɾi
yaktım,jaktɯm
