interpretares,intərpɾətaɾəs
trotar,tɾotaɾ
feix,fejʃ
empiri,əmpiɾi
teranyina,təɾəɲinə
apreses,əpɾɛzəs
pita,pitə
penjada,pəɲʒadə
sot,sɔt
tricotaria,tɾikotaɾia
empatada,əmpətadə
intubar,intubaɾ
exportava,əkspoɾtavə
abusada,əbuzadə
ballada,bəʎadə
transitar,tɾənzita
saltada,saltada
envoltades,əmbultadəs
espart,əspart
poruga,poɾuɡa
honrada,onrada
nilgau,nilɡaw
capipota,kapipɔta
muguet,muɡət
atributs,ətɾibuts
misogínia,mizuʒiniə
abarrotar,abarotaɾ
extrets,əkstɾɛts
sigil,sid͡ʒil
marí,maɾi
ruptura,ruptuɾə
industrialitzar,industɾiəlid͡za
estel,estɛl
presumpta,pɾəzumtə
abominada,əbuminadə
manllevada,maɲʎevada
complexitats,kumpləksitats
esternudades,esteɾnudades
encamisada,enkamizada
carter,kərte
aufrany,əwfɾaɲ
gagaúsia,ɡaɡauzia
maculats,makulats
cercada,seɾkada
conservadores,kunsərbədoɾəs
harmonia,aɾmonia
brindava,bɾindavə
immatur,immətur
analitzant,analizant
gerdera,ʒəɾdeɾə
cors,kos
miolar,miolaɾ
modernitzades,mudərnid͡zadəs
consuetud,kunsuətut
politicastre,pulitikastɾə
dotor,dotoɾ
exiliat,eɡziliat
arbusts,ərbusts
apostant,apostant
carnet,kərnɛt
cintura,sintuɾə
pintares,pintaɾes
deixondar,dəʃunda
cessacions,sesasions
liberalitzades,libəɾəlid͡zadəs
reestructurades,rəəstɾuktuɾadəs
alzineta,əlzinɛtə
amarades,əməɾadəs
pistatxer,pistət͡ʃe
nombrosos,numbɾozus
esmirna,əzmirnə
verda,bɛrdə
ornamental,oɾnəməntal
complaguts,kompləɡuts
quítxua,kit͡ʃua
gavarrot,ɡavarɔt
immolades,immuladəs
losange,lozaɲd͡ʒe
confiades,komfiades
pantomima,pəntumimə
legítima,led͡ʒitima
coordinar,kooɾdina
pamplonés,pəmplunɛs
avisador,avizadoɾ
ofensius,ofensiws
cavalcar,kəvəlka
causarem,kawzaɾem
recomptat,rəkumtat
quatre,kwatɾə
talaia,talaja
mújol,muʒul
remugó,rəmuɡo
compilat,kumpilat
atrotinats,ətɾotinats
immortal,immoɾtal
exagerats,eɡzad͡ʒeɾats
desembre,dəzembɾə
acreditem,akɾeditem
espigo,əspiɡu
flotades,flutadəs
espremedora,əspɾəmədoɾə
morfologia,murfuluʒiə
pastisset,pastiset
poema,puɛmə
apedregats,apedɾeɡats
cantonal,kəntonal
preparo,pɾepaɾo
bombardejades,bumbərdəʒadəs
retolador,retoladoɾ
aixafat,əʃəfat
contemplats,kontəmplats
diluviar,diluvia
balancejar,bələnsəʒa
irascibles,iɾəsibləs
comunitaris,komunitaɾis
gorjablanc,ɡɔɾʒəblaŋk
conveni,kumbɛni
adient,ədien
interpolat,intərpulat
silenciosament,silənsiozəmen
passatge,pasad͡ʒe
porteria,poɾtəɾiə
catalanitats,katalanitats
vas,vas
alinear,əlinea
agulleta,aɡuʎeta
penúltim,pənultim
limitació,limitasio
llampant,ʎəmpan
vesuvi,vəzuvi
aconsellats,əkonsəʎats
llegum,ʎeɡum
irregularitats,ireɡulaɾitats
ubicada,ubikada
hipocorístics,ipukuɾistiks
atribució,atɾibusio
arrodoniment,ərodoniment
desempaquetar,dezempaketaɾ
anada,ənadə
tesi,tɛzi
publicades,publikades
incendi,insɛndi
traginats,tɾad͡ʒinats
infeliços,imfəlisos
coa,koə
fecundada,fekundada
compareguda,kompəɾəɡudə
troncalitat,tɾonkalitat
daixonses,dajʃɔnses
perillar,peɾiʎaɾ
argent,aɾd͡ʒent
venerares,vənəɾaɾəs
centralitzada,səntɾəlid͡zadə
modificada,mudifikadə
dimitides,dimitidəs
consistit,kunsistit
trinxeraire,tɾiɲt͡ʃeɾajɾe
amants,amans
compensava,kumpənsabə
motllurar,molluɾaɾ
possible,pusiblə
conteniment,kuntənimen
cus,kus
pardal,pərdal
adjurada,əd͡ʒuɾadə
vençuts,vensuts
abaixaven,abajʃaven
baldufa,baldufa
cascall,kaskaʎ
antiquades,əntikwadəs
camagroc,kaməɡɾɔk
teu,tew
tibant,tibant
desplegades,despleɡades
salut,səlut
atiada,atiada
baixant,bəʃan
vegetatiu,bəʒətətiw
matís,mətis
olorar,uluɾa
viccionari,viksionaɾi
revitalització,rəvitəlid͡zəsio
biografiar,bioɡɾafiaɾ
rondinada,rondinadə
epicena,əpisənə
desamortitzat,dezamoɾtizat
moscarda,moskaɾdə
beat,beat
millor,miʎoɾ
aparcats,apaɾkats
cabudes,kabudes
barbarismes,baɾbaɾizmes
esgrima,əzɡɾimə
vius,viws
meló,məlo
triangle,tɾianɡle
formativa,foɾmətivə
aparentada,əpəɾəntadə
originalitat,oɾiʒinəlitat
massisses,məsisəs
campi,kampi
jaquida,ʒəkidə
abdicava,əbdikavə
adquirits,atkiɾits
indret,indɾət
adigué,adiɡe
milana,milanə
llambritja,ʎambɾid͡ʒa
molt,mol
licor,liko
malastruc,mələstɾuk
flirtejats,fliɾtəʒats
rancs,raŋs
quantia,kwəntiə
opinar,upina
escaramussat,əskəɾəmusat
llavors,ʎəvɔs
genovesa,ʒənubɛzə
cromofotografia,kɾomofotoɡɾafia
canal,kənal
anatematitzada,ənətəmətid͡zadə
salze,salze
vector,bəkto
noia,nɔja
estadant,əstədan
afirmatiu,əfiɾmətiw
guepard,ɡepaɾt
operat,opeɾat
cavalcats,kəbəlkats
rimat,rimat
mediador,mədiədo
diferenciades,difəɾənsiadəs
opiat,upiat
reposades,rəpuzadəs
gres,ɡɾɛs
sagaç,saɡas
oxigen,uɡziʒən
oliver,ulibe
absorbida,əpsurbidə
reescalfat,rəəskəlfat
combatré,kombətɾe
lloar,ʎoaɾ
possibilitar,posibilitaɾ
prioritzat,pɾiuɾid͡zat
racionalitzades,rəsiunəlid͡zadəs
desigual,deziɡwal
uniformitzar,unifurmid͡za
repudiats,repudiats
desmuntats,dəzmuntats
travessat,tɾəvəsat
niar,niaɾ
marcador,məɾkədo
cardiopatia,kaɾdiopatia
liquidar,likida
excitada,eksitada
tanoca,tanoka
preocupació,pɾeokupasio
francés,fɾanses
convertia,komveɾtia
diumenge,diwmɛɲd͡ʒe
agradat,aɡɾadat
alpins,alpins
adequat,ədəkwat
retornats,retoɾnats
flonjo,flɔɲʒu
solarem,solaɾem
mercantilitzada,mərkəntilid͡zadə
hiperventilades,ipərbəntiladəs
emulo,əmulo
minimitzar,minimid͡za
rodolí,ruduli
homosexual,omosəksual
abrandes,abɾandes
mestís,mestis
furibund,fuɾibunt
aladern,aladɛɾn
protegit,pɾoted͡ʒit
espessidor,espesidoɾ
sacrifico,sakɾifiko
recíproca,resipɾoka
cursades,kuɾsadəs
tafur,təfu
heretgia,əɾəd͡ʒiə
balbucient,bəlbusien
eixit,əʃit
magenc,mad͡ʒeŋk
morfema,moɾfəmə
vidriola,vidɾiɔlə
matriarca,mətɾiaɾkə
torcen,tɔɾsen
esquiat,əskiat
estofar,əstufa
regnats,reɡnats
infeccionat,imfəksiunat
reposada,rəpozadə
antiguitat,əntiɡitat
avingudes,əvinɡudəs
escurada,eskuɾada
simbolitzades,simbolizades
acomodats,akomodats
senador,senadoɾ
escafandre,əskəfandɾə
mielopatia,mielopatia
rebotuda,rəbutudə
muntanyisme,muntaɲizme
celludes,seʎudes
facilitar,fasilitaɾ
talossanes,təlosanəs
marcat,məɾkat
penetrat,pənətɾat
llança,ʎansə
costar,kusta
fragmentada,fɾaɡmentada
espurnejada,əspuɾnəʒadə
immoralment,immoɾəlment
complot,komplɔt
reverenciada,rəbəɾənsiadə
bastava,bəstavə
moralitzar,muɾəlid͡za
doctorats,duktuɾats
traslladades,tɾəzʎədadəs
perpetuaria,pəɾpətuəɾiə
pluripartidisme,pluɾipəɾtidizmə
toldilla,tuldiʎə
ensitjat,ənsid͡ʒat
ponderat,pondeɾat
furor,fuɾo
industriós,industɾios
contactaria,kuntəktəɾiə
vistes,bistəs
combinada,kumbinadə
exclosos,əksklɔzus
ressortit,rəsurtit
capficar,kəpfika
maca,maka
extenses,əkstɛnsəs
engiponar,əɲʒipuna
dramatitzat,dɾamatizat
prevenció,pɾəvənsio
udolada,udolada
moble,mɔble
pluja,pluʒə
v,veβaʃə
provinguts,pɾovinɡuts
assaborides,asaboɾides
imperativa,impeɾativa
barda,bardə
alternar,alteɾnaɾ
decolorar,dəkuluɾa
difamada,difəmadə
indicares,indikaɾəs
lleida,ʎejda
fui,fuj
enfundar,emfundaɾ
cotxe,kɔt͡ʃə
campaneta,kəmpənɛtə
convida,kumbidə
cigne,siɡne
traslladar,tɾazʎadaɾ
mentrestant,mentɾestant
halter,əlte
saltat,saltat
maltractar,maltɾaktaɾ
estalviades,əstəlbiadəs
conquerides,konkeɾides
intersectat,inteɾsektat
falset,falset
circularem,siɾkulaɾem
copejarien,kupəʒəɾiən
contribuir,kontɾibui
complertes,komplɛɾtəs
complicava,kumplikabə
rascada,raskada
bisexual,biseʃual
mancomunar,mankomunaɾ
meditades,məditadəs
evocat,əbukat
espontanis,əspontanis
ferir,feɾiɾ
assimilats,əsimilats
infart,imfart
matada,mətadə
promogudes,pɾomoɡudes
punim,punim
branda,bɾandə
abraçaria,abɾasaɾia
vidalba,bidalbə
radiograma,rədioɡɾamə
corrompre,kurompɾə
desaprovada,dezapɾovada
candaus,kandaws
cabrons,kəbɾons
afamats,afamats
determinisme,dətəɾminizmə
tafurera,tafuɾeɾa
sacrificava,səkɾifikavə
estomacats,əstoməkats
sodomitzada,sodomizada
esponjosos,espoɲd͡ʒozos
degudes,dəɡudəs
salmorro,səlmoru
degotador,dəɡutədo
davallat,dəbəʎat
pisciforme,pisiformə
enriquida,enrikida
borla,bɔɾlə
confrontar,komfɾonta
cilindrades,silindɾadəs
decapitats,dekapitats
capritx,kəpɾit͡ʃ
mariners,məɾines
moixó,mojʃo
calç,kals
precedits,pɾəsədits
mula,mulə
colzada,kolzada
adoptada,adoptada
prometre,pɾomətɾə
investigada,imvestiɡada
barallós,baɾaʎos
tiet,tiɛt
tapa,tapə
ametla,əmɛllə
ululats,ululats
refets,rəfəts
esfilagarsat,esfilaɡaɾsat
divisa,diviza
assaltar,asaltaɾ
paó,pao
verbalitzats,vəɾbəlid͡zats
menú,menu
priorat,pɾioɾat
popularitzat,populaɾizat
computem,komputəm
trasplantament,tɾəspləntəmen
brindarem,bɾindəɾɛm
fotocopiats,futukupiats
immunitzat,immunizat
vampir,bəmpi
redacció,redaksio
rosegades,ruzəɡadəs
xati,t͡ʃati
cocoter,kokoteɾ
contrades,kuntɾadəs
fanfarró,fəmfəro
testejar,tested͡ʒaɾ
trapezoide,tɾapezɔjde
corredís,korədis
rellotgeria,rəʎud͡ʒəɾiə
caixubi,kajʃubi
futur,futu
notades,notadəs
contrarestada,kontɾərəstadə
areng,əɾɛŋ
rapa,rapa
constitutiva,konstitutiva
ferreries,fərəɾiəs
carnisseries,kaɾniseɾies
civil,sibil
labialitzats,labializats
començada,komensada
georgiana,ʒəurʒianə
cop,kɔp
desinflades,dezimflades
agarbar,əɡərba
obligar,ubliɡa
mon,mun
xicra,ʃikɾə
tuit,tujt
punteta,punteta
mantell,mantɛʎ
argumentaria,ərɡuməntəɾiə
batedor,bətədo
lícies,lisiəs
drapaire,dɾapajɾe
motociclistes,motosiklistəs
comercialitzacions,kumərsiəlid͡zəsions
enganxosos,enɡaɲt͡ʃozos
desenfeinat,dezemfejnat
domesticitat,doməstisitat
aleatori,aleatɔɾi
fotesa,futɛzə
tardor,taɾdoɾ
julivert,ʒulivɛɾt
obliterar,ublitəɾa
meta,meta
perillo,pəɾiʎu
pala,pala
mainell,məjneʎ
desconeguda,deskoneɡuda
escarnir,əskərni
torçut,tursut
estabornir,əstəbuɾni
agenollat,əʒənuʎat
mielina,mielina
continuadors,kontinuadoɾs
lamentats,ləməntats
ase,azə
terrissera,təriseɾə
malví,malvi
sospitada,suspitadə
caucionar,kəwsiuna
andorranes,ənduranəs
explicació,əksplikəsio
volgudes,vulɡudəs
diabló,diəblo
arment,aɾment
quinze,kinze
sangonós,sanɡonos
atleta,əllətə
fraternitzat,fɾətərnid͡zat
malauradament,mələwɾadəment
nació,nəsio
constatava,kunstətabə
crescuts,kɾəskuts
concepcions,konsepsions
brumida,bɾumida
otorrinolaringologia,otorinolaɾinɡolod͡ʒia
desbridar,dezbɾidaɾ
despús,dəspus
damajoana,daməʒoanə
inconstant,inkonstant
compilats,kumpilats
segut,seɡut
inflamats,imflamats
teler,təle
transfigurada,tɾansfiɡuɾada
fracturades,fɾaktuɾades
mirall,miɾaj
grato,ɡɾatu
cirera,siɾeɾə
possessiu,posəsiw
tombar,tomba
perfeccionisme,peɾfeksionizme
antagonistes,antaɡonistes
propagades,pɾopaɡades
manifestava,mənifəstavə
cama,kamə
tornadís,turnədis
argentins,əɾʒəntins
convencions,kumbənsions
tirella,tiɾeʎə
domtades,dumtadəs
complet,kumplet
bacivar,bəsiva
brindats,bɾindats
episcopal,əpiskupal
enteniment,əntəniment
gesticulades,d͡ʒestikulades
ornamentades,oɾnamentades
pretesos,pɾətɛzus
concorregudes,konkoreɡudes
sigma,siɡma
peninsulars,pəninsulas
atípic,ətipik
replicat,replikat
paraigua,paɾajɡwa
remenats,remenats
eficient,əfisient
fabricades,fəbɾikadəs
butlles,buʎəs
soterrani,soterani
malentendre,mələntendɾə
conservadores,konseɾvadoɾes
mecanitzats,mekanizats
esgarriacries,ezɡariakɾies
dragar,dɾaɡaɾ
denotaves,dənotavəs
despullar,dəspuʎa
italianitzar,itəliənid͡za
corredora,korədoɾə
arrendat,ərəndat
volgudes,volɡudes
ampliades,ampliades
causats,kəwzats
demostrat,demostɾat
varietat,bəɾiətat
quissoflauta,kisuflawtə
atallar,ətəʎa
immobilitzat,immobilid͡zat
digerides,did͡ʒeɾides
emoció,əmosio
gratar,ɡɾəta
enquadrar,ənkwədɾa
éreu,eɾew
coreografiada,kuɾəuɡɾəfiadə
ella,eʎa
insurreccionades,insureksionades
canonades,kanonades
localitzades,lokəlid͡zadəs
maurí,məwɾi
cooperades,koopəɾadəs
pronunciaria,pɾonunsiəɾiə
simplificades,simplifikadəs
espinacs,espinaks
papereria,papeɾeɾia
suades,suadəs
experimentats,ekspeɾimentats
sotrac,sutɾak
infiltració,imfiltɾəsio
bombejats,bumbəʒats
compostar,kumpusta
aposar,əpoza
cremats,kɾəmats
ella,eʎə
diversa,divɛɾsa
hotel,otəl
atzucac,əd͡zukak
administrarem,ədministɾəɾəm
avortó,əburto
supines,supinəs
coagular,koəɡula
deixades,dejʃades
postura,pustuɾə
nítida,nitida
bastarem,bastaɾem
gaires,ɡajɾəs
torsió,tursio
atrofiar,ətɾufia
vertebral,veɾtebɾal
reietó,rəjəto
sufix,sufiks
ponderades,pundəɾadəs
rebaixats,rebajʃats
nomadism,numədism
soterrar,sotəra
estornell,əsturneʎ
calcificar,kalsifikaɾ
golejar,ɡoled͡ʒaɾ
son,sɔn
esvair,əzbəi
lloca,ʎɔkə
ajudant,əʒudan
remi,rɛmi
lligam,ʎiɡam
defenestrat,dəfənəstɾat
nauru,nawɾu
grada,ɡɾada
conxorxa,koɲt͡ʃɔɾt͡ʃa
coure,kɔwɾə
clavecí,kləbəsi
abró,əbɾo
engreixades,ənɡɾəʃadəs
aflorada,əfluɾadə
compensacions,kumpənsəsions
perdible,pəɾdiblə
clorhexidina,kloɾəɡzidinə
ovació,ubəsio
assetjar,əsəd͡ʒa
enrotllar,ənruʎʎa
entretemps,entɾetems
grossa,ɡɾɔsa
carcerari,kərsəɾaɾi
enraonades,ənrəunadəs
resultat,rezultat
múrries,muries
denotat,dənutat
indirecte,indiɾektə
usem,uzəm
porqueria,purkəɾiə
contenidors,kontənidos
núria,nuɾiə
dietista,diətistə
dibuixat,dibujʃat
localitzada,lukəlid͡zadə
contemporani,kontəmpoɾani
supeditar,supeditaɾ
variable,vəɾiablə
cansat,kansat
fagina,fad͡ʒina
intacta,intaktə
matxet,mət͡ʃət
avisats,avizats
manipules,manipules
reelegida,reeled͡ʒida
lúcida,lusidə
llau,ʎaw
regalar,rəɡəla
tauló,təwlo
concursos,konkuɾsos
empírics,empiɾiks
normatives,noɾmatives
atrofiarem,ətɾofiəɾəm
irrogués,iruɡes
rejovenir,rəʒubəni
camussa,kəmusə
desmilitaritzades,dezmilitaɾizades
successives,suksəsibəs
escombrada,əskombɾadə
doblegades,dubləɡadəs
exprimides,əkspɾimidəs
oliva,ulibə
productora,pɾoduktoɾa
especulatives,əspəkulətivəs
siameses,siəmɛzəs
vienés,biənes
fermenti,feɾmenti
autisme,əwtizmə
mensual,mənsual
conclosa,konklɔzə
rebrot,rəbɾot
uniformar,unifoɾmaɾ
dilatats,dilətats
butadié,butədiə
moc,mɔk
burgesa,buɾʒəzə
gemegar,d͡ʒemeɡaɾ
ventallar,bəntəʎa
perquisicionar,peɾkizisionaɾ
caputxino,kəput͡ʃino
perfeccionades,peɾfeksionades
obliterador,obliteɾadoɾ
afegida,əfəʒidə
delícies,delisies
fervorós,fərbuɾos
ferrós,feros
psi,psi
metafísics,metafiziks
incurables,inkuɾabləs
cosmoquímica,kuzmukimikə
menstruada,menstɾuada
immens,imməns
freixe,fɾeʃə
consumistes,kunsumistəs
esborrador,əzburədo
agroalimentaris,aɡɾoalimentaɾis
amiga,amiɡa
ona,onə
balanci,balansi
abrandat,əbɾəndat
codast,kudast
entremig,entɾemik
atxes,at͡ʃes
atacades,atakades
intensificar,intensifikaɾ
ensalada,ənsəladə
decorativa,dekoɾativa
convencionalisme,komvənsionəlizmə
glatir,ɡlatiɾ
imbricada,imbɾikadə
aglutinació,aɡlutinasio
encertat,ənsərtat
educativa,edukativa
homenatjar,omenad͡ʒaɾ
admesa,admeza
trasbalsats,tɾəzbəlsats
facoquer,fakokeɾ
corresponsal,koresponsal
islamístic,izlamistik
desferracavalls,dəsfɛrəkəvaʎs
comunicació,komunikasio
ginebre,d͡ʒinebɾe
roinejar,rojnəʒa
gargaritzar,ɡərɡəɾid͡za
visir,vizi
avorrit,avorit
maternes,mətɛrnəs
espadatxí,əspədət͡ʃi
dissecats,disəkats
llangardaix,ʎənɡəɾdaʃ
esbatanar,əzbətəna
adquirit,ətkiɾit
cansada,kansada
loquacitat,lokwəsitat
immortalitat,immoɾtalitat
variant,bəɾian
inventiva,imbəntibə
caramel,kaɾamɛl
rentables,rəntabləs
caduquejar,kaduked͡ʒaɾ
acostumares,əkustumaɾəs
símptoma,simtomə
sacrifici,sakɾifisi
musicar,muzika
partitura,pərtituɾə
funcionalitat,funsionalitat
mou,mɔw
pujar,puʒa
coordinadores,kuurdinədoɾəs
declinats,dəklinats
desgraciadament,dezɡɾasiadament
fruiter,fɾujteɾ
advertits,adveɾtits
privares,pɾibaɾəs
serralada,seralada
neerlandesa,neeɾlandeza
tortera,toɾteɾə
mamat,mamat
xintoisme,t͡ʃintoizme
conformada,kumfurmadə
evolucionat,evolusionat
foc,fɔk
recomanat,rekomanat
beneir,bənəi
acidosi,asidɔzi
teranyina,teɾaɲina
titus,titus
bellreguard,bəʎɾəɡwart
espantada,espantada
suimanga,sujmanɡa
garantits,ɡəɾəntits
comandants,komandans
tripartit,tɾipəɾtit
octavi,oktavi
competidor,kumpətido
decapitat,dekapitat
heroic,əɾɔjk
cerer,səɾe
portuari,purtuaɾi
val,val
llogar,ʎuɡa
trufada,tɾufada
búdic,budik
neerlandeses,neeɾlandezes
calta,kalta
dissenyada,diseɲada
llitera,ʎiteɾə
legislat,ləʒizlat
introspecció,intɾospəksio
ordre,ɔrdɾə
escúter,əskutə
estival,əstibal
malea,məlɛə
virtualització,birtuəlid͡zəsio
abdicaria,abdikaɾia
activa,aktiva
novicis,nuvisis
dirigírem,diɾiʒiɾəm
mostrava,mostɾavə
animals,animals
festaire,festajɾe
badat,bədat
comunico,komuniko
guardonat,ɡwaɾdonat
capgirada,kəbʒiɾadə
accionar,əksiona
edu,ɛdu
pinta,pintə
dada,dada
oprimida,opɾimida
donar,duna
cardiologia,kəɾdioluʒiə
conquistar,kunkista
afines,afines
excavació,əkskəbəsio
oratori,uɾətɔɾi
baratar,baɾataɾ
tabacaire,təbəkajɾə
ciberespais,sibəɾəspajs
abatudes,abatudes
egua,əɡwə
maça,masə
guanyada,ɡwaɲada
moderat,mudəɾat
valorades,vəloɾadəs
ballarí,bəʎəɾi
esmicolats,əzmikolats
gris,ɡɾis
moreno,moɾəno
cansades,kənsadəs
mesclada,mesklada
addicionals,addisionals
femenines,fəməninəs
portada,purtadə
cavitats,kavitats
coatí,koəti
carnaval,kəɾnəval
jugant,ʒuɡan
mandariner,məndəɾine
albor,əlbo
angloparlant,ənɡlopəɾlant
ciment,siment
crues,kɾuəs
xerrotejar,ʃərotəʒa
xocat,t͡ʃokat
conreades,konreadəs
martiritzades,məɾtiɾid͡zadəs
pilar,pila
actuaria,əktuəɾiə
volant,volant
rentadora,rentadoɾa
congelava,koɲd͡ʒelava
patit,pətit
pol,pɔl
arítmic,ərimmik
situar,situaɾ
donatiu,donətiw
conjetures,kuɲʒətuɾəs
consumir,konsumiɾ
summament,summament
reben,reben
bulls,buʎs
congregades,konɡɾəɡadəs
selecció,seleksio
socorrisme,sukurizmə
medusa,meduza
paraula,paɾawla
grosella,ɡɾuzeʎə
captada,kaptada
bastonades,bastonades
encaminat,enkaminat
fugitiva,fud͡ʒitiva
julivert,ʒulibɛrt
esponjades,espoɲd͡ʒades
sisca,siskə
guardonar,ɡwərduna
acomodada,akomodada
maduració,məduɾəsio
mesó,mezo
putejar,puted͡ʒaɾ
pastera,pəsteɾə
racionalitzada,rəsionəlid͡zadə
entallament,əntəʎəment
cerot,seɾɔt
balustrades,balustɾades
reforç,rəfɔs
preparo,pɾəpaɾu
arracades,arakades
bilbaí,bilbai
racisme,rəsizmə
útil,util
pastisseries,pəstisəɾiəs
copejats,kupəʒats
bataller,bətəʎe
vicent,bisɛn
bus,bus
exacte,əɡzaktə
decidí,desidi
condició,kondisio
bocamoll,bokəmɔʎ
depurades,depuɾades
perla,pɛɾla
configurar,komfiɡuɾaɾ
segada,seɡada
ordida,oɾdida
bolivariana,bolivəɾianə
fallar,faʎaɾ
collir,koʎiɾ
disfrutar,disfɾuta
terciaris,teɾsiaɾis
caga,kaɡə
cadireta,kadiɾeta
enganxada,ənɡəɲʃadə
decandir,dəkəndi
verro,vɛro
orquestració,oɾkəstɾəsio
armar,ərma
expressió,əspɾəsio
perdigó,pərdiɡo
magrebí,məɡɾəbi
deflagrar,dəfləɡɾa
reforçades,rəfoɾsadəs
aidada,əjdadə
onejats,onəʒats
surenc,suɾɛŋk
cualbra,kualbɾa
pitet,pitət
retratat,retɾatat
cubicada,kubikadə
calo,kalu
pedrer,pedɾeɾ
amnistia,əmnistiə
sacrificaria,səkɾifikəɾiə
inscrita,inskɾita
entrevistades,əntɾəvistadəs
exceptuats,əksəptuats
apetitós,əpətitos
espera,əspeɾə
aclamades,əkləmadəs
elemental,elemental
termines,tərminəs
conversació,komvəɾsəsio
estratotip,estɾatotip
melmelada,məlməladə
ubicar,ubika
barata,baɾata
cursada,kuɾsada
mandrejar,mandɾed͡ʒaɾ
empedrades,empedɾades
curvilini,kurbilini
becats,bəkats
armadura,aɾmaduɾa
xisclar,ʃiskla
cesarea,səzəɾɛə
raspat,raspat
oblidosa,oblidoza
guiar,ɡiaɾ
complex,komplɛks
recomençats,rəkumənsats
estimo,estimo
revelar,rəvəla
composada,kumpuzadə
caricatura,kaɾikatuɾa
arítjol,əɾid͡ʒul
circumnavegar,siɾkumnəvəɡa
enyorar,eɲoɾaɾ
macerar,məsəɾa
excavades,əkskəbadəs
furar,fuɾaɾ
patent,pətent
clonats,klonats
desbrossada,dəzbɾusadə
fantasiat,fantaziat
emportat,empoɾtat
empaquetar,əmpəkəta
extensible,ekstensible
furgats,fuɾɡats
barbut,bəɾbut
trigades,tɾiɡadəs
remava,remava
subratllats,subɾəʎats
desestabilitzades,dəzəstəbilid͡zadəs
vostra,vɔstɾa
ensopit,ensopit
cuboide,kubɔjde
dilatada,dilətadə
causa,kawza
magnetitzada,maɡnetizada
bramant,bɾəman
somiatruites,sumiətɾujtəs
turc,turk
flirtejat,fliɾted͡ʒat
flaix,flaʃ
natjada,nəd͡ʒadə
cerca,sɛɾka
captares,kəptaɾəs
xarxa,ʃaɾʃə
uniformitzada,unifoɾmid͡zadə
pedalejades,pedaled͡ʒades
tíbia,tibia
trencaglaç,tɾənkəɡlas
divo,dibu
vídua,viduə
minimitzats,minimizats
hortalissa,oɾtəlisə
polida,polida
esquiades,eskiades
sanguinolent,sənɡinolent
extremadura,əkstɾəməduɾə
beneficial,bənəfisial
sobrealimentats,sobɾealimentats
curta,kurtə
importats,impurtats
alimentares,alimentaɾes
feu,fɛw
fortificar,furtifika
cuqueta,kuketa
dispersos,dispɛrsus
mencionis,mənsiɔnis
filologia,filuluʒiə
viral,viɾal
inventor,imvənto
creat,kɾeat
carreter,kareteɾ
verderolet,bərdəɾulɛt
petonejats,pətonəʒats
florista,floɾista
porosa,puɾozə
exigit,əɡziʒit
farciment,faɾsiment
adit,adit
adés,ades
originar,oɾiʒina
correcció,kurəksio
gela,ʒɛlə
lateralment,lətəɾəlment
amagats,əməɡats
comprometeu,kompɾometew
clavegueró,kləbəɡəɾo
comatoses,komətozəs
escórrer,əskorə
furtar,fuɾtaɾ
escotada,əskotadə
esbiaixada,ezbiajʃada
promogut,pɾumuɡut
endollat,ənduʎat
abastes,abastes
climatologia,klimatolod͡ʒia
peritoneals,pəɾituneals
segades,səɡadəs
bertran,bərtɾan
tronat,tɾunat
obituari,ubituaɾi
reformats,rəfurmats
pudides,pudidəs
confessar,komfəsa
dividit,dividit
auscultes,əwskultəs
manumesos,mənuməzos
esbrinar,ezbɾinaɾ
barat,baɾat
congo,konɡu
catalanada,kətələnadə
felicitada,fəlisitadə
cosit,kozit
desestabilitzats,dəzəstəbilid͡zats
missatger,misəd͡ʒe
ingerides,iɲʒəɾidəs
processada,pɾosesada
duresa,duɾɛzə
annexos,ənnəksos
afectable,əfəktablə
solidaritat,solidaɾitat
blanquejat,blanked͡ʒat
genollada,d͡ʒenoʎada
remadora,rəmədoɾə
galera,ɡəleɾə
atrofiada,ətɾufiadə
aportada,apoɾtada
estíria,estiɾia
adonada,ədonadə
etzibats,əd͡zibats
exfoliades,eksfoliades
argentament,ərʒəntəmen
envellida,emveʎida
fraternitzades,fɾateɾnizades
acaronats,əkəɾonats
edils,edils
pronunciar,pɾonunsiaɾ
esfilagarsats,esfilaɡaɾsats
urtar,uɾtaɾ
botem,botem
nasalitzada,nəzəlid͡zadə
falset,fəlset
braços,bɾasos
construcció,konstɾuksio
acceptant,əksəptant
aguaitat,aɡwajtat
apartades,əpərtadəs
amiant,amiant
enverinar,emveɾinaɾ
imant,iman
tornada,toɾnada
folrats,fulrats
personificació,pərsunifikəsio
bancari,bənkaɾi
abstinguts,əpstinɡuts
envejades,əmvəʒadəs
aglutinar,əɡlutina
conflictiu,komfliktiw
expulsades,əkspulsadəs
donzell,dunzɛʎ
xiuxiuejar,t͡ʃiwt͡ʃiwed͡ʒaɾ
pausar,pəwza
intensificades,intənsifikadəs
desorganitzat,dəzoɾɡənid͡zat
desplaçats,desplasats
castanya,kəstaɲə
filmar,filmaɾ
tesades,tezades
badies,bədiəs
fecundes,fekundes
bugades,buɡades
satures,sətuɾəs
subcutanis,supkutanis
rescat,reskat
pissarra,pisarə
llepet,ʎəpət
mudo,mudu
fenigrec,feniɡɾek
bocaterrós,bokətəros
factici,faktisi
líbia,libiə
desitjat,dəzid͡ʒat
hac,ak
demandant,demandant
dirimits,diɾimits
